MTS,open,close,high,low,volume
2018-06-17 00:00:00,266.05,265.46,270.15,264.8,732.19080766
2018-06-17 12:00:00,265.45,264.89,272.28,260.38,4234.94856415
2018-06-18 00:00:00,264.62,251.65,264.62,250.31,2658.34958693
2018-06-18 12:00:00,251.64,264.48,267.5,250.23,4075.45820793
2018-06-19 00:00:00,265.02,267.25,271.79,262.77,3682.26518553
2018-06-19 12:00:00,267.08,260.72,270.41,256.94,3648.19600606
2018-06-20 00:00:00,261.55,255.0,262.37,252.44,1086.11356274
2018-06-20 12:00:00,254.96,266.8,267.28,252.97,2590.66746961
2018-06-21 00:00:00,266.23,264.78,269.75,264.04,1188.07979987
2018-06-21 12:00:00,264.77,260.67,265.25,258.82,1041.07765357
2018-06-22 00:00:00,260.29,244.34,261.41,242.34,2377.87755855
2018-06-22 12:00:00,244.27,235.39,245.62,230.32,5072.94792368
2018-06-23 00:00:00,235.25,247.78,248.02,234.54,1383.63592104
2018-06-23 12:00:00,247.2,242.86,247.2,238.98,2281.85531783
2018-06-24 00:00:00,242.61,235.47,244.27,224.0,6867.2250478
2018-06-24 12:00:00,234.81,238.08,243.0,225.02,3750.05161133
2018-06-25 00:00:00,237.37,244.09,245.0,234.01,1106.27950845
2018-06-25 12:00:00,244.09,240.22,246.63,236.03,1752.28370764
2018-06-26 00:00:00,240.54,235.39,241.58,235.0,1758.59813058
2018-06-26 12:00:00,235.33,230.01,238.51,227.21,1658.6547153
2018-06-27 00:00:00,229.64,227.3,231.45,226.52,1292.9191965
2018-06-27 12:00:00,227.3,228.76,231.0,223.0,1379.26944306
2018-06-28 00:00:00,229.17,222.28,229.93,221.0,1599.62309998
2018-06-28 12:00:00,221.8,220.65,224.68,217.5,2146.70285349
2018-06-29 00:00:00,220.65,218.06,227.28,217.0,2712.32998301
2018-06-29 12:00:00,217.68,234.73,239.68,217.68,2995.27667109
2018-06-30 00:00:00,234.76,243.31,246.9,234.73,1806.94211699
2018-06-30 12:00:00,242.93,239.97,244.87,231.59,3338.78481303
2018-07-01 00:00:00,239.76,235.79,241.2,235.79,415.45849267
