MTS,open,close,high,low,volume
2018-06-17 00:00:00,38.005,38.122,38.31,37.62,28183.77228087
2018-06-17 12:00:00,38.122,38.46,39.723,37.396,45752.1727999
2018-06-18 00:00:00,38.631,37.119,38.7,36.857,31643.70095717
2018-06-18 12:00:00,37.112,39.523,40.814,37.001,131705.86056862
2018-06-19 00:00:00,39.567,39.838,40.35,38.732,31167.63718409
2018-06-19 12:00:00,39.841,39.949,41.456,38.957,53470.50084284
2018-06-20 00:00:00,39.92,38.01,39.92,37.5,62005.74280689
2018-06-20 12:00:00,37.999,38.962,39.685,37.801,28487.34869725
2018-06-21 00:00:00,38.963,37.999,39.586,37.65,43165.98495601
2018-06-21 12:00:00,37.99,37.606,38.024,36.962,32941.39867239
2018-06-22 00:00:00,37.602,34.6,37.621,33.942,102165.625577
2018-06-22 12:00:00,34.615,32.97,34.659,32.13,110843.82360302
2018-06-23 00:00:00,32.959,33.603,34.401,32.57,36841.78201276
2018-06-23 12:00:00,33.575,33.852,34.744,32.8,28418.00597808
2018-06-24 00:00:00,33.896,30.485,34.266,30.325,181261.95129282
2018-06-24 12:00:00,30.486,31.135,32.45,28.598,130018.44800593
2018-06-25 00:00:00,31.133,32.242,32.412,30.542,36856.2300747
2018-06-25 12:00:00,32.242,31.578,32.849,31.009,44314.57686955
2018-06-26 00:00:00,31.577,31.056,31.691,30.803,18192.59165765
2018-06-26 12:00:00,31.039,29.995,31.633,29.734,65875.74167307
2018-06-27 00:00:00,29.995,29.933,30.453,29.436,33912.15568953
2018-06-27 12:00:00,29.938,30.373,30.586,29.43,28375.73451118
2018-06-28 00:00:00,30.395,30.103,30.577,29.693,26055.97177354
2018-06-28 12:00:00,30.076,28.23,30.332,28.079,43469.84530981
2018-06-29 00:00:00,28.23,27.86,28.49,27.026,81758.55896002
2018-06-29 12:00:00,27.813,29.619,30.191,27.36,75356.60545734
2018-06-30 00:00:00,29.585,31.333,32.1,29.577,113406.6467588
2018-06-30 12:00:00,31.284,30.9,31.91,29.66,67241.22569566
2018-07-01 00:00:00,30.812,29.924,30.96326035,29.887,11829.49853952
