MTS,open,close,high,low,volume
2018-06-17 00:00:00,9.138,9.1471,9.3174,9.1,34822.53385203
2018-06-17 12:00:00,9.1471,9.0211,9.1659,8.9451,47494.53631751
2018-06-18 00:00:00,9.0211,8.942,9.0639,8.89,46627.14921318
2018-06-18 12:00:00,8.9731,9.411,9.65,8.9401,128789.41575527
2018-06-19 00:00:00,9.4082,9.39,9.5277,9.1844,76566.76072207
2018-06-19 12:00:00,9.39,9.1968,9.5779,9.103,97257.39000534
2018-06-20 00:00:00,9.208,8.97,9.2139,8.8394,82532.59466188
2018-06-20 12:00:00,8.9766,9.0942,9.2653,8.9601,57509.74476951
2018-06-21 00:00:00,9.0968,9.0388,9.2491,8.9601,41214.33112644
2018-06-21 12:00:00,9.0488,8.9321,9.0761,8.9001,32812.55023631
2018-06-22 00:00:00,8.9456,8.4746,8.9649,8.2,312993.09891004
2018-06-22 12:00:00,8.48,8.2001,8.593,8.05,293450.28066766
2018-06-23 00:00:00,8.2001,8.152,8.4,8.0971,96319.61922025
2018-06-23 12:00:00,8.1478,8.2,8.29,7.904,76100.12642266
2018-06-24 00:00:00,8.2,7.3586,8.2256,7.1702,148563.9555411
2018-06-24 12:00:00,7.3895,7.7795,8.09,7.2497,160439.45107389
2018-06-25 00:00:00,7.7774,7.9917,7.9917,7.54,66702.08929451
2018-06-25 12:00:00,7.9897,7.8338,8.0665,7.677,61829.65940374
2018-06-26 00:00:00,7.8554,7.6957,7.8554,7.604,21772.16374413
2018-06-26 12:00:00,7.6763,7.2119,7.7047,7.21,80123.87792213
2018-06-27 00:00:00,7.2141,7.2001,7.3345,7.1,46109.04495975
2018-06-27 12:00:00,7.2001,7.2588,7.3404,7.1601,91188.99358274
2018-06-28 00:00:00,7.2805,7.1552,7.3219,7.121,40218.68683929
2018-06-28 12:00:00,7.14,6.73,7.2039,6.6763,150447.42730719
2018-06-29 00:00:00,6.7308,6.7501,6.8792,6.68,77547.07127899
2018-06-29 12:00:00,6.7502,7.1957,7.2908,6.7501,117682.72116166
2018-06-30 00:00:00,7.1817,7.4771,7.8166,7.0961,103583.05247648
2018-06-30 12:00:00,7.5141,7.6366,7.7035,7.396,82219.28588841
2018-07-01 00:00:00,7.5991,7.8123,8.1629,7.5599,70124.40951832
