MTS,open,close,high,low,volume
2018-06-17 00:00:00,10.607,10.63,10.667,10.511,667.73075928
2018-06-17 12:00:00,10.593,10.42,10.598,10.42,961.9825709
2018-06-18 00:00:00,10.421,10.1,10.421,10.089,3407.18473854
2018-06-18 12:00:00,10.11,10.63,10.733,10.07,7279.74376347
2018-06-19 00:00:00,10.631,10.672,10.752,10.359,11067.96509065
2018-06-19 12:00:00,10.617,10.514,10.9,10.49,2197.82749725
2018-06-20 00:00:00,10.539,10.163,10.539,10.01,5582.49628279
2018-06-20 12:00:00,10.156,10.422,10.5,10.028,4989.81586316
2018-06-21 00:00:00,10.423,10.29,10.648,10.206,2634.87646985
2018-06-21 12:00:00,10.291,10.245,10.317,10.129,3612.92460961
2018-06-22 00:00:00,10.202,9.427,10.202,9.2813,7135.29274428
2018-06-22 12:00:00,9.3898,8.841,9.3928,8.7509,18528.59296696
2018-06-23 00:00:00,8.9067,8.7072,9.018,8.5272,10966.66478391
2018-06-23 12:00:00,8.6904,8.8485,8.9061,8.5428,6271.35933073
2018-06-24 00:00:00,8.7669,7.7856,8.7669,7.4442,20650.67692917
2018-06-24 12:00:00,7.7939,8.056,8.2582,7.4259,11556.68238862
2018-06-25 00:00:00,8.036,8.2,8.226,7.7821,6746.78741953
2018-06-25 12:00:00,8.2211,8.32,8.4666,7.9542,6421.78847525
2018-06-26 00:00:00,8.3246,8.104,8.3246,8.0539,1242.14666192
2018-06-26 12:00:00,8.0972,8.1593,9.449,7.9144,27934.38273083
2018-06-27 00:00:00,8.155,8.8746,9.36,8.1221,15831.66764441
2018-06-27 12:00:00,8.7003,8.8323,8.9099,8.5006,3685.18064446
2018-06-28 00:00:00,8.8367,8.4684,8.8367,8.4,3313.79950384
2018-06-28 12:00:00,8.5062,7.7778,8.5487,7.7,5193.59044242
2018-06-29 00:00:00,7.765,7.75,7.8838,7.5254,5052.18382772
2018-06-29 12:00:00,7.672,8.1151,8.2694,7.6027,5037.97445223
2018-06-30 00:00:00,8.15,8.5338,8.7771,8.12,4244.50934267
2018-06-30 12:00:00,8.5239,8.4826,8.6239,8.2598,2720.26236151
2018-07-01 00:00:00,8.6056,8.3473,8.6056,8.3473,156.79531019
