MTS,open,close,high,low,volume
2018-06-17,0.7828,0.76359,0.8222,0.76,3393.11634178
2018-06-18,0.778,0.79328,0.83164,0.75,16201.96677505
2018-06-19,0.79663,1.0078,1.0078,0.77218,40867.65539984
2018-06-20,0.92812,1.0305,1.0762,0.8956,46260.08552762
2018-06-21,1.0686,0.96,1.09,0.94999,25367.09141715
2018-06-22,0.96,0.90189,0.96,0.87106,75720.54981283
2018-06-23,0.90222,0.931,0.932,0.86873,10835.48478432
2018-06-24,0.92171,0.8802,0.93556,0.818,13211.19011963
2018-06-25,0.92486,0.8684,0.96667,0.85879,9480.83009639
2018-06-26,0.88864,0.90946,0.96674,0.86874,5104.09323393
2018-06-27,0.904,0.91475,0.95713,0.904,4342.28097258
2018-06-28,0.94278,0.87997,0.956,0.86923,9106.04124785
2018-06-29,0.88001,0.95791,0.95791,0.88,6763.07722491
2018-06-30,0.95769,0.94457,0.98222,0.927,4512.63523569
2018-07-01,0.94342,0.94342,0.94342,0.94342,92.5015059
