MTS,open,close,high,low,volume
2018-06-17,849.09,845.1,863.05,842.29,9127.83762356
2018-06-18,846.61,885.27,902.83,820.08,26166.64929874
2018-06-19,885.79,908.14,928.78,873.97,26201.30684422
2018-06-20,907.3,892.56,908.99,861.4,34905.65437413
2018-06-21,892.56,871.48,908.18,866.13,14917.04280024
2018-06-22,871.48,750.67,875.31,720.0,87667.25695005
2018-06-23,750.51,761.8,779.69,730.48,33275.78236928
2018-06-24,761.8,746.94,771.9,661.0,81029.66182724
2018-06-25,747.07,752.82,779.8,733.6,33441.88360364
2018-06-26,754.1,694.71,758.08,692.12,23982.95635343
2018-06-27,694.26,713.38,724.1,685.11,34250.80443982
2018-06-28,713.38,657.62,724.8,648.11,30914.10339782
2018-06-29,657.62,715.02,739.99,645.46,47623.32226237
2018-06-30,716.52,747.91,787.4,715.3,54656.93726539
2018-07-01,748.56,727.99,753.22,727.68,3973.10556668
