MTS,open,close,high,low,volume
2018-06-17,32.315,31.617,33.413,31.41,17147.86567971
2018-06-18,31.539,31.828,33.413,29.68,46938.47781307
2018-06-19,31.774,33.0,33.609,31.563,35580.40669313
2018-06-20,32.942,31.56,33.337,30.893,35221.57240373
2018-06-21,31.642,31.667,32.7,30.606,30348.59770468
2018-06-22,31.61,25.707,31.639,24.088,67498.39023094
2018-06-23,25.775,25.455,26.384,24.0,39808.91880963
2018-06-24,25.538,23.696,25.703,21.834,61502.15892209
2018-06-25,23.678,25.497,25.674,23.597,24504.65738269
2018-06-26,25.518,24.102,26.185,24.011,30990.59614766
2018-06-27,24.194,24.791,25.0,23.321,17314.86393118
2018-06-28,24.801,23.209,29.0,22.75,28283.1617462
2018-06-29,23.227,24.213,24.75,22.868,25038.42549292
2018-06-30,24.23,26.145,26.414,24.23,35209.47047471
2018-07-01,26.073,25.551,26.175,25.477,1769.45893612
