MTS,open,close,high,low,volume
2018-06-17,266.05,264.89,272.28,260.38,4967.13937181
2018-06-18,264.62,264.48,267.5,250.23,6733.80779486
2018-06-19,265.02,260.72,271.79,256.94,7330.46119159
2018-06-20,261.55,266.8,267.28,252.44,3676.78103235
2018-06-21,266.23,260.67,269.75,258.82,2229.15745344
2018-06-22,260.29,235.39,261.41,230.32,7450.82548223
2018-06-23,235.25,242.86,248.02,234.54,3665.49123887
2018-06-24,242.61,238.08,244.27,224.0,10617.27665913
2018-06-25,237.37,240.22,246.63,234.01,2858.56321609
2018-06-26,240.54,230.01,241.58,227.21,3417.25284588
2018-06-27,229.64,228.76,231.45,223.0,2672.18863956
2018-06-28,229.17,220.65,229.93,217.5,3746.32595347
2018-06-29,220.65,234.73,239.68,217.0,5707.6066541
2018-06-30,234.76,239.97,246.9,231.59,5145.72693002
2018-07-01,239.76,235.61,241.2,235.61,420.57452267
