MTS,open,close,high,low,volume
2018-06-17,10.535,10.319,10.741,10.249,3339105.27826948
2018-06-18,10.321,10.716,10.9,10.119,5222272.69615307
2018-06-19,10.709,10.687,10.899,10.436,4084834.97338891
2018-06-20,10.683,10.427,10.83,10.192,5862591.71037225
2018-06-21,10.426,10.394,10.87,10.171,4463785.33174066
2018-06-22,10.393,8.5279,10.434,8.236,18197929.78206952
2018-06-23,8.5243,8.356,8.7771,8.013,7163836.13724032
2018-06-24,8.356,8.047,8.4326,6.8926,23644421.58817067
2018-06-25,8.0508,8.173,8.484,7.7059,10273004.12524039
2018-06-26,8.173,7.3547,8.2428,7.3375,9196876.64097676
2018-06-27,7.3533,7.9873,8.259,7.256,9837575.2337804
2018-06-28,7.988,7.37,8.061,7.2943,7872987.12615062
2018-06-29,7.3706,7.751,7.96,7.0307,9661677.81953948
2018-06-30,7.754,8.115,8.3231,7.7511,7708838.79725287
2018-07-01,8.116,7.981,8.2351,7.9275,686335.14722931
