MTS,open,close,high,low,volume
2018-06-17,496.79,497.08,508.38,493.25,76418.02741117
2018-06-18,497.0,517.64,525.7,486.96,135619.54403188
2018-06-19,517.64,538.47,548.8,515.1,166415.72547602
2018-06-20,538.47,536.26,542.16,516.63,137768.45746946
2018-06-21,536.25878835,526.11,545.3,521.43,93374.63061364
2018-06-22,526.11,461.77,526.11,448.56,335141.55583498
2018-06-23,461.77,473.47,480.64,454.27,122710.08084923
2018-06-24,473.48,455.32,475.5,421.0,282250.20716187
2018-06-25,455.32,459.0,474.42,445.3,186200.51087576
2018-06-26,459.01,429.32,461.4,428.9,183059.11490789
2018-06-27,429.32,441.65,446.88,418.65,187475.42085766
2018-06-28,441.66,420.78,443.5,417.71,148366.14406976
2018-06-29,420.32,435.7,443.04,404.99,231828.29269419
2018-06-30,435.7,453.85,464.52,435.7,171433.60337133
2018-07-01,453.85,450.22,456.82,446.16345025,14575.36706005
