MTS,open,close,high,low,volume
2018-06-17,0.37893,0.37586,0.38266,0.37399,97681.48556117
2018-06-18,0.37086,0.38513,0.38701,0.36282,172811.80790826
2018-06-19,0.38585,0.38029,0.41736,0.35,606230.96479106
2018-06-20,0.37961,0.36659,0.38001,0.3599,194183.14813868
2018-06-21,0.36644,0.35858,0.375,0.35858,102677.54291478
2018-06-22,0.35809,0.30958,0.35809,0.3,276304.6123582
2018-06-23,0.31134,0.30844,0.31538,0.3003,85685.3484165
2018-06-24,0.30548,0.28329,0.30548,0.259,393974.43937652
2018-06-25,0.28264,0.33821,0.34182,0.27507,633873.07949134
2018-06-26,0.33831,0.2923,0.33831,0.2923,374123.6717705
2018-06-27,0.2923,0.29301,0.30155,0.28431,232590.08046293
2018-06-28,0.29662,0.27647,0.31394,0.27,194949.03435961
2018-06-29,0.275,0.29706,0.30323,0.26217,189373.78389085
2018-06-30,0.29773,0.33498,0.33749,0.29764,419389.78672557
2018-07-01,0.33499,0.3185,0.33847,0.3185,59208.17677377
