MTS,open,close,high,low,volume
2018-06-17,1.1957,1.1683,1.2137,1.157,7407752.9437577
2018-06-18,1.1688,1.18,1.2099,1.0795,19367632.93249145
2018-06-19,1.18,1.1779,1.255,1.16,14156311.37016721
2018-06-20,1.178,1.1644,1.189,1.11,11322095.94211269
2018-06-21,1.1644,1.1614,1.185,1.137,4624069.26985816
2018-06-22,1.1619,0.97712,1.1763,0.9311,30380543.68470672
2018-06-23,0.97673,1.0373,1.0715,0.95601,14431002.64346784
2018-06-24,1.0373,0.97759,1.0445,0.88512,24557476.42877956
2018-06-25,0.97759,1.0181,1.0609,0.95773,14133972.30653404
2018-06-26,1.0183,0.93918,1.0266,0.9301,11537857.36822066
2018-06-27,0.93777,0.98744,1.0216,0.91799,10380656.44744878
2018-06-28,0.98746,0.9178,1.0,0.90127,8659037.32407733
2018-06-29,0.9179,0.96271,0.98104,0.8877,13550476.96769674
2018-06-30,0.96271,1.0102,1.0359,0.9625,10982259.86210926
2018-07-01,1.01,0.99215,1.0188,0.9914,958728.35041275
