MTS,open,close,high,low,volume
2018-06-17,10.607,10.42,10.667,10.42,1629.71333018
2018-06-18,10.421,10.63,10.733,10.07,10686.92850201
2018-06-19,10.631,10.514,10.9,10.359,13265.7925879
2018-06-20,10.539,10.422,10.539,10.01,10572.31214595
2018-06-21,10.423,10.245,10.648,10.129,6247.80107946
2018-06-22,10.202,8.841,10.202,8.7509,25663.88571124
2018-06-23,8.9067,8.8485,9.018,8.5272,17238.02411464
2018-06-24,8.7669,8.056,8.7669,7.4259,32207.35931779
2018-06-25,8.036,8.32,8.4666,7.7821,13168.57589478
2018-06-26,8.3246,8.1593,9.449,7.9144,29176.52939275
2018-06-27,8.155,8.8323,9.36,8.1221,19516.84828887
2018-06-28,8.8367,7.7778,8.8367,7.7,8507.38994626
2018-06-29,7.765,8.1151,8.2694,7.5254,10090.15827995
2018-06-30,8.15,8.4826,8.7771,8.12,6964.77170418
2018-07-01,8.6056,8.3059,8.6056,8.3059,159.39531019
