MTS,open,close,high,low,volume
2018-06-16,1.084,1.05,1.0961,1.05,1704.01548844
2018-06-17,1.0415,1.05,1.083,1.0267,1452.39482949
2018-06-18,1.0545,1.024,1.0861,0.97955,10725.8274899
2018-06-19,1.0189,1.0394,1.0473,1.0,7380.24890519
2018-06-20,1.0055,0.94802,1.0055,0.8607,8736.48603369
2018-06-21,0.9447,0.88,0.9447,0.875,4309.26388577
2018-06-22,0.88,0.8008,0.91936,0.79175,11895.1980673
2018-06-23,0.85999,0.86042,0.95,0.8597,4567.89128774
2018-06-24,0.8002,0.74715,0.90945,0.7185,7289.86764588
2018-06-25,0.74387,0.78257,0.9065,0.74387,8788.48402205
2018-06-26,0.7731,0.71,0.86434,0.71,5962.55350687
2018-06-27,0.70001,0.781,0.781,0.63001,13605.22978494
2018-06-28,0.75,0.73825,0.77546,0.69735,1025.18671709
2018-06-29,0.69,0.61325,0.75118,0.61294,4649.33978225
2018-06-30,0.72903,0.79978,0.827,0.71,7280.99556563
