MTS,open,close,high,low,volume
2018-06-17,0.098182,0.10466,0.10466,0.098181,1647.1105786
2018-06-18,0.09972,0.10418,0.11529,0.098501,20578.60053693
2018-06-19,0.11436,0.10377,0.11436,0.10377,13666.20795187
2018-06-20,0.10377,0.10106,0.11071,0.10106,13925.34351392
2018-06-21,0.1115,0.11107,0.11299,0.10103,12251.66411194
2018-06-22,0.10888,0.095394,0.10917,0.095394,115584.29174892
2018-06-23,0.097916,0.096649,0.097916,0.096649,5489.00523815
2018-06-24,0.095132,0.095,0.095132,0.088004,95373.64301342
2018-06-25,0.10006,0.095164,0.10007,0.094,18971.3401596
2018-06-26,0.094003,0.092051,0.094003,0.092051,11722.16027237
2018-06-27,0.093101,0.091733,0.098804,0.090316,22464.75298146
2018-06-28,0.092212,0.088053,0.093602,0.088053,16537.69032185
2018-06-29,0.088371,0.095,0.097996,0.088,113223.49403751
2018-06-30,0.095998,0.09868,0.101,0.090848,56590.19998147
2018-07-01,0.10558,0.10659,0.10659,0.10558,1000.0
