MTS,open,close,high,low,volume
2018-06-17,0.53274,0.52602,0.54112,0.5212,12048723.81105833
2018-06-18,0.52568,0.5392,0.55116,0.50374,34604416.39756793
2018-06-19,0.53949,0.54921,0.561,0.534,19582502.70900375
2018-06-20,0.54929,0.53962,0.55061,0.5224,17863451.36702152
2018-06-21,0.54006,0.53423,0.54965,0.53006,11378400.17836464
2018-06-22,0.53422,0.48133,0.53509,0.46902,53063520.66944012
2018-06-23,0.48128,0.48995,0.49605,0.47298,18689402.16264702
2018-06-24,0.49064,0.47476,0.49648,0.43849,42880801.43213609
2018-06-25,0.4748,0.48053,0.49199,0.47207,18211130.81258188
2018-06-26,0.48099,0.45217,0.48337,0.45073,15785736.0570635
2018-06-27,0.45173,0.4712,0.47587,0.44787,22414959.27236283
2018-06-28,0.47108,0.44656,0.47373,0.44327,18435469.81905618
2018-06-29,0.44609,0.45358,0.46088,0.424,27870355.78802133
2018-06-30,0.45363,0.46842,0.48451,0.45338,28100933.09670069
2018-07-01,0.46807,0.4533,0.46971,0.453,2760492.60100015
