MTS,open,close,high,low,volume
2018-06-16 21:00:00,10.628,10.641,10.708,10.599,66028.28743563
2018-06-16 22:00:00,10.642,10.66,10.673,10.626,38438.84920428
2018-06-16 23:00:00,10.661,10.535,10.681,10.522,132264.72150017
2018-06-17 00:00:00,10.535,10.56905852,10.637,10.511,80446.19270933
2018-06-17 01:00:00,10.572,10.576,10.621,10.561,55553.71001579
2018-06-17 02:00:00,10.581,10.648,10.67,10.581,80753.8765347
2018-06-17 03:00:00,10.647,10.65,10.67,10.62,75563.42380412
2018-06-17 04:00:00,10.656,10.601,10.664,10.59,72951.27027944
2018-06-17 05:00:00,10.607,10.55,10.637,10.53,101490.13894243
2018-06-17 06:00:00,10.55,10.568,10.581,10.52,69834.00769186
2018-06-17 07:00:00,10.568,10.606,10.616,10.561,56884.91437317
2018-06-17 08:00:00,10.607,10.612,10.741,10.58816496,215748.97545685
2018-06-17 09:00:00,10.611,10.629,10.67,10.579,146993.46022101
2018-06-17 10:00:00,10.63,10.58,10.651,10.533,127503.42843941
2018-06-17 11:00:00,10.575,10.59,10.61237383,10.554,62253.21805217
2018-06-17 12:00:00,10.59,10.398,10.593,10.33,259719.2997206
2018-06-17 13:00:00,10.399,10.445,10.485155,10.35,242276.31888722
2018-06-17 14:00:00,10.445,10.429,10.483,10.373,101363.49509374
2018-06-17 15:00:00,10.43,10.523,10.54,10.361,424736.65717107
2018-06-17 16:00:00,10.515,10.391,10.597,10.377,350411.46833208
2018-06-17 17:00:00,10.391,10.412,10.431,10.339,156137.8200372
2018-06-17 18:00:00,10.406,10.415,10.447,10.39,53688.11661861
2018-06-17 19:00:00,10.415,10.43,10.49,10.412,69306.25694026
2018-06-17 20:00:00,10.43,10.377,10.43,10.333,84203.20681664
2018-06-17 21:00:00,10.378,10.38,10.396,10.33,155110.09200611
2018-06-17 22:00:00,10.381,10.386,10.411,10.336,47177.73877667
2018-06-17 23:00:00,10.386,10.319,10.397,10.249,248998.191349
2018-06-18 00:00:00,10.321,10.2,10.354,10.164,150311.14156534
2018-06-18 01:00:00,10.2,10.215,10.261,10.129,269634.65596667
2018-06-18 02:00:00,10.219,10.257,10.289,10.182,141655.18522843
2018-06-18 03:00:00,10.258,10.188,10.264,10.18,51792.98150173
2018-06-18 04:00:00,10.188,10.172,10.215,10.119,195313.89372062
2018-06-18 05:00:00,10.172,10.193,10.25,10.136,140374.64401939
2018-06-18 06:00:00,10.191,10.199,10.221,10.18,79113.27588082
2018-06-18 07:00:00,10.198,10.162,10.2,10.152,56123.97336784
2018-06-18 08:00:00,10.164,10.377,10.542,10.162,602773.82570193
2018-06-18 09:00:00,10.379,10.337,10.406,10.309,147725.04551068
2018-06-18 10:00:00,10.34,10.252,10.351,10.237,172346.91355407
2018-06-18 11:00:00,10.254,10.25,10.298,10.131,459860.6617762
2018-06-18 12:00:00,10.251,10.228,10.275,10.21450151,43581.48009805
2018-06-18 13:00:00,10.228,10.213,10.237,10.16,79983.45942231
2018-06-18 14:00:00,10.212,10.294,10.314,10.194,171692.17369187
2018-06-18 15:00:00,10.292,10.314,10.35,10.246,57111.69959272
2018-06-18 16:00:00,10.31,10.559,10.705,10.297,703685.45475198
2018-06-18 17:00:00,10.573,10.69,10.9,10.573,712201.22734875
2018-06-18 18:00:00,10.69,10.72,10.768,10.675,133013.70420072
2018-06-18 19:00:00,10.718,10.631,10.73,10.601,153071.22219524
2018-06-18 20:00:00,10.637,10.714,10.727,10.63,69238.12099321
2018-06-18 21:00:00,10.708,10.67,10.718,10.644,43276.10602696
2018-06-18 22:00:00,10.67,10.66,10.7,10.612,132965.64735802
2018-06-18 23:00:00,10.653,10.716,10.751,10.596,455426.20267952
2018-06-19 00:00:00,10.709,10.65,10.766,10.65,140107.42857341
2018-06-19 01:00:00,10.651,10.606,10.674,10.606,57915.8434875
2018-06-19 02:00:00,10.607,10.534,10.6268993,10.509,270670.98639208
2018-06-19 03:00:00,10.531,10.525,10.577,10.466,155051.96361851
2018-06-19 04:00:00,10.525,10.553,10.599,10.521,69045.39773683
2018-06-19 05:00:00,10.56,10.541,10.596,10.527,36080.53725074
2018-06-19 06:00:00,10.551,10.495,10.56,10.436,112758.88489129
2018-06-19 07:00:00,10.495,10.512,10.515,10.44,224184.11171247
2018-06-19 08:00:00,10.513,10.46,10.558,10.45,251542.614295
2018-06-19 09:00:00,10.46,10.527,10.544,10.458,104765.6391841
2018-06-19 10:00:00,10.521,10.509,10.6,10.466,151854.60306443
2018-06-19 11:00:00,10.509,10.636,10.85,10.49,411254.74706653
2018-06-19 12:00:00,10.636,10.716,10.76,10.594,397492.61493315
2018-06-19 13:00:00,10.72,10.7,10.899,10.674,542844.22625791
2018-06-19 14:00:00,10.7,10.648,10.727,10.635,124517.46361378
2018-06-19 15:00:00,10.647,10.714,10.788,10.634,170821.28512482
2018-06-19 16:00:00,10.706,10.565,10.726,10.48,398760.69821161
2018-06-19 17:00:00,10.557,10.571,10.623,10.527,43547.36270525
2018-06-19 18:00:00,10.571,10.552,10.587,10.517,49944.0205529
2018-06-19 19:00:00,10.556,10.639,10.678,10.53,152714.74067824
2018-06-19 20:00:00,10.639,10.546,10.671,10.523,55479.42033677
2018-06-19 21:00:00,10.545,10.58,10.584,10.523,15938.12373839
2018-06-19 22:00:00,10.583,10.635,10.685,10.583,60303.07658659
2018-06-19 23:00:00,10.638,10.687,10.779,10.605,87239.18337661
2018-06-20 00:00:00,10.683,10.504,10.83,10.455,1093535.91955957
2018-06-20 01:00:00,10.503,10.42,10.519,10.318,660526.11442341
2018-06-20 02:00:00,10.417,10.357,10.42,10.311,365721.63482714
2018-06-20 03:00:00,10.356,10.3,10.395,10.277,271344.25356409
2018-06-20 04:00:00,10.29,10.247,10.3,10.192,413472.41967105
2018-06-20 05:00:00,10.25,10.238,10.267,10.227,181829.17451716
2018-06-20 06:00:00,10.232,10.356,10.359,10.204,197004.45817072
2018-06-20 07:00:00,10.359,10.413,10.488,10.303,179426.46944685
2018-06-20 08:00:00,10.412,10.353,10.413,10.336,74877.19368943
2018-06-20 09:00:00,10.355,10.368,10.446,10.304,96417.89678217
2018-06-20 10:00:00,10.363,10.269,10.363,10.25,93906.56081847
2018-06-20 11:00:00,10.275,10.32,10.348,10.255,42301.19794389
