MTS,open,close,high,low,volume
2018-06-16 21:00:00,498.69,500.23,500.77,498.69,1087.27244547
2018-06-16 22:00:00,500.23,500.36,501.0,498.9,1390.7804801
2018-06-16 23:00:00,500.35,497.02,500.35,493.95,3691.89786155
2018-06-17 00:00:00,496.79,497.64,498.98805158,496.78,1179.12273867
2018-06-17 01:00:00,497.63,499.33,501.00780945,497.63,2031.95360076
2018-06-17 02:00:00,499.34,502.52,505.27,499.33,6773.98733817
2018-06-17 03:00:00,502.52,507.71,508.38,502.52,5479.05307231
2018-06-17 04:00:00,507.71,504.98,507.72,503.1,4184.69625181
2018-06-17 05:00:00,504.99,502.77,505.49,502.5,2304.63053359
2018-06-17 06:00:00,502.77,500.84,503.03,500.75,1115.53272611
2018-06-17 07:00:00,500.85,500.9,502.0,500.75,2003.6544693
2018-06-17 08:00:00,500.91,502.01,507.53,500.9,7221.43597799
2018-06-17 09:00:00,502.01,502.64,503.26,500.0,3387.51160681
2018-06-17 10:00:00,502.65,499.57,502.87,497.02,4723.04072452
2018-06-17 11:00:00,499.57,500.82,501.06,498.22,3054.16591331
2018-06-17 12:00:00,500.84,495.45,501.3,493.55,4463.68894121
2018-06-17 13:00:00,495.45,497.36520093,499.25,493.25,4298.32592573
2018-06-17 14:00:00,497.37,497.81,499.45,497.36,1310.48649867
2018-06-17 15:00:00,497.81,502.14,502.74,496.88,4914.12692233
2018-06-17 16:00:00,502.14,499.51,502.15,499.51,1634.58414066
2018-06-17 17:00:00,499.52,499.03,499.52,498.1,1019.451761
2018-06-17 18:00:00,499.03,500.57,500.96,497.59,2276.63649976
2018-06-17 19:00:00,500.58,501.11,502.85,500.58,2026.70701096
2018-06-17 20:00:00,501.11,499.0,501.11,497.49,2186.01851187
2018-06-17 21:00:00,498.99,499.06,499.13,498.2,1765.87393176
2018-06-17 22:00:00,499.06,498.48,499.26,496.92,2397.88587956
2018-06-17 23:00:00,498.48,497.08,498.72,493.5,4665.45643431
