MTS,open,close,high,low,volume
2018-06-16 21:00:00,852.99,849.44,856.45,846.58,483.87064314
2018-06-17 00:00:00,849.09,858.5,863.05,847.52,1297.8298351
2018-06-17 03:00:00,858.5,856.5,861.51,856.5,883.89044636
2018-06-17 06:00:00,856.5,850.83,862.0,850.44,1797.73768655
2018-06-17 09:00:00,851.78,853.0,859.28,851.11,798.20339036
2018-06-17 12:00:00,852.99,847.21,853.0,842.29,650.4619117
2018-06-17 15:00:00,846.49,846.91,854.0,845.21,982.22083876
2018-06-17 18:00:00,846.89,846.8,854.91,845.0,1465.44520861
2018-06-17 21:00:00,846.8,845.1,850.8,845.0,1252.04830612
2018-06-18 00:00:00,846.61,836.37,847.48,830.8,2340.41323129
2018-06-18 03:00:00,836.36,835.69,837.93,830.6,1101.15240249
2018-06-18 06:00:00,834.77,841.34,843.04,831.1,1366.63776326
2018-06-18 09:00:00,841.02,829.98,842.67,820.08,2158.79538184
2018-06-18 12:00:00,828.62,838.92,841.31,827.84,1692.88899655
2018-06-18 15:00:00,838.92,893.59,902.83,838.54,13022.55650115
2018-06-18 18:00:00,893.8,889.3,902.08,881.78,3687.19911645
2018-06-18 21:00:00,889.1,885.27,889.23,882.58,797.00590571
2018-06-19 00:00:00,885.79,881.48,890.22,877.0,1425.36139091
2018-06-19 03:00:00,879.79,883.53,885.0,877.39,1046.25350817
2018-06-19 06:00:00,883.77,881.58,884.5,873.97,1270.89105334
2018-06-19 09:00:00,881.27,898.48,910.0,881.26,3973.1446942
2018-06-19 12:00:00,898.0,898.59,928.78,891.5,11533.81808719
2018-06-19 15:00:00,898.77,893.8,905.46,882.0,5095.31560258
2018-06-19 18:00:00,894.0,890.82,901.4,890.71,876.62156757
2018-06-19 21:00:00,890.81,908.14,909.98,890.72,979.90094026
2018-06-20 00:00:00,907.3,869.99,908.49,862.36,8327.35702667
2018-06-20 03:00:00,869.15,868.98,875.6,865.19,2403.11688878
2018-06-20 06:00:00,869.08,874.0,877.92,864.13,1396.38736366
2018-06-20 09:00:00,874.0,873.64,881.2,867.0,1799.06942566
2018-06-20 12:00:00,873.62,894.18,898.78,861.4,7627.6063514
2018-06-20 15:00:00,894.28,891.68,908.99,887.79,7306.8212402
2018-06-20 18:00:00,890.94,883.86,895.43,878.86,4607.42434107
2018-06-20 21:00:00,883.42,892.56,893.28,880.6,1437.87173669
2018-06-21 00:00:00,892.56,902.11,908.18,889.36,2594.96396679
2018-06-21 03:00:00,902.1,896.74,903.39,893.33,1348.88983453
2018-06-21 06:00:00,896.73,881.09,897.1,881.09,1505.01266982
2018-06-21 09:00:00,881.09,883.0,893.53,866.17,4530.77174814
2018-06-21 12:00:00,883.0,874.99,883.0,868.11,2628.28249564
2018-06-21 15:00:00,875.36,868.47,875.95,866.13,949.41524561
2018-06-21 18:00:00,868.48,870.0,873.6,866.5,795.38518607
2018-06-21 21:00:00,869.99,871.48,876.42,868.1,564.32165364
2018-06-22 00:00:00,871.48,848.56,875.31,840.0,6206.96032269
2018-06-22 03:00:00,849.0,846.29,852.99,841.94,2124.25633575
2018-06-22 06:00:00,846.83,811.02,850.0,802.32,11385.9386291
2018-06-22 09:00:00,810.0,805.86,819.98,790.8,8655.27910113
2018-06-22 12:00:00,805.89,766.67,805.89,736.0,26799.19905974
2018-06-22 15:00:00,767.16,764.92,770.0,751.11,6474.89658463
2018-06-22 18:00:00,764.88,744.0,784.59,733.72,11690.52075488
2018-06-22 21:00:00,744.48,750.67,767.02,720.0,14330.20616213
2018-06-23 00:00:00,750.51,766.37,779.69,746.25,8319.93029157
2018-06-23 03:00:00,767.0,748.2,767.0,748.01,3121.63295572
2018-06-23 06:00:00,748.47,744.65,756.76,730.48,9164.05111066
2018-06-23 09:00:00,745.77,757.47,763.91,742.81,2652.35142608
2018-06-23 12:00:00,754.87,753.43,758.99,743.3,2520.915988
2018-06-23 15:00:00,752.83,754.43,756.39,740.0,2827.62154015
2018-06-23 18:00:00,755.62,752.26,760.69,750.1,1379.48928908
2018-06-23 21:00:00,751.97,761.8,776.44,751.86,3289.78976802
2018-06-24 00:00:00,761.8,750.33,764.98,741.81,3366.92913242
2018-06-24 03:00:00,749.64,686.89,751.14,685.5,15794.33132595
2018-06-24 06:00:00,687.29,678.02,690.12,661.0,13769.65211108
2018-06-24 09:00:00,678.73,692.11,697.69,676.21,6461.30959561
2018-06-24 12:00:00,692.04,698.34,701.59,681.7,3114.62730879
2018-06-24 15:00:00,697.25,754.1,771.9,663.41,29942.15532697
