MTS,open,close,high,low,volume
2018-06-16 21:00:00,32.2,32.331,32.485,32.121,1098.17067402
2018-06-17 00:00:00,32.315,32.355,32.526,32.3,381.92815484
2018-06-17 03:00:00,32.499,32.573,32.6,32.394,438.28967247
2018-06-17 06:00:00,32.557,33.128,33.413,32.504,1606.00894338
2018-06-17 09:00:00,32.901,33.0,33.0,32.649,487.68662603
2018-06-17 12:00:00,32.95,32.881,33.251,32.448,1484.23707615
2018-06-17 15:00:00,32.788,32.684,33.187,32.528,970.18328844
2018-06-17 18:00:00,32.683,32.597,32.926,32.308,873.5049054
2018-06-17 21:00:00,32.435,31.617,32.614,31.41,10906.027013
2018-06-18 00:00:00,31.539,31.554,31.652,31.32,1325.67731334
2018-06-18 03:00:00,31.595,31.464,31.595,31.1,1619.2304127
2018-06-18 06:00:00,31.409,31.72,31.763,31.349,1411.6590818
2018-06-18 09:00:00,31.616,31.494,31.813,31.143,1992.88303772
2018-06-18 12:00:00,31.402,31.38,31.613,31.087,1398.03440315
2018-06-18 15:00:00,31.38,32.57,33.413,31.035,16023.67049685
2018-06-18 18:00:00,32.531,32.741,32.983,32.452,3844.63815175
2018-06-18 21:00:00,32.886,31.828,32.98,29.68,19322.68491576
2018-06-19 00:00:00,31.774,31.85,32.44,31.767,4128.33077548
2018-06-19 03:00:00,31.817,31.831,32.1,31.563,1094.85450771
2018-06-19 06:00:00,31.717,32.151,32.2,31.616,888.80441747
2018-06-19 09:00:00,32.14,33.002,33.099,32.11,2682.62500434
2018-06-19 12:00:00,32.908,33.15,33.609,32.613,8477.98363794
2018-06-19 15:00:00,33.199,32.293,33.2,31.726,14044.12346836
2018-06-19 18:00:00,32.339,32.324,33.154,32.157,2769.10417217
2018-06-19 21:00:00,32.366,33.0,33.406,32.357,1494.58070966
2018-06-20 00:00:00,32.942,31.369,33.337,30.962,5792.19182191
2018-06-20 03:00:00,31.303,31.647,31.837,31.047,2957.16761145
2018-06-20 06:00:00,31.485,31.437,31.653,31.287,985.81234265
2018-06-20 09:00:00,31.55,31.577,31.678,31.434,1165.53731564
2018-06-20 12:00:00,31.44,32.323,32.449,31.1,2625.45052884
2018-06-20 15:00:00,32.395,31.55,32.403,30.893,16476.07042522
2018-06-20 18:00:00,31.55,31.441,31.799,31.001,3889.91310026
2018-06-20 21:00:00,31.501,31.56,31.604,31.164,1329.42925776
2018-06-21 00:00:00,31.642,32.326,32.7,31.642,2861.14369874
2018-06-21 03:00:00,32.322,32.16,32.445,31.987,1569.8079749
2018-06-21 06:00:00,32.132,31.567,32.132,31.0,7345.71949266
