MTS,open,close,high,low,volume
2018-06-15 06:00:00,0.75081,0.75212,0.77132,0.74151,1864.69954659
2018-06-15 12:00:00,0.76161,0.74396,0.78259,0.72586,9742.09964324
2018-06-15 18:00:00,0.72721,0.762,0.78676,0.7272,774.19885659
2018-06-16 00:00:00,0.7793,0.77501,0.7793,0.77501,2560.7442005
2018-06-16 06:00:00,0.78088,0.77501,0.79186,0.77501,172.59943433
2018-06-16 12:00:00,0.78001,0.76325,0.78001,0.75448,281.64909741
2018-06-16 18:00:00,0.79011,0.76858,0.82488,0.76858,1164.96943785
2018-06-17 00:00:00,0.7828,0.78375,0.78375,0.7828,172.10373032
2018-06-17 12:00:00,0.81627,0.81635,0.8222,0.76,2073.87760659
2018-06-17 18:00:00,0.80781,0.76359,0.80781,0.76359,1147.13500487
2018-06-18 00:00:00,0.778,0.78019,0.78019,0.75894,433.28492911
2018-06-18 06:00:00,0.75762,0.76555,0.77616,0.75,9501.86825152
2018-06-18 12:00:00,0.78819,0.825,0.825,0.78819,399.90099282
2018-06-18 18:00:00,0.83046,0.79328,0.83164,0.79328,5866.9126016
2018-06-19 00:00:00,0.79663,0.77218,0.79663,0.77218,149.9
2018-06-19 06:00:00,0.79618,0.81,0.82385,0.79618,661.29945395
2018-06-19 12:00:00,0.82,0.93687,0.93687,0.79975,19435.82453983
2018-06-19 18:00:00,0.93297,1.0078,1.0078,0.86004,20620.63140606
2018-06-20 00:00:00,0.92812,0.91543,1.022,0.8956,12552.58559676
2018-06-20 06:00:00,0.96663,0.98781,1.008,0.9155,19576.9809442
2018-06-20 12:00:00,0.96312,1.0141,1.0141,0.944,5380.2585091
2018-06-20 18:00:00,1.0206,1.0305,1.0762,0.95172,8750.26047756
2018-06-21 00:00:00,1.0686,1.02,1.09,1.02,7822.88681048
2018-06-21 06:00:00,1.0295,0.98749,1.0446,0.98749,7051.41842327
2018-06-21 12:00:00,0.96813,0.97,0.99664,0.95,8646.37908826
2018-06-21 18:00:00,0.95001,0.96,0.9827,0.94999,1846.40709514
2018-06-22 00:00:00,0.96,0.9503,0.96,0.95,49804.41538005
2018-06-22 06:00:00,0.9503,0.90139,0.95812,0.90138,14048.26545701
2018-06-22 12:00:00,0.90139,0.89401,0.90577,0.89048,4027.77558338
2018-06-22 18:00:00,0.89127,0.90189,0.90189,0.87106,7840.09339239
2018-06-23 00:00:00,0.90222,0.90223,0.90224,0.87106,6305.77524234
2018-06-23 06:00:00,0.86874,0.91387,0.932,0.86873,1839.61651698
2018-06-23 18:00:00,0.90254,0.931,0.931,0.9006,2690.093025
2018-06-24 00:00:00,0.92171,0.83224,0.93556,0.83224,6025.1022202
2018-06-24 06:00:00,0.83224,0.81931,0.9151,0.81931,2673.21135375
2018-06-24 12:00:00,0.82517,0.83984,0.87192,0.818,2753.31885117
2018-06-24 18:00:00,0.8444,0.8802,0.89609,0.84,1759.55769451
2018-06-25 00:00:00,0.92486,0.95419,0.95419,0.92486,4664.44823726
2018-06-25 06:00:00,0.96487,0.89943,0.96667,0.85879,4398.16685912
2018-06-25 12:00:00,0.90817,0.8684,0.90817,0.8684,418.21500001
2018-06-26 00:00:00,0.88864,0.93074,0.93506,0.86874,720.47010671
2018-06-26 06:00:00,0.89131,0.91397,0.96674,0.8913,3802.29713582
2018-06-26 12:00:00,0.87408,0.90946,0.96404,0.87408,581.3259914
2018-06-27 00:00:00,0.904,0.95708,0.95713,0.904,2854.10460556
2018-06-27 06:00:00,0.95263,0.94499,0.95263,0.91369,771.06561986
2018-06-27 12:00:00,0.90861,0.94288,0.94398,0.9086,606.30570697
2018-06-27 18:00:00,0.91084,0.91475,0.94276,0.91067,110.80504019
2018-06-28 00:00:00,0.94278,0.956,0.956,0.94278,2524.18891765
2018-06-28 06:00:00,0.91271,0.94357,0.94357,0.90157,549.77159604
2018-06-28 12:00:00,0.94358,0.90501,0.95,0.905,3430.4532678
2018-06-28 18:00:00,0.90624,0.8892,0.90624,0.86923,2091.77257165
2018-06-29 12:00:00,0.88001,0.88,0.88001,0.88,389.61149747
2018-06-29 18:00:00,0.9,0.95791,0.95791,0.9,6373.46572744
2018-06-30 00:00:00,0.95769,0.9603,0.9603,0.927,917.29120102
2018-06-30 06:00:00,0.97999,0.94364,0.97999,0.94364,61.0
2018-06-30 12:00:00,0.97899,0.94457,0.98222,0.94266,3534.34403467
2018-07-01 00:00:00,0.94342,0.94342,0.94342,0.94342,92.5015059
