MTS,open,close,high,low,volume
2018-06-17 00:00:00,1.1957,1.1892,1.2137,1.1861,724455.22734895
2018-06-17 06:00:00,1.1873,1.1858,1.2068,1.1743,1051052.9603886
2018-06-17 12:00:00,1.1857,1.1633,1.1937,1.16014316,3490723.89086779
2018-06-17 18:00:00,1.1633,1.1683,1.1804,1.157,2141520.86515236
2018-06-18 00:00:00,1.1688,1.1517,1.1769,1.1393,1926373.36414953
2018-06-18 06:00:00,1.1525,1.1172,1.1628,1.1057,3789681.58726555
2018-06-18 12:00:00,1.118,1.1933,1.2099,1.0795,11010005.93612024
2018-06-18 18:00:00,1.1944,1.18,1.2024,1.1656,2641572.04495613
2018-06-19 00:00:00,1.18,1.1718,1.196,1.1601,1173633.01244384
2018-06-19 06:00:00,1.1737,1.2247,1.2423,1.16,2979381.06659143
2018-06-19 12:00:00,1.2248,1.1742,1.255,1.164,7316607.21993383
2018-06-19 18:00:00,1.1747,1.1779,1.1834,1.16,2686690.07119811
2018-06-20 00:00:00,1.178,1.1231,1.1797,1.11,3268041.04155932
2018-06-20 06:00:00,1.1232,1.1392,1.1475,1.1185,1794495.67079247
2018-06-20 12:00:00,1.1393,1.167,1.189,1.115,4661008.86611927
2018-06-20 18:00:00,1.1673,1.1644,1.18,1.1536,1598550.36364163
2018-06-21 00:00:00,1.1644,1.1705,1.185,1.159,744653.00102861
2018-06-21 06:00:00,1.1705,1.1613,1.1775,1.1425,1735334.94780512
2018-06-21 12:00:00,1.1606,1.1481,1.1606,1.137,1446126.15570329
2018-06-21 18:00:00,1.1481,1.1614,1.1724,1.1411,697955.16532114
2018-06-22 00:00:00,1.1619,1.1354,1.1763,1.1274,1579113.31870057
2018-06-22 06:00:00,1.135,1.077,1.135,1.0416,6738341.2063653
2018-06-22 12:00:00,1.0775,0.9953,1.0796,0.97316,12074996.68548543
2018-06-22 18:00:00,0.99672,0.97712,1.0078,0.9311,9988092.47415542
2018-06-23 00:00:00,0.97673,0.99089,1.0462,0.9732,3645827.96425997
2018-06-23 06:00:00,0.99119,1.0105,1.0325,0.95601,3666987.36050976
2018-06-23 12:00:00,1.0105,1.0152,1.0206,0.9767,2716410.3826954
2018-06-23 18:00:00,1.0147,1.0373,1.0715,1.0147,4401776.93600271
2018-06-24 00:00:00,1.0373,0.95466,1.0445,0.94687,5065294.08400615
2018-06-24 06:00:00,0.95433,0.954,0.96846,0.9115,5434145.78109879
2018-06-24 12:00:00,0.95296,0.98648,1.0178,0.88512,10768706.66907686
2018-06-24 18:00:00,0.986,0.97759,1.0,0.95282,3289329.89459776
2018-06-25 00:00:00,0.97759,0.97224,0.99804,0.95773,1986810.82531891
2018-06-25 06:00:00,0.97369,1.0245,1.0269,0.97369,2421588.98534562
2018-06-25 12:00:00,1.0236,1.0223,1.0609,0.98673,7546741.58791268
2018-06-25 18:00:00,1.0234,1.0181,1.0306,0.99514,2178830.90795683
2018-06-26 00:00:00,1.0183,1.0118,1.0266,0.98236,1821917.8480043
2018-06-26 06:00:00,1.012,0.977,1.0177,0.96813,2866231.23421645
2018-06-26 12:00:00,0.97699,0.98529,1.015,0.9585,3237417.81178023
2018-06-26 18:00:00,0.98501,0.93918,1.0094,0.9301,3612290.47421968
2018-06-27 00:00:00,0.93777,0.945,0.96,0.91799,2197594.5626864
2018-06-27 06:00:00,0.945,0.96285,0.98105,0.93978,2597287.72315489
2018-06-27 12:00:00,0.96439,0.96838,0.9745,0.92663,2321442.70164315
2018-06-27 18:00:00,0.96889,0.98744,1.0216,0.95297,3264331.45996434
2018-06-28 00:00:00,0.98746,0.97003,1.0,0.96825,970318.306986
2018-06-28 06:00:00,0.97269,0.97238,0.97911,0.96,1082839.21817905
2018-06-28 12:00:00,0.97344,0.96774,0.98062,0.9628,821283.67911612
2018-06-28 18:00:00,0.96682,0.9178,0.97499,0.90127,5784596.11979616
2018-06-29 00:00:00,0.9179,0.93115,0.94058,0.89764514,2972139.70871585
2018-06-29 06:00:00,0.93251,0.90901,0.93251,0.906,1779244.73859988
2018-06-29 12:00:00,0.90901,0.9137,0.92568,0.8877,2932229.90553803
2018-06-29 18:00:00,0.9137,0.96271,0.98104,0.89045,5866862.61484298
2018-06-30 00:00:00,0.96271,1.011,1.0359,0.9625,4856012.6259416
2018-06-30 06:00:00,1.0117,1.0106,1.02,0.99585,1331286.42554412
2018-06-30 12:00:00,1.0105,0.98951,1.03,0.9824,2575021.07945333
2018-06-30 18:00:00,0.9894,1.0102,1.015,0.97536,2219939.73117021
2018-07-01 00:00:00,1.01,0.9914,1.0188,0.9914,958086.16641275
