MTS,open,close,high,low,volume
2018-06-17 00:00:00,126.36,125.0,126.83,124.5,2375.52984527
2018-06-17 06:00:00,124.66,124.75,126.0,124.19,1403.20654157
2018-06-17 12:00:00,124.78,123.41,124.78,122.39,1212.47593678
2018-06-17 18:00:00,123.41,123.19,126.02,122.73,1641.1984971
2018-06-18 00:00:00,123.2,122.55,123.27,120.9,1242.81381697
2018-06-18 06:00:00,122.38,120.7,123.5,120.35,1200.12475448
2018-06-18 12:00:00,120.71,127.45,129.41,118.8,14302.29837544
2018-06-18 18:00:00,127.16,127.0,127.68,126.06,2126.5619409
2018-06-19 00:00:00,127.0,127.4,128.33,126.36,2036.18742161
2018-06-19 06:00:00,127.4,127.59,129.15,126.47,2033.18898527
2018-06-19 12:00:00,127.66,124.5,130.93,123.74,11049.77899547
2018-06-19 18:00:00,124.52,126.11,127.04,124.17,1948.6273489
2018-06-20 00:00:00,126.11,121.8,126.2,121.62,4933.05120585
2018-06-20 06:00:00,121.61,120.34,123.18,119.26,3484.32241846
2018-06-20 12:00:00,120.61,122.5,123.46,119.27,4093.57303629
2018-06-20 18:00:00,122.42,122.57,122.77,121.61,751.08018851
2018-06-21 00:00:00,122.41,123.42,124.52,121.38,1969.19533646
2018-06-21 06:00:00,123.42,121.78,124.0,120.85,3181.09780402
2018-06-21 12:00:00,121.77,121.77,122.83,121.15,1044.90007401
2018-06-21 18:00:00,121.88,123.49,123.5,121.13,1028.60781176
2018-06-22 00:00:00,123.31,121.22,123.74,120.6,1637.47363166
2018-06-22 06:00:00,121.69,115.48,121.73,114.42,12723.28749465
2018-06-22 12:00:00,115.33,111.9,115.67,109.09,9589.41968026
2018-06-22 18:00:00,111.84,109.99,113.17,106.3,12008.17515537
2018-06-23 00:00:00,110.25,111.93,113.44,109.65,2532.62153592
2018-06-23 06:00:00,112.03,114.54,115.0,110.25,4149.49100378
2018-06-23 12:00:00,114.55,115.98,170.0,113.2,15881.38038089
2018-06-23 18:00:00,115.98,114.65,117.31,114.46,4321.41643761
2018-06-24 00:00:00,114.66,108.85,117.3,108.02,8435.03822696
2018-06-24 06:00:00,109.06,113.1,114.09,107.14,10844.69477612
2018-06-24 12:00:00,113.21,118.84,119.58,107.36,7028.73341001
2018-06-24 18:00:00,118.84,120.79,125.57,118.22,4599.65837747
2018-06-25 00:00:00,121.24,127.27,127.99,120.2,4500.56758297
2018-06-25 06:00:00,127.52,127.67,129.78,124.25,5662.44885169
2018-06-25 12:00:00,127.7,129.34,129.78,123.92,7260.92633833
2018-06-25 18:00:00,129.26,126.81,129.37,124.48,4184.38058077
2018-06-26 00:00:00,126.81,126.78,127.46,125.04,1084.12161858
2018-06-26 06:00:00,126.86,125.02,127.64,124.72,2078.48364676
2018-06-26 12:00:00,125.02,127.01,130.0,125.02,6484.12360631
2018-06-26 18:00:00,127.01,119.9,127.01,119.36,9249.72851473
2018-06-27 00:00:00,119.89,125.83,125.84,118.56,7864.59784246
2018-06-27 06:00:00,125.83,127.99,129.46,124.51,10178.8440135
2018-06-27 12:00:00,128.0,128.19,128.36,123.44,3927.37723399
2018-06-27 18:00:00,128.19,128.64,131.09,126.48,4090.42552027
2018-06-28 00:00:00,128.63,131.2,135.0,128.63,5875.1759121
2018-06-28 06:00:00,131.2,132.0,132.36,130.3,2208.40389262
2018-06-28 12:00:00,132.0,131.52,134.38,129.27,6908.78244085
2018-06-28 18:00:00,131.03,116.42,131.03,113.54,34013.92549107
2018-06-29 00:00:00,116.42,118.7,119.83,114.29,8045.09741438
2018-06-29 06:00:00,118.75,120.54,122.11,117.66,3891.0545475
2018-06-29 12:00:00,120.6,120.08,121.76,118.8,3276.37803708
2018-06-29 18:00:00,120.04,126.45,128.12,116.69,8285.83792358
2018-06-30 00:00:00,126.5,128.98,140.0,124.47,24623.44070722
2018-06-30 06:00:00,128.87,132.23,132.99,128.21,5154.50313267
2018-06-30 12:00:00,132.03,130.2,136.0,130.2,17213.21472431
2018-06-30 18:00:00,130.47,130.83,132.0,128.52,6361.21127828
2018-07-01 00:00:00,130.82,129.61,134.26,129.6,6005.25730169
