sewma,bewma,ratio,dollars
4,8,2.0,789.3432813487099
4,9,2.25,728.5373593714198
4,10,2.5,718.4054871775782
4,11,2.75,579.3990861178742
4,12,3.0,570.9434977759479
4,13,3.25,476.2036867544276
4,14,3.5,436.95406596631955
4,15,3.75,445.24999188499925
5,10,2.0,662.8780845890744
5,11,2.2,506.7131870471252
5,12,2.4,459.92472598232507
5,13,2.6,441.1156924832654
5,14,2.8,476.5430785693669
5,15,3.0,493.73728636307413
5,16,3.2,546.5656983547135
5,17,3.4,483.0228869442982
5,18,3.6,450.2492357585006
5,19,3.8,492.1916911735175
6,12,2.0,492.01680499993256
6,13,2.1666666666666665,522.7560434710354
6,14,2.3333333333333335,533.7130994413099
6,15,2.5,495.92678862583773
6,16,2.6666666666666665,528.8521246944591
6,17,2.8333333333333335,502.9111430528842
6,18,3.0,680.8947092348543
6,19,3.1666666666666665,702.6291924831855
6,20,3.3333333333333335,801.1456362204328
6,21,3.5,943.8259432162921
6,22,3.6666666666666665,861.8156666810066
6,23,3.8333333333333335,735.9479426868742
7,14,2.0,510.11207337375714
7,15,2.142857142857143,686.270012482679
7,16,2.2857142857142856,713.6283000668185
7,17,2.4285714285714284,751.2980871672048
7,18,2.5714285714285716,837.6570813187437
7,19,2.7142857142857144,848.6578421505634
7,20,2.857142857142857,718.2679539924608
7,21,3.0,701.3044178753909
7,22,3.142857142857143,659.8629935710441
7,23,3.2857142857142856,639.840901652139
7,24,3.4285714285714284,753.2659117090492
7,25,3.5714285714285716,635.5130446881436
7,26,3.7142857142857144,567.5026324921125
7,27,3.857142857142857,509.60567370117775
8,16,2.0,785.2167385202184
8,17,2.125,748.9679553595216
8,18,2.25,696.7350478395904
8,19,2.375,657.9527082376678
8,20,2.5,651.6567046619604
8,21,2.625,668.6513176396838
8,22,2.75,617.2695310990377
8,23,2.875,667.0876465835497
8,24,3.0,535.4719595212124
8,25,3.125,489.63024437228415
8,26,3.25,501.6803655437314
8,27,3.375,498.2651796591669
8,28,3.5,511.3490896938617
8,29,3.625,530.2504844292828
8,30,3.75,551.3395426826677
8,31,3.875,529.4218825226451
9,18,2.0,672.1409502324024
9,19,2.111111111111111,651.8472516977499
9,20,2.2222222222222223,620.1094587638543
9,21,2.3333333333333335,690.4610361291757
9,22,2.4444444444444446,776.0432762175182
9,23,2.5555555555555554,619.2314710935264
9,24,2.6666666666666665,548.4163210572306
9,25,2.7777777777777777,513.1083105396373
9,26,2.888888888888889,472.5613849362207
9,27,3.0,497.2609664449196
9,28,3.111111111111111,506.210121127693
9,29,3.2222222222222223,529.009047615962
9,30,3.3333333333333335,570.051717957586
9,31,3.4444444444444446,580.4148608414679
9,32,3.5555555555555554,574.8909521141295
9,33,3.6666666666666665,588.200084668087
9,34,3.7777777777777777,559.9560553838543
9,35,3.888888888888889,450.43130881660574
10,20,2.0,746.6066953605217
10,21,2.1,743.723227592178
10,22,2.2,636.6888783079256
10,23,2.3,554.8256842138073
10,24,2.4,544.9527497506505
10,25,2.5,554.6969027756456
10,26,2.6,544.4214255961527
10,27,2.7,583.4674393074131
10,28,2.8,521.0496652409977
10,29,2.9,511.40449373832837
10,30,3.0,533.262094883178
10,31,3.1,617.3801747351109
10,32,3.2,536.7218654639954
10,33,3.3,523.6724571396446
10,34,3.4,530.2361879131038
10,35,3.5,521.774975833732
10,36,3.6,522.0167178244992
10,37,3.7,566.5410445363651
10,38,3.8,531.0892289569879
10,39,3.9,516.5815168953845
11,22,2.0,571.3075513503094
11,23,2.090909090909091,546.3729277754245
11,24,2.1818181818181817,539.1354232218973
11,25,2.272727272727273,542.9757489917915
11,26,2.3636363636363638,566.5031828551606
11,27,2.4545454545454546,528.442872635021
11,28,2.5454545454545454,590.9206789282448
11,29,2.6363636363636362,539.4566009328612
11,30,2.727272727272727,475.01438982061524
11,31,2.8181818181818183,515.7618561350323
11,32,2.909090909090909,518.045819879974
11,33,3.0,511.54778607940574
11,34,3.090909090909091,522.9610006556239
11,35,3.1818181818181817,534.2194690745741
11,36,3.272727272727273,571.0998338844996
11,37,3.3636363636363638,524.1118220380424
11,38,3.4545454545454546,499.3123576009713
11,39,3.5454545454545454,512.6702122748083
11,40,3.6363636363636362,574.256888975743
11,41,3.727272727272727,494.9390267871583
11,42,3.8181818181818183,577.7284379847766
11,43,3.909090909090909,641.5967324526479
12,24,2.0,534.6479000808741
12,25,2.0833333333333335,602.028247074215
12,26,2.1666666666666665,584.4349312226141
12,27,2.25,497.7637020126046
12,28,2.3333333333333335,488.1800341133418
12,29,2.4166666666666665,462.8468060773667
12,30,2.5,500.30558343749436
12,31,2.5833333333333335,511.6015279569835
12,32,2.6666666666666665,479.94482613097057
12,33,2.75,512.6150641430532
12,34,2.8333333333333335,566.5914237484641
12,35,2.9166666666666665,539.4457563234367
12,36,3.0,550.9335350166407
12,37,3.0833333333333335,617.4440063515134
12,38,3.1666666666666665,485.6452282718872
12,39,3.25,606.5995513622984
12,40,3.3333333333333335,671.3295607287916
12,41,3.4166666666666665,716.1437680995743
12,42,3.5,725.4135923375691
12,43,3.5833333333333335,816.4543589878053
12,44,3.6666666666666665,773.3157063626946
12,45,3.75,762.360172535814
12,46,3.8333333333333335,746.6162028361899
12,47,3.9166666666666665,820.9225394625898
13,26,2.0,493.857767602941
13,27,2.076923076923077,480.67142717638563
13,28,2.1538461538461537,485.1972772434092
13,29,2.230769230769231,518.1654827831455
13,30,2.3076923076923075,495.0021709754691
13,31,2.3846153846153846,484.3881226666603
13,32,2.4615384615384617,504.91856515436854
13,33,2.5384615384615383,671.1412984105049
13,34,2.6153846153846154,603.7485989262024
13,35,2.6923076923076925,609.2517044081936
