sewma,bewma,ratio,dollars
4,8,2.0,445.1663751543518
4,9,2.25,479.6696397048315
4,10,2.5,518.0865927765295
4,11,2.75,584.1767115342566
4,12,3.0,545.5531255893808
4,13,3.25,559.0964754423102
4,14,3.5,572.0543416873128
4,15,3.75,588.3568762926309
5,10,2.0,581.2953089127741
5,11,2.2,574.2520976320683
5,12,2.4,557.4597139797017
5,13,2.6,571.7139997473067
5,14,2.8,518.5335999443388
5,15,3.0,481.68390104639553
5,16,3.2,598.6801904961525
5,17,3.4,590.677370181201
5,18,3.6,556.6264484214005
5,19,3.8,691.8777814766227
6,12,2.0,583.6957848826171
6,13,2.1666666666666665,485.20079242447287
6,14,2.3333333333333335,559.1181907511516
6,15,2.5,547.7993700355493
6,16,2.6666666666666665,680.2116784770018
6,17,2.8333333333333335,677.8581987495794
6,18,3.0,724.4449340057461
6,19,3.1666666666666665,857.5890536538893
6,20,3.3333333333333335,695.1442479612157
6,21,3.5,567.2344077108977
6,22,3.6666666666666665,680.6689184563852
6,23,3.8333333333333335,675.6691800579554
7,14,2.0,596.0733236302758
7,15,2.142857142857143,731.4591242674047
7,16,2.2857142857142856,689.70467886111
7,17,2.4285714285714284,783.9189169660284
7,18,2.5714285714285716,927.7948561078017
7,19,2.7142857142857144,923.5987619117042
7,20,2.857142857142857,772.2899751553551
7,21,3.0,696.8847525439872
7,22,3.142857142857143,529.8898523135529
7,23,3.2857142857142856,564.5689932686142
7,24,3.4285714285714284,641.6339644478184
7,25,3.5714285714285716,666.3519360023349
7,26,3.7142857142857144,578.3424628551242
7,27,3.857142857142857,643.8368894073138
8,16,2.0,966.9477848421901
8,17,2.125,1157.6621198591415
8,18,2.25,898.2225872672085
8,19,2.375,615.2717622708267
8,20,2.5,621.9935040215665
8,21,2.625,524.21089228874
8,22,2.75,594.467574963058
8,23,2.875,588.8248767431613
8,24,3.0,624.9777995502958
8,25,3.125,580.4292761255973
8,26,3.25,607.2415035624847
8,27,3.375,611.2819423956599
8,28,3.5,639.7191032564148
8,29,3.625,629.7507895189252
8,30,3.75,695.9202008185598
8,31,3.875,726.121465763498
9,18,2.0,701.0673517458911
9,19,2.111111111111111,607.5449272042099
9,20,2.2222222222222223,616.2106442824611
9,21,2.3333333333333335,610.6358372916378
9,22,2.4444444444444446,685.9552891444042
9,23,2.5555555555555554,656.9697168655051
9,24,2.6666666666666665,633.1582858506476
9,25,2.7777777777777777,637.1816468258464
9,26,2.888888888888889,617.4978862077738
9,27,3.0,638.3162626712104
9,28,3.111111111111111,636.6516004518219
9,29,3.2222222222222223,690.077256514834
9,30,3.3333333333333335,762.0300169858455
9,31,3.4444444444444446,681.6797436526876
9,32,3.5555555555555554,660.5243981597525
9,33,3.6666666666666665,661.8407362973747
9,34,3.7777777777777777,746.2398736348621
