sewma,bewma,ratio,dollars
4,8,2.0,1767.7354357347892
4,9,2.25,1531.3840843663825
4,10,2.5,1560.2661294272089
4,11,2.75,1397.9505096387322
4,12,3.0,1576.405018299048
4,13,3.25,1914.1306470950044
4,14,3.5,1962.2733381236956
4,15,3.75,1741.1809898021868
5,10,2.0,1557.2981949244572
5,11,2.2,1843.3937955418328
5,12,2.4,1767.4776470581266
5,13,2.6,1718.0297174237717
5,14,2.8,1547.564544744887
5,15,3.0,1579.9876624507199
5,16,3.2,1830.283053918391
5,17,3.4,1857.7810775736996
5,18,3.6,1898.7028307362707
5,19,3.8,2000.1372166575356
6,12,2.0,1551.7104650223962
6,13,2.1666666666666665,1571.331401062091
6,14,2.3333333333333335,1646.4913854750632
6,15,2.5,1820.3082390888958
6,16,2.6666666666666665,1956.2180972820252
6,17,2.8333333333333335,1767.002786462007
6,18,3.0,1995.9087700293583
6,19,3.1666666666666665,2210.1792755454458
6,20,3.3333333333333335,2218.736473737611
6,21,3.5,2365.34697085008
6,22,3.6666666666666665,2487.15373892994
6,23,3.8333333333333335,2567.8729499703177
7,14,2.0,1867.770763653071
7,15,2.142857142857143,1915.7192133035664
7,16,2.2857142857142856,1995.5347137920369
7,17,2.4285714285714284,2094.9254309494686
7,18,2.5714285714285716,2293.174593425527
7,19,2.7142857142857144,2247.438668834227
7,20,2.857142857142857,2354.109537537362
7,21,3.0,2437.2706482328404
7,22,3.142857142857143,2223.4823011177646
7,23,3.2857142857142856,2098.9419502499168
7,24,3.4285714285714284,2018.238019340808
7,25,3.5714285714285716,1945.2910627226247
7,26,3.7142857142857144,1935.0999912754623
7,27,3.857142857142857,1880.9810196316882
8,16,2.0,2094.735326594074
8,17,2.125,2228.48920775463
8,18,2.25,2519.5600502509797
8,19,2.375,2514.612660681405
8,20,2.5,2600.5203639680917
8,21,2.625,2283.167743485261
8,22,2.75,2120.6005839901773
8,23,2.875,1877.417867318895
8,24,3.0,1919.1388931431823
8,25,3.125,1950.2485573687516
8,26,3.25,1952.150442486968
8,27,3.375,1735.1524119659805
8,28,3.5,1729.24041041648
8,29,3.625,1799.5420329127185
8,30,3.75,1961.096968727923
8,31,3.875,2076.700146100366
9,18,2.0,2725.643910893615
9,19,2.111111111111111,2272.4567233986627
9,20,2.2222222222222223,2170.3362600160835
9,21,2.3333333333333335,1981.955989809208
9,22,2.4444444444444446,1945.4986398364156
9,23,2.5555555555555554,1912.816960554306
9,24,2.6666666666666665,1915.320792519106
9,25,2.7777777777777777,1681.4969757611811
9,26,2.888888888888889,1738.4259032737727
9,27,3.0,1748.7857915315235
9,28,3.111111111111111,1938.234720632636
9,29,3.2222222222222223,2046.2101119914125
