sewma,bewma,ratio,dollars
4,8,2.0,606.0359117323851
4,9,2.25,535.8189511600707
4,10,2.5,527.8008288892983
4,11,2.75,541.9217679855734
4,12,3.0,505.31783492411523
4,13,3.25,466.12896548839353
4,14,3.5,556.7174691546146
4,15,3.75,518.6019453748778
5,10,2.0,554.0891022847136
5,11,2.2,531.0067772725608
5,12,2.4,477.9302738636833
5,13,2.6,445.3460274688276
5,14,2.8,453.4581703675728
5,15,3.0,436.16300806069944
5,16,3.2,466.2957446247504
5,17,3.4,366.77095955679204
5,18,3.6,376.68394480419454
5,19,3.8,412.643814244741
6,12,2.0,445.6448141221184
6,13,2.1666666666666665,425.9697759344018
6,14,2.3333333333333335,494.7639400304528
6,15,2.5,452.9290734521719
6,16,2.6666666666666665,414.4605264764038
6,17,2.8333333333333335,389.53804929230466
6,18,3.0,409.34487000577883
6,19,3.1666666666666665,528.9360424716986
6,20,3.3333333333333335,522.3667796798993
6,21,3.5,542.2068309518863
6,22,3.6666666666666665,498.58929113245483
6,23,3.8333333333333335,513.1521798669567
7,14,2.0,370.5166393680929
7,15,2.142857142857143,355.2194438015366
7,16,2.2857142857142856,376.5246054547711
7,17,2.4285714285714284,394.64947879906816
7,18,2.5714285714285716,507.7056742430271
7,19,2.7142857142857144,587.6859167694316
7,20,2.857142857142857,525.4299166436872
7,21,3.0,498.20449108916563
7,22,3.142857142857143,476.9846031830199
7,23,3.2857142857142856,479.74314739018104
7,24,3.4285714285714284,421.0082576829631
7,25,3.5714285714285716,409.0865645574425
7,26,3.7142857142857144,416.28651916408404
7,27,3.857142857142857,409.44734132369933
8,16,2.0,493.97099751054503
8,17,2.125,532.6125149954624
8,18,2.25,478.41347960349214
8,19,2.375,449.4173313932056
8,20,2.5,500.1986369882637
8,21,2.625,473.5248770728822
8,22,2.75,426.90938478957213
8,23,2.875,435.3572132299935
8,24,3.0,423.9375383093876
8,25,3.125,409.4506372774166
8,26,3.25,338.6002550436125
8,27,3.375,327.6947484312333
8,28,3.5,292.4976606164536
8,29,3.625,301.7178543114684
8,30,3.75,309.94845948464126
8,31,3.875,319.52650447335463
9,18,2.0,482.67630785910904
9,19,2.111111111111111,502.48495615392807
9,20,2.2222222222222223,435.0968054500893
9,21,2.3333333333333335,455.8343038513876
9,22,2.4444444444444446,446.5145470004932
9,23,2.5555555555555554,445.16825824915344
9,24,2.6666666666666665,398.66500965914275
9,25,2.7777777777777777,361.9354327032237
9,26,2.888888888888889,326.3919903330696
9,27,3.0,314.64148967758706
9,28,3.111111111111111,321.6730285268105
9,29,3.2222222222222223,363.4018361254944
9,30,3.3333333333333335,373.8870294173451
9,31,3.4444444444444446,339.50106315801776
9,32,3.5555555555555554,351.3556905044025
9,33,3.6666666666666665,304.57924552697864
9,34,3.7777777777777777,353.4662253621462
9,35,3.888888888888889,312.0131992098488
10,20,2.0,435.1830730315594
10,21,2.1,449.81367320765065
10,22,2.2,423.47919941923084
10,23,2.3,406.51652349435693
