sewma,bewma,ratio,dollars
4,8,2.0,3160.3655549116047
4,9,2.25,3251.3805968449633
4,10,2.5,3152.6779213681966
4,11,2.75,3108.8312147560723
4,12,3.0,2914.170302108942
4,13,3.25,3134.8060706310976
4,14,3.5,3055.3259661831803
4,15,3.75,2539.0866735864547
5,10,2.0,2931.4213603051785
5,11,2.2,3119.9777612999183
5,12,2.4,3155.7781629693814
5,13,2.6,2743.776855364134
5,14,2.8,2925.908981337777
5,15,3.0,2872.2803198277065
5,16,3.2,2559.7561890639563
5,17,3.4,2290.4708573899675
5,18,3.6,2217.7793949246184
5,19,3.8,2397.4468609143078
6,12,2.0,2731.9246763239516
6,13,2.1666666666666665,2965.2693302492235
6,14,2.3333333333333335,2352.2338574547002
6,15,2.5,2500.6179612528617
6,16,2.6666666666666665,2802.623099381504
6,17,2.8333333333333335,2571.195903998131
6,18,3.0,2503.3659391266697
6,19,3.1666666666666665,2171.758052003484
6,20,3.3333333333333335,2332.2106550859116
6,21,3.5,2901.1010164467375
6,22,3.6666666666666665,2802.887888037771
6,23,3.8333333333333335,2853.258299941224
7,14,2.0,2876.0314444028336
7,15,2.142857142857143,2821.0400739446327
7,16,2.2857142857142856,2293.5858847002014
7,17,2.4285714285714284,2140.965905066469
7,18,2.5714285714285716,2236.6453554390637
7,19,2.7142857142857144,2433.235090359004
7,20,2.857142857142857,2541.142760245286
7,21,3.0,2677.365779019113
7,22,3.142857142857143,2910.557720528734
7,23,3.2857142857142856,2925.0611498172107
7,24,3.4285714285714284,2617.1339554627734
7,25,3.5714285714285716,2810.1415844108838
7,26,3.7142857142857144,2938.8521668827398
7,27,3.857142857142857,2690.4802474317244
8,16,2.0,1876.1863955885485
8,17,2.125,1840.2127705453836
8,18,2.25,2397.9375152345046
8,19,2.375,2576.700959745739
8,20,2.5,2625.515003672944
8,21,2.625,2928.729028377501
8,22,2.75,3070.1685351920105
8,23,2.875,2827.884003626319
8,24,3.0,2950.351957418318
8,25,3.125,2835.4811991493348
8,26,3.25,2591.2627171247736
8,27,3.375,2433.7036819368204
8,28,3.5,2344.6465133318484
8,29,3.625,2476.5302236958487
8,30,3.75,2710.9631927971445
8,31,3.875,2733.439578820251
9,18,2.0,2435.72138445056
9,19,2.111111111111111,2330.43856251918
9,20,2.2222222222222223,2945.55304125199
9,21,2.3333333333333335,2996.137836482614
9,22,2.4444444444444446,2862.477633872656
9,23,2.5555555555555554,2605.9053715520513
9,24,2.6666666666666665,2442.6256137955274
9,25,2.7777777777777777,2201.1110554014745
9,26,2.888888888888889,2215.700216552352
9,27,3.0,2185.5035844328927
9,28,3.111111111111111,2487.548417614642
9,29,3.2222222222222223,2448.006711979877
