sewma,bewma,ratio,dollars
4,8,2.0,887.5323121116137
4,9,2.25,853.6843871971912
4,10,2.5,713.7396482931259
4,11,2.75,781.8348002050186
4,12,3.0,677.2773790172947
4,13,3.25,829.3163833701961
4,14,3.5,772.598350287221
4,15,3.75,806.5407178941442
5,10,2.0,756.9783882167962
5,11,2.2,934.3365198073936
5,12,2.4,785.3306888758611
5,13,2.6,770.3416948301109
5,14,2.8,938.8761558306962
5,15,3.0,973.0602489467284
5,16,3.2,1019.6005896350574
5,17,3.4,921.3373836255989
5,18,3.6,1345.886019566119
5,19,3.8,1222.9246228000393
6,12,2.0,984.7665368728036
6,13,2.1666666666666665,1027.44146433333
6,14,2.3333333333333335,927.8908525367717
6,15,2.5,1041.986304506014
6,16,2.6666666666666665,1266.5783754486613
6,17,2.8333333333333335,1359.9418977637338
6,18,3.0,1005.2467732121802
6,19,3.1666666666666665,1227.695270677758
6,20,3.3333333333333335,915.6165605187264
6,21,3.5,989.7147983235479
6,22,3.6666666666666665,978.6777145489644
6,23,3.8333333333333335,898.5130831433746
7,14,2.0,1216.070401103254
7,15,2.142857142857143,1309.633318925263
7,16,2.2857142857142856,1110.7004842679826
7,17,2.4285714285714284,1261.8230039852951
7,18,2.5714285714285716,1074.7785398939266
7,19,2.7142857142857144,1216.9222193366634
7,20,2.857142857142857,1026.3802419394515
7,21,3.0,956.6891312013937
7,22,3.142857142857143,941.3473924812288
7,23,3.2857142857142856,981.1734707193157
7,24,3.4285714285714284,855.3395241494044
7,25,3.5714285714285716,836.7169754841643
7,26,3.7142857142857144,920.936440755945
7,27,3.857142857142857,1005.2744588166616
8,16,2.0,1146.400329537921
8,17,2.125,1232.9578540132236
8,18,2.25,1148.4346155100418
8,19,2.375,979.977802617785
8,20,2.5,949.0093550075926
8,21,2.625,980.8594952664174
8,22,2.75,1058.7153276325512
8,23,2.875,851.000724145864
8,24,3.0,885.0151450695524
8,25,3.125,937.7639592569413
8,26,3.25,1103.8568674710652
8,27,3.375,1318.7463800573587
8,28,3.5,1246.3728656468293
8,29,3.625,1067.2051241796153
8,30,3.75,889.3111124848701
8,31,3.875,892.0296959012941
9,18,2.0,927.7989400520967
9,19,2.111111111111111,1018.4328986703975
9,20,2.2222222222222223,880.3827965280375
9,21,2.3333333333333335,850.3087789355762
9,22,2.4444444444444446,844.6448944565061
9,23,2.5555555555555554,900.2663689941924
9,24,2.6666666666666665,1205.5694035620659
9,25,2.7777777777777777,1309.3580153254657
9,26,2.888888888888889,1342.2376081755044
9,27,3.0,1049.450204820783
9,28,3.111111111111111,846.4328561289285
9,29,3.2222222222222223,791.6155685306978
9,30,3.3333333333333335,760.6388553740067
9,31,3.4444444444444446,725.615672846606
9,32,3.5555555555555554,765.1329869090414
9,33,3.6666666666666665,758.0459070772827
9,34,3.7777777777777777,753.0991183336303
9,35,3.888888888888889,753.3733427306988
10,20,2.0,828.9714402113423
10,21,2.1,835.4677455157591
10,22,2.2,1139.2338016679566
10,23,2.3,1228.138789768025
10,24,2.4,1291.8110451272617
10,25,2.5,1105.7901770172452
10,26,2.6,949.5469824347796
10,27,2.7,815.3658082467641
10,28,2.8,684.3742412878191
10,29,2.9,674.9087809933532
10,30,3.0,688.7774350790639
10,31,3.1,665.2815861395969
10,32,3.2,651.7511866580802
10,33,3.3,741.3925740433359
10,34,3.4,695.2154341127432
10,35,3.5,669.5154501008233
10,36,3.6,552.3530639647726
10,37,3.7,545.1494324703444
10,38,3.8,536.4764057491983
10,39,3.9,497.5181691902422
11,22,2.0,1235.8757041178535
11,23,2.090909090909091,1227.3493400978653
11,24,2.1818181818181817,1000.0372111887154
11,25,2.272727272727273,926.3416937424951
11,26,2.3636363636363638,796.3550539198667
11,27,2.4545454545454546,713.1183971441035
11,28,2.5454545454545454,700.9782010291374
11,29,2.6363636363636362,616.2735730980523
11,30,2.727272727272727,652.7050908646821
11,31,2.8181818181818183,738.2189794057755
11,32,2.909090909090909,613.9169238707526
11,33,3.0,619.8722092235557
11,34,3.090909090909091,560.3646399857462
11,35,3.1818181818181817,519.3588076293105
11,36,3.272727272727273,543.868639731026
11,37,3.3636363636363638,516.8666921247699
11,38,3.4545454545454546,617.4763896523702
11,39,3.5454545454545454,646.2412582516257
11,40,3.6363636363636362,636.8569908562496
11,41,3.727272727272727,598.3844469821024
11,42,3.8181818181818183,608.1645639875109
11,43,3.909090909090909,661.376294566354
12,24,2.0,797.6818787507926
12,25,2.0833333333333335,702.5336349255656
12,26,2.1666666666666665,670.6595514161627
12,27,2.25,667.4188776088565
12,28,2.3333333333333335,634.3453955516507
12,29,2.4166666666666665,673.2800817110102
12,30,2.5,606.5143768952257
12,31,2.5833333333333335,610.4220318403455
12,32,2.6666666666666665,643.695769604649
12,33,2.75,548.6757769323788
12,34,2.8333333333333335,542.3677730910767
12,35,2.9166666666666665,604.2405141589796
12,36,3.0,658.359494425888
12,37,3.0833333333333335,689.8249245329033
12,38,3.1666666666666665,670.2469672278789
12,39,3.25,588.9706524215487
12,40,3.3333333333333335,628.3578067565577
12,41,3.4166666666666665,657.7036650953297
12,42,3.5,645.8243651927335
12,43,3.5833333333333335,721.8323108057417
12,44,3.6666666666666665,685.5497503772411
12,45,3.75,761.1118894304367
12,46,3.8333333333333335,794.2933989336306
12,47,3.9166666666666665,694.8409880834237
13,26,2.0,605.625756204484
13,27,2.076923076923077,624.6108837839206
13,28,2.1538461538461537,725.0497456370085
13,29,2.230769230769231,678.9924709018974
13,30,2.3076923076923075,663.7733775965204
13,31,2.3846153846153846,550.5169472608873
13,32,2.4615384615384617,578.4661884517197
13,33,2.5384615384615383,621.2625591256417
13,34,2.6153846153846154,697.5351171154655
13,35,2.6923076923076925,737.1450357204741
13,36,2.769230769230769,702.1640399171974
13,37,2.8461538461538463,713.8208559764754
13,38,2.923076923076923,730.1651298881927
13,39,3.0,751.1367142899755
13,40,3.076923076923077,794.7890369053208
13,41,3.1538461538461537,777.5157863544464
13,42,3.230769230769231,698.6232598878526
13,43,3.3076923076923075,671.6571797099019
13,44,3.3846153846153846,714.1192807109758
13,45,3.4615384615384617,676.6143703143306
13,46,3.5384615384615383,766.824709635932
13,47,3.6153846153846154,764.6107486649662
13,48,3.6923076923076925,760.8251764066481
13,49,3.769230769230769,757.8692902751369
13,50,3.8461538461538463,655.9173443836017
13,51,3.923076923076923,621.4823762064055
14,28,2.0,655.171778494194
14,29,2.0714285714285716,644.6611838502496
14,30,2.142857142857143,530.4398024789189
14,31,2.2142857142857144,656.2234819173603
14,32,2.2857142857142856,658.4142721306623
14,33,2.357142857142857,725.7324322890743
14,34,2.4285714285714284,749.7176288433308
14,35,2.5,706.8097840659382
14,36,2.5714285714285716,712.1549494308375
14,37,2.642857142857143,795.4031619302533
14,38,2.7142857142857144,788.9441996728672
14,39,2.7857142857142856,742.9297331021609
14,40,2.857142857142857,820.1397459122568
14,41,2.9285714285714284,804.678306355743
14,42,3.0,822.1646039487366
14,43,3.0714285714285716,827.8520886738656
14,44,3.142857142857143,710.131214569334
14,45,3.2142857142857144,699.8816683167252
14,46,3.2857142857142856,697.2772971580707
14,47,3.357142857142857,730.2461325377412
14,48,3.4285714285714284,791.6215160797802
14,49,3.5,748.923686520533
14,50,3.5714285714285716,695.5623964620057
14,51,3.642857142857143,782.8925343469006
14,52,3.7142857142857144,717.9647010617291
14,53,3.7857142857142856,750.3398966597373
14,54,3.857142857142857,720.3548698557458
14,55,3.9285714285714284,760.5151315977868
15,30,2.0,689.1567483559527
15,31,2.066666666666667,675.3578929401905
15,32,2.1333333333333333,704.1080466853939
15,33,2.2,756.4254882322258
15,34,2.2666666666666666,759.1548940725858
15,35,2.3333333333333335,767.5715127928573
15,36,2.4,873.4157473841768
15,37,2.466666666666667,826.8317547988424
15,38,2.533333333333333,783.3589906112808
15,39,2.6,820.2874980461957
15,40,2.6666666666666665,924.4057373880999
15,41,2.7333333333333334,822.3119857575236
15,42,2.8,742.0297594555216
15,43,2.8666666666666667,774.2746921379407
15,44,2.933333333333333,756.6329237261086
15,45,3.0,867.5427398163383
15,46,3.066666666666667,811.3623322217873
15,47,3.1333333333333333,789.4015180653654
15,48,3.2,698.0496427526134
15,49,3.2666666666666666,793.8859401099453
15,50,3.3333333333333335,800.9178187798922
15,51,3.4,804.7132965424339
15,52,3.466666666666667,717.1194832386414
15,53,3.533333333333333,803.549598653536
15,54,3.6,811.2510201859932
15,55,3.6666666666666665,840.8659642763976
15,56,3.7333333333333334,787.8179675221752
15,57,3.8,892.9223678093913
15,58,3.8666666666666667,837.1751278265541
15,59,3.933333333333333,854.2083151250206
