sewma,bewma,ratio,dollars
4,8,2.0,519.3896966958599
4,9,2.25,464.7800857613563
4,10,2.5,463.68555637111655
4,11,2.75,429.3685766987795
4,12,3.0,534.6559716486436
4,13,3.25,528.9156037628412
4,14,3.5,554.0346436960035
4,15,3.75,546.5965137323611
5,10,2.0,436.8107791787683
5,11,2.2,423.43649555487815
5,12,2.4,523.4400607672337
5,13,2.6,581.8647054229932
5,14,2.8,631.8418691126161
5,15,3.0,713.0004924621861
5,16,3.2,639.872291713472
5,17,3.4,701.4821976288636
5,18,3.6,715.3105660313756
5,19,3.8,725.3729707767367
6,12,2.0,725.969957728346
6,13,2.1666666666666665,793.3369895088264
6,14,2.3333333333333335,748.7373544701268
6,15,2.5,779.3327622238246
6,16,2.6666666666666665,704.3103312633809
6,17,2.8333333333333335,761.7445477785153
6,18,3.0,659.2990140197143
6,19,3.1666666666666665,732.7893850210028
6,20,3.3333333333333335,775.7214779633665
6,21,3.5,757.5943926784407
6,22,3.6666666666666665,891.7726425490918
6,23,3.8333333333333335,816.9898320659285
7,14,2.0,833.9983257107085
7,15,2.142857142857143,731.4477671986965
7,16,2.2857142857142856,646.7258846487789
7,17,2.4285714285714284,603.6719832420906
7,18,2.5714285714285716,670.2548690352124
7,19,2.7142857142857144,806.0223606324168
7,20,2.857142857142857,961.3095702581495
7,21,3.0,870.8016217206408
7,22,3.142857142857143,988.1261486488334
7,23,3.2857142857142856,1082.4579714650326
7,24,3.4285714285714284,1199.6677462178072
7,25,3.5714285714285716,1093.086445365823
7,26,3.7142857142857144,1064.905992728337
7,27,3.857142857142857,1048.448408070004
8,16,2.0,702.6279566008868
8,17,2.125,700.1655144030044
8,18,2.25,742.8835777262176
8,19,2.375,825.8322942579485
8,20,2.5,996.7374026146256
8,21,2.625,1202.9548627114584
8,22,2.75,1146.920991958163
8,23,2.875,1156.4650908919634
8,24,3.0,1007.2660126735774
8,25,3.125,1047.1767949313785
8,26,3.25,1032.6566196498954
8,27,3.375,1056.388179550921
8,28,3.5,884.0095390110524
8,29,3.625,1029.568431939948
8,30,3.75,1090.486255850244
8,31,3.875,1233.6520954600799
9,18,2.0,948.1988799520145
9,19,2.111111111111111,1453.2943784123988
9,20,2.2222222222222223,1309.8025088763477
9,21,2.3333333333333335,1271.4312848245145
9,22,2.4444444444444446,1115.4645061256522
9,23,2.5555555555555554,1018.6669728722663
9,24,2.6666666666666665,1019.2935885274892
9,25,2.7777777777777777,936.3559071279699
9,26,2.888888888888889,978.8483551353523
9,27,3.0,959.6803440551909
9,28,3.111111111111111,982.7467287876382
9,29,3.2222222222222223,1143.29424572169
9,30,3.3333333333333335,1156.7322735108776
9,31,3.4444444444444446,1191.0244051026712
9,32,3.5555555555555554,1126.9297968634687
9,33,3.6666666666666665,1207.648669906422
9,34,3.7777777777777777,1121.8021807037921
9,35,3.888888888888889,1123.7515967563227
10,20,2.0,1345.632657252903
10,21,2.1,1161.8973715849968
10,22,2.2,1145.1146398628368
10,23,2.3,931.295306817039
10,24,2.4,927.2610606110072
10,25,2.5,837.6993529694399
10,26,2.6,864.5277965215673
10,27,2.7,1073.3514832916878
10,28,2.8,1136.9642066239976
10,29,2.9,1238.3353168506044
10,30,3.0,1102.9427388489783
10,31,3.1,1175.514349276624
10,32,3.2,1140.8808289297685
10,33,3.3,1245.4135921220272
10,34,3.4,1118.8345838903476
10,35,3.5,1215.765167871528
10,36,3.6,1228.9375870131098
10,37,3.7,1004.5258556312989
10,38,3.8,999.362412541128
10,39,3.9,959.1022832985776
11,22,2.0,910.9642574880827
11,23,2.090909090909091,986.9001411254119
11,24,2.1818181818181817,949.2447540150583
11,25,2.272727272727273,946.965182738255
11,26,2.3636363636363638,1044.1725056045073
11,27,2.4545454545454546,1214.901879926729
11,28,2.5454545454545454,1221.6536983071442
11,29,2.6363636363636362,1108.9491887467327
11,30,2.727272727272727,1154.884206665232
11,31,2.8181818181818183,1129.5467948527235
11,32,2.909090909090909,1294.6487567776437
11,33,3.0,1136.799497001208
11,34,3.090909090909091,1168.6798433423903
11,35,3.1818181818181817,1162.5847267448214
11,36,3.272727272727273,1012.2233900777399
11,37,3.3636363636363638,1089.4933209686737
11,38,3.4545454545454546,1043.8026992306038
11,39,3.5454545454545454,1009.8788183784987
11,40,3.6363636363636362,985.2302229745782
11,41,3.727272727272727,1085.0959888221132
11,42,3.8181818181818183,1197.6656347138469
11,43,3.909090909090909,1197.6656347138469
12,24,2.0,1064.2675669639361
12,25,2.0833333333333335,1038.8474519567155
12,26,2.1666666666666665,1112.1224646316527
12,27,2.25,1074.0211943578463
12,28,2.3333333333333335,1157.662414585178
12,29,2.4166666666666665,1146.3004042648247
12,30,2.5,1167.74943476452
12,31,2.5833333333333335,1153.791572623166
12,32,2.6666666666666665,1259.4379192141191
12,33,2.75,1165.2525521770917
12,34,2.8333333333333335,1208.631960936157
12,35,2.9166666666666665,1090.8456735487878
12,36,3.0,1091.7370761729696
12,37,3.0833333333333335,1017.4898076649988
12,38,3.1666666666666665,955.6071539558544
12,39,3.25,929.718072901953
12,40,3.3333333333333335,1096.8009515195395
12,41,3.4166666666666665,1195.7650916495347
12,42,3.5,1150.117500237969
12,43,3.5833333333333335,982.2094133549975
12,44,3.6666666666666665,928.4518860591435
12,45,3.75,829.0722462882574
12,46,3.8333333333333335,860.9353062083911
12,47,3.9166666666666665,856.9442253692947
13,26,2.0,1006.099054387349
13,27,2.076923076923077,1088.7359405507102
13,28,2.1538461538461537,1113.2819359648943
13,29,2.230769230769231,1094.2835562596963
13,30,2.3076923076923075,1115.1097071490026
13,31,2.3846153846153846,1323.358740436354
13,32,2.4615384615384617,1288.0255877364607
13,33,2.5384615384615383,1220.5555366407677
13,34,2.6153846153846154,1029.6418512529815
13,35,2.6923076923076925,1056.9246087378883
13,36,2.769230769230769,910.8539273236091
13,37,2.8461538461538463,873.7391392049637
13,38,2.923076923076923,951.9620707698477
13,39,3.0,1139.4343598631606
13,40,3.076923076923077,1166.3392049566278
13,41,3.1538461538461537,1021.9598554013932
13,42,3.230769230769231,966.5823298624277
13,43,3.3076923076923075,989.5409853207458
13,44,3.3846153846153846,991.9500861739242
13,45,3.4615384615384617,907.0665225745903
13,46,3.5384615384615383,886.6241042793625
13,47,3.6153846153846154,784.1269384251708
13,48,3.6923076923076925,844.9717749541759
13,49,3.769230769230769,930.911272648181
13,50,3.8461538461538463,957.3376424579985
13,51,3.923076923076923,919.8242810483326
14,28,2.0,1119.1967537299895
14,29,2.0714285714285716,1204.1273911660767
14,30,2.142857142857143,1301.4645516402722
14,31,2.2142857142857144,1268.0443457214742
14,32,2.2857142857142856,1154.3549655280206
14,33,2.357142857142857,1070.3289932595676
14,34,2.4285714285714284,1066.7954904347246
14,35,2.5,1014.586280939583
14,36,2.5714285714285716,997.79044811681
14,37,2.642857142857143,1077.3221193137615
14,38,2.7142857142857144,1092.756251495092
14,39,2.7857142857142856,994.445808458792
14,40,2.857142857142857,986.4899717206218
14,41,2.9285714285714284,1071.521212655899
14,42,3.0,1080.785084811425
14,43,3.0714285714285716,977.2976220435239
14,44,3.142857142857143,868.1258603270866
14,45,3.2142857142857144,785.5640683856601
14,46,3.2857142857142856,816.3541088866848
14,47,3.357142857142857,820.1324691487005
14,48,3.4285714285714284,959.5244649488734
14,49,3.5,988.5661752359468
14,50,3.5714285714285716,973.2928746244381
14,51,3.642857142857143,920.4490012797453
14,52,3.7142857142857144,950.1551538105496
14,53,3.7857142857142856,1050.480590839297
14,54,3.857142857142857,1035.2803537485486
14,55,3.9285714285714284,930.1225818498439
15,30,2.0,1154.0067229615584
15,31,2.066666666666667,1149.975556813666
15,32,2.1333333333333333,1084.4921367983313
15,33,2.2,1086.195772160367
15,34,2.2666666666666666,985.5528182056552
15,35,2.3333333333333335,1124.3016328471829
15,36,2.4,1128.4494476003656
15,37,2.466666666666667,1150.4178456833251
15,38,2.533333333333333,1063.0348613882447
15,39,2.6,1025.4908516986684
15,40,2.6666666666666665,1079.659912303287
15,41,2.7333333333333334,1084.6201894500919
15,42,2.8,992.1301008118164
15,43,2.8666666666666667,811.1437777038025
15,44,2.933333333333333,815.9278244530954
15,45,3.0,833.6855009541248
15,46,3.066666666666667,863.8016420561494
15,47,3.1333333333333333,1043.5853743806751
15,48,3.2,1052.7067840171912
15,49,3.2666666666666666,1028.636613608777
15,50,3.3333333333333335,1021.1684756505077
15,51,3.4,970.5444784638053
15,52,3.466666666666667,892.9600049732039
15,53,3.533333333333333,928.3531666656021
15,54,3.6,916.092044039171
15,55,3.6666666666666665,971.1022358986711
15,56,3.7333333333333334,1025.182989955982
15,57,3.8,984.5982413570429
15,58,3.8666666666666667,984.5831063280248
15,59,3.933333333333333,977.8245221231155
