sma,bma,ratio,dollars
4,8,2.0,510.41355957459683
4,9,2.25,413.8848556981032
4,10,2.5,478.12187177828025
4,11,2.75,496.06326225784017
4,12,3.0,433.76718998354715
4,13,3.25,495.4037488074343
4,14,3.5,515.1603018083591
4,15,3.75,595.5589341325563
5,10,2.0,661.0703306437686
5,11,2.2,507.6517345741726
5,12,2.4,625.5883737754365
5,13,2.6,670.2211155137675
5,14,2.8,710.3940864292866
5,15,3.0,650.163157680998
5,16,3.2,834.8911279442212
5,17,3.4,697.39289453026
5,18,3.6,644.0579504118534
5,19,3.8,477.9905437230681
6,12,2.0,705.0675265945745
6,13,2.1666666666666665,758.2132685359262
6,14,2.3333333333333335,881.6823445374011
6,15,2.5,900.6016318791175
6,16,2.6666666666666665,810.3013513140654
6,17,2.8333333333333335,853.2238459203315
6,18,3.0,666.8529485056027
6,19,3.1666666666666665,957.9959606913042
6,20,3.3333333333333335,1018.5072890023638
6,21,3.5,1210.9469990658388
6,22,3.6666666666666665,975.3076533274618
6,23,3.8333333333333335,803.7462912959276
7,14,2.0,475.6668094094144
7,15,2.142857142857143,643.1305605673658
7,16,2.2857142857142856,784.3775090080871
7,17,2.4285714285714284,695.1180857570674
7,18,2.5714285714285716,726.5260793127276
7,19,2.7142857142857144,893.5002005354479
7,20,2.857142857142857,860.2629844286769
7,21,3.0,746.2397881764696
7,22,3.142857142857143,911.4353064615107
7,23,3.2857142857142856,861.662007504247
7,24,3.4285714285714284,875.0120433313897
7,25,3.5714285714285716,925.0868488260526
7,26,3.7142857142857144,819.5245298672805
7,27,3.857142857142857,896.7578604693966
8,16,2.0,589.358469105908
8,17,2.125,708.9128606067105
8,18,2.25,852.4366914858349
8,19,2.375,790.4378239176677
8,20,2.5,666.4002381160329
8,21,2.625,720.4602024911572
8,22,2.75,868.2894777400462
8,23,2.875,788.7072665014726
8,24,3.0,688.6097248468474
8,25,3.125,799.3418806822089
8,26,3.25,690.5858705827866
8,27,3.375,800.0837568556723
8,28,3.5,745.3671078470463
8,29,3.625,901.9219259079249
8,30,3.75,603.0117754873619
8,31,3.875,542.9482956155192
9,18,2.0,839.1612259254947
9,19,2.111111111111111,652.1329459696616
9,20,2.2222222222222223,884.9366883217581
9,21,2.3333333333333335,846.3731944099364
9,22,2.4444444444444446,802.306488763631
9,23,2.5555555555555554,754.4179986326391
9,24,2.6666666666666665,615.9256832521128
9,25,2.7777777777777777,730.5172471369499
9,26,2.888888888888889,689.8373030252653
9,27,3.0,742.1532157434735
9,28,3.111111111111111,816.6402829678834
9,29,3.2222222222222223,750.5429996720231
9,30,3.3333333333333335,508.2885799220263
9,31,3.4444444444444446,444.9584839289243
9,32,3.5555555555555554,483.0416738865976
9,33,3.6666666666666665,459.14189704491827
9,34,3.7777777777777777,413.21699130736226
9,35,3.888888888888889,391.3691234192712
10,20,2.0,565.9541775492291
10,21,2.1,878.458685572199
10,22,2.2,816.5931434774934
10,23,2.3,613.5254854678881
10,24,2.4,532.1527075365466
10,25,2.5,669.7241192716393
10,26,2.6,812.0248102576679
10,27,2.7,818.0851440976946
10,28,2.8,882.9888715116141
10,29,2.9,588.447247182328
10,30,3.0,570.1652723020551
10,31,3.1,504.44271201571195
10,32,3.2,523.443618665302
10,33,3.3,484.54558589868856
10,34,3.4,534.6209110082099
10,35,3.5,437.23848857645385
10,36,3.6,455.3279012388453
10,37,3.7,450.399629116167
10,38,3.8,511.01341748046343
10,39,3.9,534.8905829332725
11,22,2.0,555.9261481154184
11,23,2.090909090909091,594.3202545434958
11,24,2.1818181818181817,592.4959762712391
11,25,2.272727272727273,691.8947029850901
11,26,2.3636363636363638,688.157601124407
11,27,2.4545454545454546,713.4974516160589
11,28,2.5454545454545454,629.7963941343485
11,29,2.6363636363636362,638.0520578427742
11,30,2.727272727272727,642.9827236506346
11,31,2.8181818181818183,608.2554265196884
11,32,2.909090909090909,575.6447851132586
11,33,3.0,550.4409725883047
11,34,3.090909090909091,498.66684525807125
11,35,3.1818181818181817,378.98910131033716
11,36,3.272727272727273,414.01138549993647
11,37,3.3636363636363638,482.2962938784726
11,38,3.4545454545454546,456.86993539533984
11,39,3.5454545454545454,503.88007761510363
11,40,3.6363636363636362,449.81069392569674
11,41,3.727272727272727,380.97425635071227
11,42,3.8181818181818183,359.8458458080809
11,43,3.909090909090909,305.3905667846691
12,24,2.0,485.8158011926452
12,25,2.0833333333333335,690.3336850987007
12,26,2.1666666666666665,642.6822483251151
12,27,2.25,578.2627810660391
12,28,2.3333333333333335,718.0838956826617
12,29,2.4166666666666665,622.7260966515096
12,30,2.5,620.5294871175716
12,31,2.5833333333333335,576.0554400902178
12,32,2.6666666666666665,586.7600689378116
12,33,2.75,506.2301766315859
12,34,2.8333333333333335,430.8592644157178
12,35,2.9166666666666665,415.5890031581534
12,36,3.0,428.8867855175581
12,37,3.0833333333333335,442.23350108482987
12,38,3.1666666666666665,344.6258330958774
12,39,3.25,323.52004744069257
12,40,3.3333333333333335,323.93194126000384
12,41,3.4166666666666665,307.8116109486476
12,42,3.5,290.00355845484967
12,43,3.5833333333333335,295.4022685876789
12,44,3.6666666666666665,318.1189263776168
12,45,3.75,295.41942730091796
12,46,3.8333333333333335,243.03120218182562
12,47,3.9166666666666665,279.41602052785527
13,26,2.0,608.1642058370246
13,27,2.076923076923077,663.0044315374167
13,28,2.1538461538461537,667.3959709542385
13,29,2.230769230769231,476.34714656410296
13,30,2.3076923076923075,700.4870157334545
13,31,2.3846153846153846,552.9415587004504
13,32,2.4615384615384617,528.0793648979347
13,33,2.5384615384615383,520.4239030536847
13,34,2.6153846153846154,422.06830511261694
13,35,2.6923076923076925,377.7674435685511
13,36,2.769230769230769,399.50277809405543
13,37,2.8461538461538463,333.6529899427067
13,38,2.923076923076923,278.47768917222004
13,39,3.0,302.5618936408805
13,40,3.076923076923077,292.14593850623663
13,41,3.1538461538461537,305.94875962868997
13,42,3.230769230769231,289.9627889667028
13,43,3.3076923076923075,306.0686547353234
13,44,3.3846153846153846,340.65498723272003
13,45,3.4615384615384617,312.2369581508144
13,46,3.5384615384615383,293.2725897829822
13,47,3.6153846153846154,331.53807650394134
13,48,3.6923076923076925,317.98976755719633
13,49,3.769230769230769,295.3248047859817
13,50,3.8461538461538463,310.1635240644524
13,51,3.923076923076923,323.632210945893
14,28,2.0,501.8586483260738
14,29,2.0714285714285716,656.6579688336797
14,30,2.142857142857143,463.0220353573256
14,31,2.2142857142857144,388.2283272798016
14,32,2.2857142857142856,413.6825438936154
