sma,bma,ratio,dollars
4,8,2.0,3309.624451950988
4,9,2.25,3406.5236764484944
4,10,2.5,3237.1589744641647
4,11,2.75,2736.05953132251
4,12,3.0,1977.1369339797532
4,13,3.25,1985.8208675230858
4,14,3.5,2065.651983691239
4,15,3.75,2065.4689306910777
5,10,2.0,3326.3694632026113
5,11,2.2,2928.806623260948
5,12,2.4,2326.5795216971787
5,13,2.6,2233.8558813207555
5,14,2.8,1933.748430158558
5,15,3.0,1843.9180554338097
5,16,3.2,1674.4339204229625
5,17,3.4,1961.0138230697514
5,18,3.6,1738.145840734618
5,19,3.8,1758.110256489225
6,12,2.0,1981.2773807539643
6,13,2.1666666666666665,2246.071048453499
6,14,2.3333333333333335,2040.4898011596604
6,15,2.5,2054.471301960892
6,16,2.6666666666666665,1884.5787742650814
6,17,2.8333333333333335,1793.5018234728782
6,18,3.0,1559.7815802454622
6,19,3.1666666666666665,1515.7673830421272
6,20,3.3333333333333335,1575.5532776072628
6,21,3.5,1800.9848363141625
6,22,3.6666666666666665,1882.294229761296
6,23,3.8333333333333335,1697.005529157529
7,14,2.0,1754.4862686150411
7,15,2.142857142857143,1532.7030886452178
7,16,2.2857142857142856,1476.3547875641289
7,17,2.4285714285714284,1467.6136316564628
7,18,2.5714285714285716,1376.958134036763
7,19,2.7142857142857144,1612.0562889089858
7,20,2.857142857142857,1491.367170480715
7,21,3.0,1925.276972851767
7,22,3.142857142857143,1966.0653808113811
7,23,3.2857142857142856,1797.6655806957415
7,24,3.4285714285714284,2465.0311426166395
7,25,3.5714285714285716,2492.3934782548804
7,26,3.7142857142857144,2440.1345486436703
7,27,3.857142857142857,2407.5944247990374
8,16,2.0,1493.9859997166145
8,17,2.125,1491.3252405466922
8,18,2.25,1469.548346602495
8,19,2.375,1588.6737915108738
8,20,2.5,1637.3845667574092
8,21,2.625,1530.3481187268374
8,22,2.75,1443.9800193763049
8,23,2.875,1652.1457375208488
8,24,3.0,2136.226804910285
8,25,3.125,2277.6652208244973
8,26,3.25,2258.3323033008355
8,27,3.375,2070.0782704959456
8,28,3.5,2099.575134716565
8,29,3.625,2130.3472423628396
8,30,3.75,2013.8016651891107
8,31,3.875,1981.6600167366698
9,18,2.0,1297.4746394187732
9,19,2.111111111111111,1428.4025203390815
9,20,2.2222222222222223,1528.6845339798517
9,21,2.3333333333333335,1629.6503865318116
9,22,2.4444444444444446,2141.614141503743
9,23,2.5555555555555554,1904.4281530056173
9,24,2.6666666666666665,2272.2086097079705
9,25,2.7777777777777777,2183.1353170253833
9,26,2.888888888888889,2293.6572321559397
9,27,3.0,2178.499091207921
9,28,3.111111111111111,1972.5391715915407
9,29,3.2222222222222223,2215.600678039545
9,30,3.3333333333333335,2156.96414004033
9,31,3.4444444444444446,2283.838080528351
9,32,3.5555555555555554,2073.156418520253
9,33,3.6666666666666665,2266.0290952091364
9,34,3.7777777777777777,2101.768321564893
9,35,3.888888888888889,2056.583687919034
10,20,2.0,1845.341178324925
10,21,2.1,1862.5679880113362
10,22,2.2,2148.427063686969
10,23,2.3,2608.530082947675
10,24,2.4,2229.5259140132644
10,25,2.5,2208.72491780306
10,26,2.6,2003.8384559882677
10,27,2.7,2465.097186529873
10,28,2.8,2256.2926623724697
10,29,2.9,2386.3702983210605
10,30,3.0,2476.156547821913
10,31,3.1,2881.2430117769954
10,32,3.2,2747.8583120219723
10,33,3.3,2401.5305819843725
10,34,3.4,2139.456911330372
10,35,3.5,2040.6669302972189
10,36,3.6,1740.9131408790272
10,37,3.7,1678.8535312917877
10,38,3.8,1652.0772292331487
10,39,3.9,1526.0484465799316
11,22,2.0,3048.928346741206
11,23,2.090909090909091,2785.040586922513
11,24,2.1818181818181817,2581.0039079556127
11,25,2.272727272727273,2365.7432985957053
11,26,2.3636363636363638,2515.715974359846
11,27,2.4545454545454546,3121.9816968489763
11,28,2.5454545454545454,2833.554773314429
11,29,2.6363636363636362,2821.710518915434
11,30,2.727272727272727,2958.804142304804
11,31,2.8181818181818183,2860.056584283053
11,32,2.909090909090909,2400.859194782962
11,33,3.0,2376.292053814312
11,34,3.090909090909091,2278.146000190761
11,35,3.1818181818181817,1915.6783804383708
11,36,3.272727272727273,1616.4198867460216
11,37,3.3636363636363638,1619.32929611788
11,38,3.4545454545454546,1671.1182288089296
11,39,3.5454545454545454,1607.3600716546125
11,40,3.6363636363636362,1899.6993499715716
11,41,3.727272727272727,1784.6012246974942
11,42,3.8181818181818183,1971.5585748549174
11,43,3.909090909090909,2071.64226351785
12,24,2.0,2950.449522379305
12,25,2.0833333333333335,2384.077103036606
12,26,2.1666666666666665,2592.814817525551
12,27,2.25,3031.3577060951134
12,28,2.3333333333333335,2680.2560017802753
12,29,2.4166666666666665,2807.907338958965
12,30,2.5,2853.8059152331953
12,31,2.5833333333333335,2608.2580771019625
12,32,2.6666666666666665,2315.1203923094063
12,33,2.75,2365.817023828015
12,34,2.8333333333333335,1878.3197081136245
12,35,2.9166666666666665,1709.8827009597944
12,36,3.0,1786.697032856585
12,37,3.0833333333333335,1794.7021385484297
12,38,3.1666666666666665,1939.4991162489134
12,39,3.25,2002.775184869432
12,40,3.3333333333333335,1886.564406907882
12,41,3.4166666666666665,1893.2912231651671
12,42,3.5,2264.192499572197
12,43,3.5833333333333335,2278.4913599549286
12,44,3.6666666666666665,2036.1556487958476
12,45,3.75,1984.0116400028564
12,46,3.8333333333333335,2117.5668294105258
12,47,3.9166666666666665,2098.5514798929885
13,26,2.0,2884.710198927481
13,27,2.076923076923077,2994.2285347915386
13,28,2.1538461538461537,2310.1831964278886
13,29,2.230769230769231,2482.2914950427435
13,30,2.3076923076923075,2292.970206158897
13,31,2.3846153846153846,2174.328484161908
13,32,2.4615384615384617,2037.5825172506175
13,33,2.5384615384615383,2184.4653238296296
13,34,2.6153846153846154,1924.5764800909394
13,35,2.6923076923076925,1792.614120752133
13,36,2.769230769230769,1875.1476904647022
13,37,2.8461538461538463,1875.5147603419168
13,38,2.923076923076923,2012.010353005118
13,39,3.0,2058.972250949247
13,40,3.076923076923077,2035.5196689097515
13,41,3.1538461538461537,2154.113192120519
13,42,3.230769230769231,2115.1939459175424
13,43,3.3076923076923075,2097.2370020730023
13,44,3.3846153846153846,2065.6930255868347
13,45,3.4615384615384617,2018.8850094567538
13,46,3.5384615384615383,2158.670311954745
13,47,3.6153846153846154,1917.9301424281653
13,48,3.6923076923076925,1841.550331178213
13,49,3.769230769230769,1826.1034228810324
13,50,3.8461538461538463,1895.6424535266174
13,51,3.923076923076923,1890.5386147152612
14,28,2.0,2177.3310105074856
14,29,2.0714285714285716,2048.6420598705863
14,30,2.142857142857143,2142.2111151480076
14,31,2.2142857142857144,2242.970838588092
14,32,2.2857142857142856,2410.1834743329932
14,33,2.357142857142857,2489.634432428954
14,34,2.4285714285714284,2002.44184659804
14,35,2.5,1915.4515979322002
14,36,2.5714285714285716,1926.5061117045439
14,37,2.642857142857143,1913.8484406376256
14,38,2.7142857142857144,2112.4946188777308
14,39,2.7857142857142856,2065.9710373433545
14,40,2.857142857142857,2174.634351060958
14,41,2.9285714285714284,2148.8165713236567
14,42,3.0,2343.5314387140934
14,43,3.0714285714285716,2074.1316618193664
14,44,3.142857142857143,2105.1731871532184
14,45,3.2142857142857144,1878.0171125061793
14,46,3.2857142857142856,1953.4028338620406
14,47,3.357142857142857,2046.235623768201
14,48,3.4285714285714284,2020.1290534839977
14,49,3.5,1862.777776583707
14,50,3.5714285714285716,1827.0941647044417
14,51,3.642857142857143,1813.5404329426601
14,52,3.7142857142857144,1794.1122146994005
14,53,3.7857142857142856,1702.7396152413655
14,54,3.857142857142857,1715.9129208919278
14,55,3.9285714285714284,1662.1405530464133
15,30,2.0,2109.0330150018412
15,31,2.066666666666667,2288.2035686977856
15,32,2.1333333333333333,2432.6913638378824
15,33,2.2,2232.945294653119
15,34,2.2666666666666666,1947.7307829595056
15,35,2.3333333333333335,2022.2430310504058
15,36,2.4,1870.2364544191255
15,37,2.466666666666667,2016.0674595406408
15,38,2.533333333333333,2033.18095314582
15,39,2.6,1953.7708001990834
15,40,2.6666666666666665,2092.483010619532
15,41,2.7333333333333334,2269.8983500443105
15,42,2.8,2107.9246940515554
15,43,2.8666666666666667,2206.8713565331236
15,44,2.933333333333333,1811.8663285028094
15,45,3.0,1981.9188474628425
15,46,3.066666666666667,1959.2750487625076
15,47,3.1333333333333333,1868.119075859211
15,48,3.2,1919.8219222820353
15,49,3.2666666666666666,1783.1792559719242
15,50,3.3333333333333335,1763.2506057398928
15,51,3.4,1723.2766074839558
15,52,3.466666666666667,1632.1446595116759
15,53,3.533333333333333,1602.7638609129388
15,54,3.6,1911.9426868314956
15,55,3.6666666666666665,1850.9730250090468
15,56,3.7333333333333334,1715.1902285052308
15,57,3.8,1715.239628377518
15,58,3.8666666666666667,1714.854490011748
15,59,3.933333333333333,1707.3301294429982
