sma,bma,ratio,dollars
4,8,2.0,4911.6918206928
4,9,2.25,4190.907993854066
4,10,2.5,4502.904986086881
4,11,2.75,4830.526174409282
4,12,3.0,4609.207453953744
4,13,3.25,5387.070885043703
4,14,3.5,4746.216474120856
4,15,3.75,4348.898526176686
5,10,2.0,7738.571258414739
5,11,2.2,5237.324438335943
5,12,2.4,5302.543997151606
5,13,2.6,5909.292115013892
5,14,2.8,5038.064020080086
5,15,3.0,4754.190523911999
5,16,3.2,3370.013110210243
5,17,3.4,3443.820929491975
5,18,3.6,3931.8106778658334
5,19,3.8,3405.1289857329443
6,12,2.0,6138.2363969336175
6,13,2.1666666666666665,7074.533214953883
6,14,2.3333333333333335,5502.023334660208
6,15,2.5,4173.06253944952
6,16,2.6666666666666665,3873.4623674877203
6,17,2.8333333333333335,3552.4413896894735
6,18,3.0,3522.592051239891
6,19,3.1666666666666665,3071.4589849778467
6,20,3.3333333333333335,1975.5117049956389
6,21,3.5,2156.6265128186997
6,22,3.6666666666666665,3154.9331370812424
6,23,3.8333333333333335,3252.780529520175
7,14,2.0,4834.071757555371
7,15,2.142857142857143,2868.5746320986536
7,16,2.2857142857142856,2708.0391347830823
7,17,2.4285714285714284,2878.7095887683945
7,18,2.5714285714285716,2959.580763300194
7,19,2.7142857142857144,2239.4307873098537
7,20,2.857142857142857,2447.4364345768568
7,21,3.0,2861.8496599864147
7,22,3.142857142857143,2347.3595268711956
7,23,3.2857142857142856,2654.791580232075
7,24,3.4285714285714284,2949.209181987181
7,25,3.5714285714285716,3119.992058457561
7,26,3.7142857142857144,3872.7338815637045
7,27,3.857142857142857,3173.528259572508
8,16,2.0,1764.1263824406403
8,17,2.125,2441.356734998877
8,18,2.25,2087.205715726278
8,19,2.375,1674.49686662606
8,20,2.5,1973.7505695425552
8,21,2.625,2512.025750463836
8,22,2.75,3698.2085777455322
8,23,2.875,3393.7270307116924
8,24,3.0,3308.4175844808897
8,25,3.125,3964.407019807843
8,26,3.25,3612.7848476973345
8,27,3.375,3545.757247204282
8,28,3.5,3536.251612015975
8,29,3.625,2740.3935976242615
8,30,3.75,2387.59061935901
8,31,3.875,2389.1006543375433
9,18,2.0,1378.7303864250553
9,19,2.111111111111111,1372.2360384854614
9,20,2.2222222222222223,1493.3048555921957
9,21,2.3333333333333335,3617.7609291793883
9,22,2.4444444444444446,3178.026646416722
9,23,2.5555555555555554,3784.117487482014
