sma,bma,ratio,dollars
4,8,2.0,3661.6183018487054
4,9,2.25,3260.5207382581293
4,10,2.5,2847.9081820002757
4,11,2.75,2348.258747232814
4,12,3.0,2481.7427211825843
4,13,3.25,1868.1322910697015
4,14,3.5,2616.3325063050984
4,15,3.75,2141.1777776883046
5,10,2.0,6021.299194488837
5,11,2.2,3230.549306633554
5,12,2.4,4059.7120784029244
5,13,2.6,4390.359173780932
5,14,2.8,3287.604009347993
5,15,3.0,2825.2184529525352
5,16,3.2,2359.58892910688
5,17,3.4,2455.6642895158343
5,18,3.6,2620.8810032016136
5,19,3.8,2898.801806806372
6,12,2.0,5341.722644081332
6,13,2.1666666666666665,5002.123562394533
6,14,2.3333333333333335,4606.222975064368
6,15,2.5,5066.718492190918
6,16,2.6666666666666665,3358.6164110192367
6,17,2.8333333333333335,3657.445027525328
6,18,3.0,3760.854657235857
6,19,3.1666666666666665,3048.7086492162625
6,20,3.3333333333333335,4212.885553158499
6,21,3.5,4934.781048307108
6,22,3.6666666666666665,5383.223020002461
6,23,3.8333333333333335,6408.221737795517
7,14,2.0,6041.778633115654
7,15,2.142857142857143,6696.2977679369815
7,16,2.2857142857142856,4124.282095652907
7,17,2.4285714285714284,5056.41343460137
7,18,2.5714285714285716,4104.437486810994
7,19,2.7142857142857144,5458.099159773147
7,20,2.857142857142857,2548.1408555773246
7,21,3.0,3126.0158505246563
7,22,3.142857142857143,3804.8262981919934
7,23,3.2857142857142856,4563.0872043592735
7,24,3.4285714285714284,5703.435357139736
7,25,3.5714285714285716,5189.725707645502
7,26,3.7142857142857144,5571.346241264258
7,27,3.857142857142857,7034.283737935387
8,16,2.0,3525.67373857452
8,17,2.125,3605.910565248703
8,18,2.25,2470.9074440874106
8,19,2.375,3288.332547312857
8,20,2.5,3153.67165584966
8,21,2.625,4861.446805920261
8,22,2.75,5722.601524867491
8,23,2.875,5179.92665381659
8,24,3.0,4804.870866245549
8,25,3.125,4822.25052067455
8,26,3.25,4503.0037124233295
8,27,3.375,4790.284740324081
8,28,3.5,4561.601586537099
8,29,3.625,5930.471538271813
8,30,3.75,6397.4451046189
8,31,3.875,8112.410832601288
9,18,2.0,2041.4681904303714
9,19,2.111111111111111,3979.869524117401
9,20,2.2222222222222223,4235.896140315941
