sewma,bewma,ratio,dollars
4,8,2.0,1739.2227879663574
4,9,2.25,1757.5653110979986
4,10,2.5,2101.9292554272006
4,11,2.75,1769.3414415971515
4,12,3.0,1817.213400747032
4,13,3.25,1852.1826039248233
4,14,3.5,1983.3252906490509
4,15,3.75,1716.7081692106065
5,10,2.0,1695.6856653588586
5,11,2.2,1565.4029616817816
5,12,2.4,1645.1156720528425
5,13,2.6,1763.094029292905
5,14,2.8,1697.6624182221276
5,15,3.0,1699.4427459670799
5,16,3.2,1522.2716672852105
5,17,3.4,1717.6630757430096
5,18,3.6,1676.9901244247278
5,19,3.8,1662.0776928247421
6,12,2.0,1893.76512097566
6,13,2.1666666666666665,1826.55616812962
6,14,2.3333333333333335,1714.0884253609688
6,15,2.5,1699.8548033891814
6,16,2.6666666666666665,1593.0561883814541
6,17,2.8333333333333335,1618.7521462081838
6,18,3.0,1749.8035004743895
6,19,3.1666666666666665,1714.0955164606976
6,20,3.3333333333333335,1694.825190889715
6,21,3.5,1639.487039404014
6,22,3.6666666666666665,1761.835736647635
6,23,3.8333333333333335,1625.1588653029778
7,14,2.0,1658.8425278429484
7,15,2.142857142857143,1631.3761367992158
7,16,2.2857142857142856,1772.2801793014394
7,17,2.4285714285714284,1768.149406634191
7,18,2.5714285714285716,1794.6151651102546
7,19,2.7142857142857144,1652.553896095153
7,20,2.857142857142857,1763.5584368582684
7,21,3.0,1764.8254527211925
7,22,3.142857142857143,1640.8448375100431
7,23,3.2857142857142856,1645.7712050300688
7,24,3.4285714285714284,1590.1305633149032
7,25,3.5714285714285716,1788.2611826147058
7,26,3.7142857142857144,1796.0910489997812
7,27,3.857142857142857,2068.510593551864
8,16,2.0,1788.2971556584882
8,17,2.125,1613.1264527830238
8,18,2.25,1747.575186950796
8,19,2.375,1771.92257658292
8,20,2.5,1637.7418745132045
8,21,2.625,1764.4094597402916
8,22,2.75,1641.2091651704702
8,23,2.875,1786.7648647753801
8,24,3.0,2219.7138253602734
8,25,3.125,2153.336442942595
8,26,3.25,1733.6496122530375
8,27,3.375,1914.8741797189523
8,28,3.5,1880.3596001122014
8,29,3.625,2014.8557810305388
8,30,3.75,1931.0668968634802
8,31,3.875,2150.932515621447
9,18,2.0,1669.6583593041773
9,19,2.111111111111111,1860.9478635286907
9,20,2.2222222222222223,1823.2784753567835
9,21,2.3333333333333335,1797.8257877599194
9,22,2.4444444444444446,2071.078952935068
9,23,2.5555555555555554,2334.497968775158
9,24,2.6666666666666665,2174.745911205934
9,25,2.7777777777777777,2060.876465836124
9,26,2.888888888888889,1933.366805874683
9,27,3.0,1940.0895523107602
9,28,3.111111111111111,1886.9114037949562
9,29,3.2222222222222223,1881.3372026524132
9,30,3.3333333333333335,2021.3682373911845
9,31,3.4444444444444446,2116.8027794300183
9,32,3.5555555555555554,2131.146004168166
9,33,3.6666666666666665,2077.434372564662
9,34,3.7777777777777777,2077.0809640933853
9,35,3.888888888888889,2066.3716861764437
10,20,2.0,2066.361590386529
10,21,2.1,2128.6326269932033
10,22,2.2,2288.283267230565
10,23,2.3,1829.0489101816906
10,24,2.4,1908.042963611696
10,25,2.5,1880.166616089691
10,26,2.6,1937.1487651193374
10,27,2.7,1798.5714491012359
10,28,2.8,2039.2384327748714
10,29,2.9,2152.1633442203224
10,30,3.0,2003.0658972456797
10,31,3.1,2080.5869242338135
10,32,3.2,2251.2566046991956
10,33,3.3,2202.854359918446
10,34,3.4,1977.9566205392798
10,35,3.5,2085.189454491511
10,36,3.6,2181.8551589017898
10,37,3.7,2208.0439572460186
10,38,3.8,1973.2231418274125
10,39,3.9,1858.472336449023
11,22,2.0,1840.1671711153804
11,23,2.090909090909091,1829.30851430757
11,24,2.1818181818181817,1829.30851430757
11,25,2.272727272727273,1911.384763980998
11,26,2.3636363636363638,1846.4285032746982
11,27,2.4545454545454546,2039.2384327748714
11,28,2.5454545454545454,2049.876839137189
11,29,2.6363636363636362,2219.117584182665
11,30,2.727272727272727,2211.397693788608
11,31,2.8181818181818183,2144.6738835455594
11,32,2.909090909090909,2066.1775842586662
11,33,3.0,2151.77467941119
11,34,3.090909090909091,1960.8853641866024
11,35,3.1818181818181817,2118.7422665870054
11,36,3.272727272727273,2118.7422665870054
11,37,3.3636363636363638,2094.6994783498676
11,38,3.4545454545454546,1973.2231418274125
11,39,3.5454545454545454,1893.467121614933
11,40,3.6363636363636362,1925.5196121490164
11,41,3.727272727272727,1893.356219200155
11,42,3.8181818181818183,1963.0936622893057
11,43,3.909090909090909,2179.8596283482198
12,24,2.0,1771.270364552744
12,25,2.0833333333333335,1936.5605131654634
12,26,2.1666666666666665,2026.919221251615
12,27,2.25,2173.3718233167547
12,28,2.3333333333333335,2154.5762825757997
12,29,2.4166666666666665,2249.2694852229406
12,30,2.5,2092.306750476685
12,31,2.5833333333333335,2242.3376602836997
12,32,2.6666666666666665,1882.5766502539716
12,33,2.75,1981.3287063624364
12,34,2.8333333333333335,2152.3468202077543
12,35,2.9166666666666665,2163.9604618075086
12,36,3.0,2064.2415745386024
12,37,3.0833333333333335,2053.2841687296923
12,38,3.1666666666666665,2053.2841687296923
12,39,3.25,1952.6997173809825
12,40,3.3333333333333335,2021.6874960839395
12,41,3.4166666666666665,1939.4523540499908
12,42,3.5,2066.829137879181
12,43,3.5833333333333335,2029.8435058377593
12,44,3.6666666666666665,2424.6412158421226
12,45,3.75,2356.4009412095315
12,46,3.8333333333333335,2460.0994009594056
12,47,3.9166666666666665,2460.0994009594056
13,26,2.0,2181.620967867019
13,27,2.076923076923077,2154.5762825757997
13,28,2.1538461538461537,2193.0900787125875
13,29,2.230769230769231,2222.692995724529
13,30,2.3076923076923075,2094.3566201190933
13,31,2.3846153846153846,1922.7545991395957
13,32,2.4615384615384617,2175.7661852773513
13,33,2.5384615384615383,2099.325726435036
13,34,2.6153846153846154,2079.5365203144074
13,35,2.6923076923076925,2195.839606008513
13,36,2.769230769230769,2107.109421611535
13,37,2.8461538461538463,2053.2841687296923
13,38,2.923076923076923,2047.1433146444926
13,39,3.0,1971.3872295154215
13,40,3.076923076923077,1925.2690658221607
13,41,3.1538461538461537,2031.9691900402088
13,42,3.230769230769231,2346.6653700729103
13,43,3.3076923076923075,2422.2378955109325
13,44,3.3846153846153846,2537.06840573787
13,45,3.4615384615384617,2460.0994009594056
13,46,3.5384615384615383,2546.8770173208254
13,47,3.6153846153846154,2829.6708637080524
13,48,3.6923076923076925,2448.071220320195
13,49,3.769230769230769,2634.690951469117
13,50,3.8461538461538463,2768.578123344374
13,51,3.923076923076923,2769.676874459899
14,28,2.0,2032.6280418534493
14,29,2.0714285714285716,2085.1532099641054
14,30,2.142857142857143,2026.7527759249274
14,31,2.2142857142857144,2099.325726435036
14,32,2.2857142857142856,2099.325726435036
14,33,2.357142857142857,2139.499763069876
14,34,2.4285714285714284,2195.839606008513
14,35,2.5,2095.8008907645244
14,36,2.5714285714285716,2128.9121918193637
14,37,2.642857142857143,2174.0494476681583
14,38,2.7142857142857144,1941.7676160277383
14,39,2.7857142857142856,1933.8758015490193
14,40,2.857142857142857,2159.1159679866087
14,41,2.9285714285714284,2519.089465564981
14,42,3.0,2653.2654766774554
14,43,3.0714285714285716,2653.2654766774554
14,44,3.142857142857143,2603.3884170982838
14,45,3.2142857142857144,2829.6708637080524
14,46,3.2857142857142856,2829.6708637080524
14,47,3.357142857142857,2600.164616563317
14,48,3.4285714285714284,2768.578123344374
14,49,3.5,2807.8724139632695
14,50,3.5714285714285716,2989.3472994186354
14,51,3.642857142857143,2679.557626845571
14,52,3.7142857142857144,2728.367050376659
14,53,3.7857142857142856,2676.4544497954407
14,54,3.857142857142857,2656.1532576910895
14,55,3.9285714285714284,2600.6501842007688
15,30,2.0,2236.5244376565447
15,31,2.066666666666667,2216.7355711173973
15,32,2.1333333333333333,2260.009154913938
15,33,2.2,2139.499763069876
15,34,2.2666666666666666,2172.9949200041074
15,35,2.3333333333333335,2136.168735698836
15,36,2.4,2116.3921000140353
15,37,2.466666666666667,1920.1931013078195
15,38,2.533333333333333,2351.089842925981
15,39,2.6,2302.9068829176517
15,40,2.6666666666666665,2381.9732465755274
15,41,2.7333333333333334,2712.1374775823033
15,42,2.8,2684.840498033587
15,43,2.8666666666666667,2603.3884170982838
15,44,2.933333333333333,2946.550708477667
15,45,3.0,2919.5252949068517
15,46,3.066666666666667,2768.578123344374
15,47,3.1333333333333333,2950.0407470291116
15,48,3.2,2989.3472994186354
15,49,3.2666666666666666,2679.557626845571
15,50,3.3333333333333335,2681.6723487787217
15,51,3.4,2615.7944539621913
15,52,3.466666666666667,2610.694460734444
15,53,3.533333333333333,2604.7273657625483
15,54,3.6,2604.7273657625483
15,55,3.6666666666666665,2604.7273657625483
15,56,3.7333333333333334,2604.7273657625483
15,57,3.8,2552.9703445681666
15,58,3.8666666666666667,2422.2946050975224
15,59,3.933333333333333,2394.261383577553
