sewma,bewma,ratio,dollars
4,8,2.0,2208.0586820295175
4,9,2.25,2103.214333232501
4,10,2.5,2043.6978947158775
4,11,2.75,2148.8945851847257
4,12,3.0,1959.516577438469
4,13,3.25,1764.031078522103
4,14,3.5,1554.0565994465637
4,15,3.75,1396.6429852114152
5,10,2.0,1984.2535744251634
5,11,2.2,1794.0148508007485
5,12,2.4,1629.4587458750038
5,13,2.6,1422.6825515903581
5,14,2.8,1277.2350802267208
5,15,3.0,1342.2015759380583
5,16,3.2,1540.7131467102765
5,17,3.4,1624.1115074141217
5,18,3.6,1608.3697036678816
5,19,3.8,1737.7734146224184
6,12,2.0,1346.2689670289785
6,13,2.1666666666666665,1244.0570439729627
6,14,2.3333333333333335,1417.2660315059418
6,15,2.5,1453.4297105632224
6,16,2.6666666666666665,1444.8437312376575
6,17,2.8333333333333335,1632.6360911767895
6,18,3.0,1996.327677887121
6,19,3.1666666666666665,2048.3785434239853
6,20,3.3333333333333335,1889.709711872697
6,21,3.5,1764.919842020705
6,22,3.6666666666666665,1723.8506147959947
6,23,3.8333333333333335,1526.384170893671
7,14,2.0,1535.9568329405074
7,15,2.142857142857143,1645.4435047896782
7,16,2.2857142857142856,1968.9201940227065
7,17,2.4285714285714284,1969.9656189539521
7,18,2.5714285714285716,1740.9080019394542
7,19,2.7142857142857144,1459.6785541167417
7,20,2.857142857142857,1438.9229536967644
7,21,3.0,1445.7512504288
7,22,3.142857142857143,1435.0530497427612
7,23,3.2857142857142856,1194.7875145523599
7,24,3.4285714285714284,1124.665808000298
7,25,3.5714285714285716,1148.0587259674046
7,26,3.7142857142857144,1245.3571614445837
7,27,3.857142857142857,1154.0842112015066
8,16,2.0,1671.206238014088
8,17,2.125,1511.4942568792496
8,18,2.25,1468.5966561437576
8,19,2.375,1418.8360169541893
8,20,2.5,1376.7422508016964
8,21,2.625,1131.8778442648936
8,22,2.75,1100.8989912853858
8,23,2.875,1100.8989912853858
8,24,3.0,1112.8868698951724
8,25,3.125,1052.0120950557136
8,26,3.25,1108.9491361214623
8,27,3.375,1087.0376234681482
8,28,3.5,1148.9504579479326
8,29,3.625,1148.9504579479326
8,30,3.75,1262.3665664062082
8,31,3.875,1228.535511732382
9,18,2.0,1535.1144085952778
9,19,2.111111111111111,1289.284324887377
9,20,2.2222222222222223,1166.7922123586388
9,21,2.3333333333333335,1228.264456715296
9,22,2.4444444444444446,1348.9913426082935
9,23,2.5555555555555554,1158.3210825000776
9,24,2.6666666666666665,1162.6433228520239
9,25,2.7777777777777777,1213.1584020097168
9,26,2.888888888888889,1213.1584020097168
9,27,3.0,1220.1057515143607
9,28,3.111111111111111,1306.1438478084083
9,29,3.2222222222222223,1336.6759128560284
9,30,3.3333333333333335,1230.9100706409636
9,31,3.4444444444444446,1320.740019133795
9,32,3.5555555555555554,1182.4275200812772
9,33,3.6666666666666665,1124.219069559905
9,34,3.7777777777777777,1126.522980586751
9,35,3.888888888888889,1117.7546177017289
10,20,2.0,1510.9967798114255
10,21,2.1,1498.1512794028301
10,22,2.2,1413.3008707080064
10,23,2.3,1297.7231851285692
10,24,2.4,1273.2873981167434
10,25,2.5,1390.7044199429056
10,26,2.6,1501.2718758491865
10,27,2.7,1382.6790074543972
10,28,2.8,1408.5662529078093
10,29,2.9,1245.3204176132185
10,30,3.0,1191.8245974580823
10,31,3.1,1245.022967228301
10,32,3.2,1173.25023817953
10,33,3.3,1276.787987647155
10,34,3.4,1166.0925318061572
10,35,3.5,1092.9836844567717
10,36,3.6,1091.097032378207
10,37,3.7,1110.229805146699
10,38,3.8,1201.9942328537284
10,39,3.9,1170.6217644271337
11,22,2.0,1264.6363236348816
11,23,2.090909090909091,1273.2873981167434
11,24,2.1818181818181817,1292.917728968483
11,25,2.272727272727273,1403.1347045303557
11,26,2.3636363636363638,1390.298537648257
11,27,2.4545454545454546,1336.200220397618
11,28,2.5454545454545454,1367.0984280301682
11,29,2.6363636363636362,1395.1239148612735
11,30,2.727272727272727,1298.7262370463495
11,31,2.8181818181818183,1294.1844196621803
11,32,2.909090909090909,1163.4692320002976
11,33,3.0,1136.7774738325213
11,34,3.090909090909091,1191.4960050495934
11,35,3.1818181818181817,1083.3168124062224
11,36,3.272727272727273,1088.500146436875
11,37,3.3636363636363638,1081.8457146825267
11,38,3.4545454545454546,1198.4224626530295
11,39,3.5454545454545454,1275.0910781561915
11,40,3.6363636363636362,1313.2236887631648
11,41,3.727272727272727,1298.5383824868497
11,42,3.8181818181818183,1356.2078807354837
11,43,3.909090909090909,1400.4327417050176
12,24,2.0,1186.9869684016637
12,25,2.0833333333333335,1230.8178364421078
12,26,2.1666666666666665,1205.8301287595173
12,27,2.25,1305.4304154931137
12,28,2.3333333333333335,1258.1772948929051
12,29,2.4166666666666665,1450.2123106460583
12,30,2.5,1282.9586967593511
12,31,2.5833333333333335,1293.8751119821316
12,32,2.6666666666666665,1122.1916906281197
12,33,2.75,1150.6799493099477
12,34,2.8333333333333335,1148.719836890685
12,35,2.9166666666666665,1088.500146436875
12,36,3.0,1117.3356761678378
12,37,3.0833333333333335,1174.4735170161957
12,38,3.1666666666666665,1248.3068222754525
12,39,3.25,1346.32053691801
12,40,3.3333333333333335,1213.3853085067462
12,41,3.4166666666666665,1252.7186464771646
12,42,3.5,1304.6659033735277
12,43,3.5833333333333335,1324.7943406199558
12,44,3.6666666666666665,1370.561739120074
12,45,3.75,1308.598265103853
12,46,3.8333333333333335,1426.9409316233118
12,47,3.9166666666666665,1482.4323105707406
13,26,2.0,1301.197967874638
13,27,2.076923076923077,1181.5864566784971
13,28,2.1538461538461537,1211.6334491790694
13,29,2.230769230769231,1171.3407321832601
13,30,2.3076923076923075,1176.9208939379114
13,31,2.3846153846153846,1274.4197777853303
13,32,2.4615384615384617,1153.1789519527163
13,33,2.5384615384615383,1148.5069199626944
13,34,2.6153846153846154,1213.670014469102
13,35,2.6923076923076925,1232.6051028099337
13,36,2.769230769230769,1226.3034936344727
13,37,2.8461538461538463,1168.3062078843743
13,38,2.923076923076923,1184.3703725224038
13,39,3.0,1316.1266098541366
13,40,3.076923076923077,1301.9604007650287
13,41,3.1538461538461537,1355.9495958629288
13,42,3.230769230769231,1245.8596175674086
13,43,3.3076923076923075,1323.6186600464246
13,44,3.3846153846153846,1470.4218817646451
13,45,3.4615384615384617,1499.4480130779073
13,46,3.5384615384615383,1518.9804281602271
13,47,3.6153846153846154,1518.9804281602271
13,48,3.6923076923076925,1592.5147885699214
13,49,3.769230769230769,1666.0292719767274
13,50,3.8461538461538463,1741.3555376937604
13,51,3.923076923076923,1746.7894263811431
14,28,2.0,1180.009393846682
14,29,2.0714285714285716,1183.5132056861128
14,30,2.142857142857143,1165.3239550484825
14,31,2.2142857142857144,1205.7045316292129
14,32,2.2857142857142856,1217.8998236496464
14,33,2.357142857142857,1197.589815723215
14,34,2.4285714285714284,1156.2779103994185
14,35,2.5,1082.5980659947895
14,36,2.5714285714285716,1030.2909914120023
14,37,2.642857142857143,1252.0754227956813
14,38,2.7142857142857144,1367.8607987850735
14,39,2.7857142857142856,1288.9689449117275
14,40,2.857142857142857,1224.2280805039209
14,41,2.9285714285714284,1363.939276039688
14,42,3.0,1541.299972027605
14,43,3.0714285714285716,1532.0779175468545
14,44,3.142857142857143,1547.7106582682568
14,45,3.2142857142857144,1518.9804281602271
14,46,3.2857142857142856,1629.8306866389712
14,47,3.357142857142857,1656.7908260858926
14,48,3.4285714285714284,1750.4662823628394
14,49,3.5,1769.8258366398422
14,50,3.5714285714285716,2104.139271469213
14,51,3.642857142857143,2119.711231818518
14,52,3.7142857142857144,1706.6281061651803
14,53,3.7857142857142856,1713.4252731645718
14,54,3.857142857142857,1713.4252731645718
14,55,3.9285714285714284,1713.4252731645718
15,30,2.0,1252.913450752331
15,31,2.066666666666667,1227.264511824741
15,32,2.1333333333333333,1234.6389152175445
15,33,2.2,1256.2026054705775
15,34,2.2666666666666666,1056.1247598022878
15,35,2.3333333333333335,1072.3845998983124
15,36,2.4,1310.354498671765
15,37,2.466666666666667,1297.2792833183132
15,38,2.533333333333333,1290.6916501011578
15,39,2.6,1357.4664902525367
15,40,2.6666666666666665,1379.0362024159392
15,41,2.7333333333333334,1401.8885526493661
