sewma,bewma,ratio,dollars
4,8,2.0,3288.8513665313567
4,9,2.25,2746.862805929732
4,10,2.5,3194.6707792710326
4,11,2.75,3902.194693328232
4,12,3.0,4359.7067812598925
4,13,3.25,4204.879749452423
4,14,3.5,4478.4753278639355
4,15,3.75,3976.7387141520303
5,10,2.0,3558.94686823075
5,11,2.2,4125.549352618704
5,12,2.4,4324.764327145738
5,13,2.6,4809.515678524367
5,14,2.8,3936.1133469271213
5,15,3.0,3252.6108655253547
5,16,3.2,2708.3417499187312
5,17,3.4,3206.8782678792177
5,18,3.6,3942.4461192474337
5,19,3.8,3874.1707324970116
6,12,2.0,4492.027755320856
6,13,2.1666666666666665,3571.06064295408
6,14,2.3333333333333335,3062.667305813477
6,15,2.5,3559.843560041273
6,16,2.6666666666666665,3342.522837876999
6,17,2.8333333333333335,3835.543559232304
6,18,3.0,3449.6478698529686
6,19,3.1666666666666665,3239.5368558812334
6,20,3.3333333333333335,3236.7788071513096
6,21,3.5,3361.2116298613164
6,22,3.6666666666666665,3333.955670592619
6,23,3.8333333333333335,2901.778115201759
7,14,2.0,3207.561597617502
7,15,2.142857142857143,3054.43648859866
7,16,2.2857142857142856,3114.551710112675
7,17,2.4285714285714284,2971.1270308749854
7,18,2.5714285714285716,3404.3844849485663
7,19,2.7142857142857144,3584.556961500699
7,20,2.857142857142857,3831.298676055461
7,21,3.0,3296.4332865337356
7,22,3.142857142857143,2894.054792808433
7,23,3.2857142857142856,2580.40334245963
7,24,3.4285714285714284,2210.2156502476005
7,25,3.5714285714285716,2585.8831402228957
7,26,3.7142857142857144,2923.6234115017323
7,27,3.857142857142857,2925.94405069772
8,16,2.0,3385.5393726901057
8,17,2.125,3589.5984394303905
8,18,2.25,3884.2362699164855
8,19,2.375,3494.850438966969
8,20,2.5,3056.8835734210843
8,21,2.625,2642.767377175792
8,22,2.75,2271.6518583628044
8,23,2.875,2420.114455458436
8,24,3.0,2502.692903660187
8,25,3.125,3074.7085992743405
8,26,3.25,3074.7085992743405
8,27,3.375,3074.5475705514605
8,28,3.5,2969.394508824922
8,29,3.625,2658.1968996271235
8,30,3.75,2634.536302940818
8,31,3.875,2786.384378309806
9,18,2.0,3220.7583440255257
9,19,2.111111111111111,2946.9307730119217
9,20,2.2222222222222223,2652.1920690429524
9,21,2.3333333333333335,2479.960815591613
9,22,2.4444444444444446,2834.335012591375
9,23,2.5555555555555554,2757.170896282474
9,24,2.6666666666666665,3181.263198127117
9,25,2.7777777777777777,2922.6566044421465
9,26,2.888888888888889,2815.606189865137
9,27,3.0,2722.895344929225
9,28,3.111111111111111,2889.9981836048205
9,29,3.2222222222222223,2839.728242293604
9,30,3.3333333333333335,2519.4817400816714
9,31,3.4444444444444446,2527.956923122246
9,32,3.5555555555555554,2519.727864222912
9,33,3.6666666666666665,2648.2405646603092
9,34,3.7777777777777777,2994.877348312819
