sewma,bewma,ratio,dollars
4,8,2.0,4957.180932357436
4,9,2.25,4989.716995634089
4,10,2.5,5408.182508835515
4,11,2.75,6036.956599744207
4,12,3.0,7793.525208267382
4,13,3.25,6126.410935478623
4,14,3.5,6220.568724335647
4,15,3.75,5379.4663358425605
5,10,2.0,7655.39909866352
5,11,2.2,6830.985429151014
5,12,2.4,5511.2628275322595
5,13,2.6,5014.116012645625
5,14,2.8,4962.4332649367125
5,15,3.0,4378.641842984545
5,16,3.2,5274.281894160464
5,17,3.4,9014.741452996632
5,18,3.6,10201.792791261978
5,19,3.8,14015.885592691478
6,12,2.0,4921.773928264277
6,13,2.1666666666666665,5301.910926417732
6,14,2.3333333333333335,5250.3448964159425
6,15,2.5,11178.787585376363
6,16,2.6666666666666665,12873.855075513804
6,17,2.8333333333333335,12915.210818068928
6,18,3.0,14199.506489729456
6,19,3.1666666666666665,15621.381152201324
6,20,3.3333333333333335,14573.449990675997
6,21,3.5,13470.19471474596
6,22,3.6666666666666665,14005.574861823547
6,23,3.8333333333333335,13580.462172656571
7,14,2.0,10385.486147561269
7,15,2.142857142857143,13289.123964991208
7,16,2.2857142857142856,14231.300838007197
7,17,2.4285714285714284,16663.115107133646
7,18,2.5714285714285716,15828.911167007636
7,19,2.7142857142857144,15368.638309689772
7,20,2.857142857142857,15103.120455654178
7,21,3.0,15572.75591320102
7,22,3.142857142857143,15292.760561708628
7,23,3.2857142857142856,13227.280746754668
7,24,3.4285714285714284,10055.741345073544
7,25,3.5714285714285716,10005.958649792128
7,26,3.7142857142857144,9197.839070610413
7,27,3.857142857142857,9099.403499938544
8,16,2.0,16197.847665700354
8,17,2.125,15960.810364753226
8,18,2.25,13676.029342574933
8,19,2.375,14302.219702029
8,20,2.5,14607.798219075163
8,21,2.625,13881.786003349556
8,22,2.75,11869.861922495184
8,23,2.875,10702.065871931667
8,24,3.0,11196.637075437082
8,25,3.125,9652.371756401353
8,26,3.25,10036.657721072002
8,27,3.375,9492.150675266621
8,28,3.5,9886.482899091765
8,29,3.625,9124.392143226656
8,30,3.75,10906.450309883741
8,31,3.875,11496.850114944806
9,18,2.0,14611.430939605169
9,19,2.111111111111111,14289.9627253184
9,20,2.2222222222222223,13561.878075960141
9,21,2.3333333333333335,13364.654416395406
9,22,2.4444444444444446,10445.222146801474
9,23,2.5555555555555554,10730.948763807133
9,24,2.6666666666666665,11145.861655680194
9,25,2.7777777777777777,10163.417536278106
9,26,2.888888888888889,9429.018952785778
9,27,3.0,9651.609757361804
9,28,3.111111111111111,9002.944096576854
9,29,3.2222222222222223,9431.925097448604
9,30,3.3333333333333335,11305.529873408868
9,31,3.4444444444444446,13886.45013024698
9,32,3.5555555555555554,14042.445209438149
9,33,3.6666666666666665,13163.932642304835
9,34,3.7777777777777777,13526.300006458667
9,35,3.888888888888889,17954.075161621466
10,20,2.0,10855.675264051823
10,21,2.1,11452.679329730589
10,22,2.2,11262.292928288003
10,23,2.3,11597.70378116063
10,24,2.4,11091.05931831952
10,25,2.5,10363.144451082784
10,26,2.6,10238.121707845106
10,27,2.7,9299.621533981901
10,28,2.8,9888.62156260036
10,29,2.9,11434.378663747508
10,30,3.0,13029.544649710939
10,31,3.1,14281.1667779986
10,32,3.2,13438.762098377156
10,33,3.3,13513.152744495228
10,34,3.4,16303.169874316503
10,35,3.5,19515.92751874271
10,36,3.6,18174.56988298869
10,37,3.7,18489.478177393463
10,38,3.8,13733.352058530249
10,39,3.9,14055.407215681713
11,22,2.0,11701.539898728346
11,23,2.090909090909091,11876.116213091285
11,24,2.1818181818181817,11735.884606580508
11,25,2.272727272727273,10118.75226940372
11,26,2.3636363636363638,9345.147140576431
11,27,2.4545454545454546,9742.718599196814
11,28,2.5454545454545454,12100.480752939862
11,29,2.6363636363636362,12489.04665111389
11,30,2.727272727272727,12057.314852583555
11,31,2.8181818181818183,12000.497258513218
11,32,2.909090909090909,15631.080482066158
11,33,3.0,19557.177742336553
11,34,3.090909090909091,19571.406111959288
11,35,3.1818181818181817,18900.0952366837
11,36,3.272727272727273,18987.757076236852
11,37,3.3636363636363638,13733.352058530249
11,38,3.4545454545454546,14250.95439351413
11,39,3.5454545454545454,11345.43198167454
11,40,3.6363636363636362,12025.986266161246
11,41,3.727272727272727,12957.394893741886
11,42,3.8181818181818183,13028.24334698835
11,43,3.909090909090909,13699.312449635176
12,24,2.0,9701.628746955204
12,25,2.0833333333333335,9451.806867409523
12,26,2.1666666666666665,10648.077231705827
12,27,2.25,13006.53856452679
12,28,2.3333333333333335,12142.517871848071
12,29,2.4166666666666665,10969.492138068641
12,30,2.5,10151.729723042754
12,31,2.5833333333333335,18333.759121399555
12,32,2.6666666666666665,19195.977825583876
12,33,2.75,19362.623835551058
12,34,2.8333333333333335,18797.03562755332
12,35,2.9166666666666665,20748.268406741598
12,36,3.0,16373.507043241969
12,37,3.0833333333333335,10900.713330347033
12,38,3.1666666666666665,11085.47118340376
12,39,3.25,12197.401950017509
12,40,3.3333333333333335,13028.24334698835
12,41,3.4166666666666665,13545.909346409133
12,42,3.5,14576.504036401375
12,43,3.5833333333333335,14705.821109415483
12,44,3.6666666666666665,13753.335732939797
12,45,3.75,13753.335732939797
12,46,3.8333333333333335,13753.335732939797
12,47,3.9166666666666665,12264.798792690703
13,26,2.0,12550.026997721992
13,27,2.076923076923077,11253.943900880693
13,28,2.1538461538461537,10395.377037118442
13,29,2.230769230769231,15041.20000666121
13,30,2.3076923076923075,17150.718436984498
13,31,2.3846153846153846,19257.228552532135
13,32,2.4615384615384617,19198.200542930976
13,33,2.5384615384615383,15743.092623626639
13,34,2.6153846153846154,17439.744253478293
13,35,2.6923076923076925,16284.224570596281
13,36,2.769230769230769,10637.150202966915
13,37,2.8461538461538463,12197.401950017509
13,38,2.923076923076923,12040.123612705296
13,39,3.0,12638.663365618197
13,40,3.076923076923077,13869.976103932964
13,41,3.1538461538461537,14576.504036401375
13,42,3.230769230769231,14725.010738966594
13,43,3.3076923076923075,13753.335732939797
13,44,3.3846153846153846,13179.93382020696
13,45,3.4615384615384617,12264.798792690703
13,46,3.5384615384615383,12264.798792690703
13,47,3.6153846153846154,12264.798792690703
13,48,3.6923076923076925,12264.798792690703
13,49,3.769230769230769,12632.304725113192
13,50,3.8461538461538463,12744.655500285899
13,51,3.923076923076923,11632.026845499033
14,28,2.0,16415.52184243886
14,29,2.0714285714285716,17584.995098946296
14,30,2.142857142857143,17364.32857105847
14,31,2.2142857142857144,16079.080517956218
14,32,2.2857142857142856,16846.617107983035
14,33,2.357142857142857,17439.744253478293
14,34,2.4285714285714284,16284.224570596281
14,35,2.5,11912.619794198692
14,36,2.5714285714285716,12040.123612705296
14,37,2.642857142857143,12372.968902404116
14,38,2.7142857142857144,12839.750074153486
