sma,bma,ratio,dollars
4,8,2.0,1459.2583033110589
4,9,2.25,1440.4887993820385
4,10,2.5,1082.151578394614
4,11,2.75,974.3648258142424
4,12,3.0,1083.580969807075
4,13,3.25,978.6250966213453
4,14,3.5,908.3417384127188
4,15,3.75,1071.4712371611413
5,10,2.0,980.860854123854
5,11,2.2,904.5644344130657
5,12,2.4,1156.7779931692835
5,13,2.6,814.7155538321299
5,14,2.8,1057.9974079966578
5,15,3.0,1247.8698351822009
5,16,3.2,1261.7735103006232
5,17,3.4,1221.4863144000722
5,18,3.6,1136.6723315814434
5,19,3.8,1208.2568659098952
6,12,2.0,952.6442603784567
6,13,2.1666666666666665,846.7543182729083
6,14,2.3333333333333335,907.9502088553419
6,15,2.5,1056.698696740932
6,16,2.6666666666666665,1221.9060507306333
6,17,2.8333333333333335,1092.5283863217066
6,18,3.0,1396.1952846646961
6,19,3.1666666666666665,1474.1867368359665
6,20,3.3333333333333335,1446.6745865244425
6,21,3.5,1063.4941669231548
6,22,3.6666666666666665,845.9949397925155
6,23,3.8333333333333335,822.2224615813196
7,14,2.0,1050.3611772242414
7,15,2.142857142857143,1364.1073630645094
7,16,2.2857142857142856,1361.830418888766
7,17,2.4285714285714284,1647.2943559787204
7,18,2.5714285714285716,1122.918222625157
7,19,2.7142857142857144,1097.7900112871935
7,20,2.857142857142857,1026.2538628184952
7,21,3.0,936.1297312458353
7,22,3.142857142857143,896.0742898668212
7,23,3.2857142857142856,894.2480300490774
7,24,3.4285714285714284,938.9333988414178
7,25,3.5714285714285716,1214.7977172491944
7,26,3.7142857142857144,1393.3771401052188
7,27,3.857142857142857,1301.1267132058342
8,16,2.0,1629.9926494157764
8,17,2.125,1361.4621012477553
8,18,2.25,1291.2502342213807
8,19,2.375,1121.2533900467781
8,20,2.5,1296.9735780536428
8,21,2.625,1165.5677072322508
8,22,2.75,988.6780559236912
8,23,2.875,896.8074671393821
8,24,3.0,1137.0550185809657
8,25,3.125,1378.3741763636358
8,26,3.25,1093.63263363731
8,27,3.375,1024.2857735241143
8,28,3.5,964.9971628210494
8,29,3.625,905.3180731461947
8,30,3.75,981.0355709470764
8,31,3.875,927.1347618678357
9,18,2.0,1280.0351843410026
9,19,2.111111111111111,1318.3997808047416
9,20,2.2222222222222223,1201.0277243102432
9,21,2.3333333333333335,1215.6905197841636
9,22,2.4444444444444446,1075.27290851216
9,23,2.5555555555555554,1105.413579794824
9,24,2.6666666666666665,1006.5621538969336
9,25,2.7777777777777777,935.1674706460173
9,26,2.888888888888889,836.6428558711237
9,27,3.0,903.0030071852017
9,28,3.111111111111111,908.5806257391914
9,29,3.2222222222222223,897.6995990784968
9,30,3.3333333333333335,921.8122904313047
9,31,3.4444444444444446,910.3082617894927
9,32,3.5555555555555554,1053.9777878070956
9,33,3.6666666666666665,1002.9393428319939
9,34,3.7777777777777777,1073.410010918793
9,35,3.888888888888889,1141.2238393944585
10,20,2.0,1035.839358196907
10,21,2.1,1036.1229760035894
10,22,2.2,977.8854531723501
10,23,2.3,1027.5881173684977
10,24,2.4,918.1972034096216
10,25,2.5,899.5634707887039
10,26,2.6,819.571023570804
10,27,2.7,877.4621254408123
10,28,2.8,845.2793895558254
10,29,2.9,795.008219744218
10,30,3.0,930.6378976019831
10,31,3.1,951.9091710829581
10,32,3.2,966.7078314801178
10,33,3.3,1017.2811955651115
10,34,3.4,1036.5932734559844
10,35,3.5,938.2849086789867
10,36,3.6,784.8644709675833
10,37,3.7,855.5690237223245
10,38,3.8,883.7957294407585
10,39,3.9,886.4405447713203
11,22,2.0,1071.6840988165638
11,23,2.090909090909091,948.9188086224003
11,24,2.1818181818181817,890.022554153401
11,25,2.272727272727273,690.4204512552644
11,26,2.3636363636363638,758.4696145143596
11,27,2.4545454545454546,876.6678850132182
11,28,2.5454545454545454,837.6748470286686
11,29,2.6363636363636362,770.7580076613551
11,30,2.727272727272727,745.0817750891829
11,31,2.8181818181818183,926.4409673479645
11,32,2.909090909090909,1103.0358556060114
11,33,3.0,1140.450198340722
11,34,3.090909090909091,1018.8350221952803
11,35,3.1818181818181817,1030.529447308614
11,36,3.272727272727273,1007.3952935121487
11,37,3.3636363636363638,1141.217172077843
11,38,3.4545454545454546,1142.3522099103707
11,39,3.5454545454545454,1143.782014546593
11,40,3.6363636363636362,1141.9825212726976
11,41,3.727272727272727,1077.2607494452077
11,42,3.8181818181818183,1117.2289937399223
11,43,3.909090909090909,1108.3705171342224
12,24,2.0,869.1978882169432
12,25,2.0833333333333335,831.1817392620554
12,26,2.1666666666666665,914.0251727130321
12,27,2.25,854.6300579669019
12,28,2.3333333333333335,898.8283713162297
12,29,2.4166666666666665,816.3298576764051
12,30,2.5,957.820571046252
12,31,2.5833333333333335,1298.215675315022
12,32,2.6666666666666665,1273.6217255323807
12,33,2.75,1280.3045190350927
12,34,2.8333333333333335,1145.9464028937066
12,35,2.9166666666666665,1145.9445399453234
12,36,3.0,1177.2623706802372
12,37,3.0833333333333335,1178.1580044163397
12,38,3.1666666666666665,1298.121505884459
12,39,3.25,1249.4553830207249
12,40,3.3333333333333335,1314.7482522789044
12,41,3.4166666666666665,1363.9805333467682
12,42,3.5,1282.4211385706485
12,43,3.5833333333333335,1374.3296194928637
12,44,3.6666666666666665,1392.7092812105345
12,45,3.75,1355.8346958817947
12,46,3.8333333333333335,1455.0183230320545
12,47,3.9166666666666665,1222.8251104595547
13,26,2.0,1026.0033999501247
13,27,2.076923076923077,940.7464059464634
13,28,2.1538461538461537,1035.1082531470076
13,29,2.230769230769231,934.4212711858444
13,30,2.3076923076923075,992.6158661233104
13,31,2.3846153846153846,1220.3047166523381
13,32,2.4615384615384617,1331.7545376402245
13,33,2.5384615384615383,1440.5120451590044
13,34,2.6153846153846154,1232.6439732135825
13,35,2.6923076923076925,1355.0028843511884
13,36,2.769230769230769,1272.8557426394013
13,37,2.8461538461538463,1320.152337477217
13,38,2.923076923076923,1232.645422360521
13,39,3.0,1232.645422360521
13,40,3.076923076923077,1180.8953013249293
13,41,3.1538461538461537,1309.9314688822922
13,42,3.230769230769231,1240.141868602535
13,43,3.3076923076923075,1327.665913474977
13,44,3.3846153846153846,1340.8368142776255
13,45,3.4615384615384617,1400.653891915536
13,46,3.5384615384615383,1262.574589485023
13,47,3.6153846153846154,1372.2397424692556
13,48,3.6923076923076925,1344.6958974260492
13,49,3.769230769230769,1200.431418599795
13,50,3.8461538461538463,1166.792729853575
13,51,3.923076923076923,1194.9961599998026
14,28,2.0,1014.358275735271
14,29,2.0714285714285716,938.7929906020493
14,30,2.142857142857143,1147.0120973733888
14,31,2.2142857142857144,1119.1536832332142
14,32,2.2857142857142856,1249.9172244571969
14,33,2.357142857142857,1259.1869329011201
14,34,2.4285714285714284,1313.7794903630022
14,35,2.5,1382.7604733798041
14,36,2.5714285714285716,1590.3319377924672
14,37,2.642857142857143,1658.6511495620398
14,38,2.7142857142857144,1567.5287220889418
14,39,2.7857142857142856,1677.0730278028066
14,40,2.857142857142857,1502.725209173216
14,41,2.9285714285714284,1534.2888625633414
14,42,3.0,1584.4990894908633
14,43,3.0714285714285716,1420.0589872272176
14,44,3.142857142857143,1381.3356570837561
14,45,3.2142857142857144,1321.4108255016572
14,46,3.2857142857142856,1582.4892681419042
14,47,3.357142857142857,1622.7447101960665
14,48,3.4285714285714284,1554.0801472022824
14,49,3.5,1552.0088031162172
14,50,3.5714285714285716,1422.7273644549753
14,51,3.642857142857143,1476.2853079906956
14,52,3.7142857142857144,1545.7965189374472
14,53,3.7857142857142856,1544.7338467088007
14,54,3.857142857142857,1575.468789550481
14,55,3.9285714285714284,1593.5891941449142
15,30,2.0,1177.7498212802423
15,31,2.066666666666667,1371.1419118065196
15,32,2.1333333333333333,1680.2245122505053
15,33,2.2,1645.2153798850286
15,34,2.2666666666666666,1915.7856438456056
15,35,2.3333333333333335,1668.6831086028383
15,36,2.4,1472.8824386237684
15,37,2.466666666666667,1444.404680556847
15,38,2.533333333333333,1419.7629921612875
15,39,2.6,1479.1131658741372
15,40,2.6666666666666665,1370.9161379302038
15,41,2.7333333333333334,1276.0408133305414
15,42,2.8,1320.501108210936
15,43,2.8666666666666667,1347.7253217169614
15,44,2.933333333333333,1246.9053491571822
15,45,3.0,1398.3375719065816
15,46,3.066666666666667,1398.3375719065816
15,47,3.1333333333333333,1427.3123006054109
15,48,3.2,1532.3375402315025
15,49,3.2666666666666666,1507.4083398268479
15,50,3.3333333333333335,1414.5827491206771
15,51,3.4,1449.6444988199696
15,52,3.466666666666667,1420.7486039983808
15,53,3.533333333333333,1310.4605614392028
15,54,3.6,1336.1929764110764
15,55,3.6666666666666665,1503.2172720994602
15,56,3.7333333333333334,1407.9616027579684
15,57,3.8,1406.398422537232
15,58,3.8666666666666667,1478.9418944461556
15,59,3.933333333333333,1559.9283498960326
