sma,bma,ratio,dollars
4,8,2.0,1533.0639404975166
4,9,2.25,1083.16062432866
4,10,2.5,1135.5842958531673
4,11,2.75,988.4242892954676
4,12,3.0,1579.1582146291298
4,13,3.25,2305.0472463205315
4,14,3.5,2089.2769779138303
4,15,3.75,2404.5932866666285
5,10,2.0,1169.2910092757297
5,11,2.2,1058.4161287719717
5,12,2.4,2011.292545604737
5,13,2.6,1743.6091498573496
5,14,2.8,1518.4239679734385
5,15,3.0,1750.251722298017
5,16,3.2,1598.2321739842507
5,17,3.4,1508.4334139756968
5,18,3.6,1696.2961052762748
5,19,3.8,1313.5986116700826
6,12,2.0,1376.4796051226342
6,13,2.1666666666666665,985.6075065835573
6,14,2.3333333333333335,1312.7467579655574
6,15,2.5,1980.111297270333
6,16,2.6666666666666665,1919.0328800268487
6,17,2.8333333333333335,1237.0193615313472
6,18,3.0,1470.9725939950754
6,19,3.1666666666666665,1571.9515023673202
6,20,3.3333333333333335,1552.4350785755269
6,21,3.5,1545.125200217908
6,22,3.6666666666666665,1355.8502351782786
6,23,3.8333333333333335,1163.5794995786462
7,14,2.0,1595.2592110644573
7,15,2.142857142857143,1971.2205914231522
7,16,2.2857142857142856,1880.1991480948445
7,17,2.4285714285714284,1060.1933087888358
7,18,2.5714285714285716,1456.1967530884206
7,19,2.7142857142857144,1426.3560853383551
7,20,2.857142857142857,1562.8991770264288
7,21,3.0,1394.4857782051918
7,22,3.142857142857143,1209.871580496145
7,23,3.2857142857142856,1044.078657236213
7,24,3.4285714285714284,1022.2675381488082
7,25,3.5714285714285716,1254.4173779472867
7,26,3.7142857142857144,1216.2441718963553
7,27,3.857142857142857,1610.9675188450003
8,16,2.0,2353.6055175041984
8,17,2.125,2395.759221127706
8,18,2.25,1806.5402754432603
8,19,2.375,1506.411199678802
8,20,2.5,1518.023357731391
8,21,2.625,1204.7931617919405
8,22,2.75,1097.4394943384157
8,23,2.875,1176.181874650786
8,24,3.0,1095.8719172891479
8,25,3.125,1166.003305135626
8,26,3.25,1489.001116409764
8,27,3.375,1552.1964394529766
8,28,3.5,1569.1647750240359
8,29,3.625,1474.7140114202714
8,30,3.75,1314.762870685405
8,31,3.875,1466.995432242486
9,18,2.0,1488.9314028827505
9,19,2.111111111111111,1582.7827247514776
9,20,2.2222222222222223,1302.7361434070633
9,21,2.3333333333333335,1020.1581803510946
9,22,2.4444444444444446,933.3954911592643
9,23,2.5555555555555554,885.5329366278454
9,24,2.6666666666666665,1031.8831733630564
9,25,2.7777777777777777,1208.723447242155
9,26,2.888888888888889,1412.8155061125037
9,27,3.0,1631.6218903338113
9,28,3.111111111111111,1580.118133609177
9,29,3.2222222222222223,1674.5763887684573
9,30,3.3333333333333335,1447.9134496448423
9,31,3.4444444444444446,1477.8657270486658
9,32,3.5555555555555554,1607.292819664497
9,33,3.6666666666666665,1348.4843022660077
9,34,3.7777777777777777,1616.9373382107956
9,35,3.888888888888889,1363.1859662670051
10,20,2.0,822.972129215068
10,21,2.1,826.8560439605658
10,22,2.2,742.4549463855953
10,23,2.3,1052.0386208100617
10,24,2.4,1205.025295051839
10,25,2.5,1388.9031836286392
10,26,2.6,1683.5478242078123
10,27,2.7,1622.1327707968492
10,28,2.8,1362.5163747170589
10,29,2.9,1482.288956974574
10,30,3.0,1377.5066855079651
10,31,3.1,1413.1580145925852
10,32,3.2,1619.23242077678
10,33,3.3,1462.9105396886725
10,34,3.4,1228.4463141413016
10,35,3.5,1132.9251220619847
10,36,3.6,1175.4441270004754
10,37,3.7,1034.0563562111784
10,38,3.8,1185.3661845361041
10,39,3.9,1204.1720188018842
11,22,2.0,1016.6788892410096
11,23,2.090909090909091,1327.553865326169
11,24,2.1818181818181817,1429.4939805128374
11,25,2.272727272727273,1370.286724282783
11,26,2.3636363636363638,1419.6179338656793
11,27,2.4545454545454546,1219.8488915467253
11,28,2.5454545454545454,1225.9009108847833
11,29,2.6363636363636362,1104.805255419399
11,30,2.727272727272727,1202.244838925156
11,31,2.8181818181818183,1255.726536943159
11,32,2.909090909090909,1345.8772942536618
11,33,3.0,1138.6768930263972
11,34,3.090909090909091,1126.783856723477
11,35,3.1818181818181817,1083.8185222532375
11,36,3.272727272727273,913.8581637061739
11,37,3.3636363636363638,1003.1652745491477
11,38,3.4545454545454546,1032.688129086406
11,39,3.5454545454545454,1115.4440746274452
11,40,3.6363636363636362,964.241870745895
11,41,3.727272727272727,1008.8844750413667
11,42,3.8181818181818183,1134.217100264732
11,43,3.909090909090909,1129.8172417332507
12,24,2.0,1300.6481836695086
12,25,2.0833333333333335,1083.3889385347275
12,26,2.1666666666666665,1098.671416525231
12,27,2.25,1122.6449472153224
12,28,2.3333333333333335,1173.2997041143583
12,29,2.4166666666666665,1120.452290134561
12,30,2.5,1095.9336104218294
12,31,2.5833333333333335,1223.3457316035622
12,32,2.6666666666666665,1109.1081531460015
12,33,2.75,1184.0901708038725
12,34,2.8333333333333335,1184.460304745514
12,35,2.9166666666666665,932.9653266025249
12,36,3.0,999.3926990578645
12,37,3.0833333333333335,848.9315943944689
12,38,3.1666666666666665,828.1117514569937
12,39,3.25,741.9061971274734
12,40,3.3333333333333335,700.4285165975078
12,41,3.4166666666666665,856.2801335812887
12,42,3.5,962.144376255024
12,43,3.5833333333333335,879.9635562230355
12,44,3.6666666666666665,907.5184790884349
12,45,3.75,961.0177257685967
12,46,3.8333333333333335,983.844670755892
12,47,3.9166666666666665,962.0776817828042
13,26,2.0,1223.0705471575902
13,27,2.076923076923077,1163.079732471313
13,28,2.1538461538461537,1290.600132285157
13,29,2.230769230769231,1052.9925966412416
13,30,2.3076923076923075,1007.7824243301296
13,31,2.3846153846153846,1163.3348647925543
13,32,2.4615384615384617,1202.721343304973
13,33,2.5384615384615383,856.0818514441454
13,34,2.6153846153846154,982.5867894550703
13,35,2.6923076923076925,853.7428120485631
13,36,2.769230769230769,768.8411805669095
13,37,2.8461538461538463,727.2728193168755
13,38,2.923076923076923,685.7684551211455
13,39,3.0,692.0715167593661
13,40,3.076923076923077,731.257747691395
13,41,3.1538461538461537,818.8470453560861
13,42,3.230769230769231,796.5940364081333
13,43,3.3076923076923075,766.8566940131175
13,44,3.3846153846153846,725.2026422608503
13,45,3.4615384615384617,750.1055025315609
13,46,3.5384615384615383,864.6584775169341
13,47,3.6153846153846154,862.7035375716928
13,48,3.6923076923076925,905.6718126049046
13,49,3.769230769230769,785.6166897082868
13,50,3.8461538461538463,907.4136701199459
13,51,3.923076923076923,755.3484100261179
14,28,2.0,1378.0356512470378
14,29,2.0714285714285716,1437.8969270716605
14,30,2.142857142857143,1113.8203685622964
14,31,2.2142857142857144,1332.177909850799
14,32,2.2857142857142856,1226.2610319579526
14,33,2.357142857142857,1048.2747162172564
14,34,2.4285714285714284,973.7692883999626
14,35,2.5,932.0756215126216
14,36,2.5714285714285716,737.9169032925123
14,37,2.642857142857143,565.8381036451298
14,38,2.7142857142857144,652.4963220771465
14,39,2.7857142857142856,793.9331253606854
14,40,2.857142857142857,756.2320786936725
14,41,2.9285714285714284,749.5714545272898
14,42,3.0,785.351700503339
14,43,3.0714285714285716,824.3105601447353
14,44,3.142857142857143,901.280855274172
14,45,3.2142857142857144,905.9735919094186
14,46,3.2857142857142856,798.2601792956685
14,47,3.357142857142857,995.1534009801258
14,48,3.4285714285714284,1336.6865134262082
14,49,3.5,1125.4975935474429
14,50,3.5714285714285716,1115.4385109613524
14,51,3.642857142857143,838.6035004091065
14,52,3.7142857142857144,693.9983011313619
14,53,3.7857142857142856,845.4200760058858
14,54,3.857142857142857,1083.6010345949273
14,55,3.9285714285714284,1075.8489892575521
15,30,2.0,1244.3384068026617
15,31,2.066666666666667,1432.6777560589562
15,32,2.1333333333333333,1057.9188254939056
15,33,2.2,995.949120077578
15,34,2.2666666666666666,939.5591927355814
15,35,2.3333333333333335,806.4262590259453
15,36,2.4,709.6772057624272
15,37,2.466666666666667,759.6690906833608
15,38,2.533333333333333,873.3184040316249
15,39,2.6,1050.055334790448
15,40,2.6666666666666665,941.7187328141903
15,41,2.7333333333333334,1127.22847330166
15,42,2.8,1322.015666027145
15,43,2.8666666666666667,1232.2313310049005
15,44,2.933333333333333,957.7398116446348
15,45,3.0,1061.4917525623248
15,46,3.066666666666667,1040.9690635196873
15,47,3.1333333333333333,1212.6876122558392
15,48,3.2,1302.3960798689789
15,49,3.2666666666666666,1100.7958684380515
15,50,3.3333333333333335,1040.7276143248873
15,51,3.4,1031.906219764505
15,52,3.466666666666667,1026.2503028225417
15,53,3.533333333333333,1278.5364037481643
15,54,3.6,1114.8542329938373
15,55,3.6666666666666665,1062.0949622290148
15,56,3.7333333333333334,992.4070105198325
15,57,3.8,967.7721721636148
15,58,3.8666666666666667,1014.3130413491723
15,59,3.933333333333333,1080.4832357508637
