sma,bma,ratio,dollars
4,8,2.0,894.6475177276666
4,9,2.25,746.9291553200069
4,10,2.5,760.8641316152159
4,11,2.75,1067.1723964957748
4,12,3.0,1400.4203714033345
4,13,3.25,1679.9811608156676
4,14,3.5,1833.6064431806763
4,15,3.75,2375.0453669678996
5,10,2.0,907.086947906867
5,11,2.2,1093.8036525004734
5,12,2.4,1597.9967435373685
5,13,2.6,1889.955681784613
5,14,2.8,2017.534361457567
5,15,3.0,1882.4562931422158
5,16,3.2,2467.8472802509946
5,17,3.4,2187.2965894764407
5,18,3.6,1647.9028008972562
5,19,3.8,2114.4185369888087
6,12,2.0,1865.8627413726867
6,13,2.1666666666666665,1854.3879254549613
6,14,2.3333333333333335,1883.551516541773
6,15,2.5,2291.5951639086934
6,16,2.6666666666666665,2350.503669597608
6,17,2.8333333333333335,1864.170134940856
6,18,3.0,1574.1287024153582
6,19,3.1666666666666665,1550.2488486755178
6,20,3.3333333333333335,1419.554423965915
6,21,3.5,1365.9240388787125
6,22,3.6666666666666665,1550.8946742904757
6,23,3.8333333333333335,1602.0354611732887
7,14,2.0,1347.3038981592033
7,15,2.142857142857143,1448.0951970451272
7,16,2.2857142857142856,1819.6658712914416
7,17,2.4285714285714284,1732.4392084372528
7,18,2.5714285714285716,1586.1463093056234
7,19,2.7142857142857144,1431.8452682148989
7,20,2.857142857142857,1557.4113287619514
7,21,3.0,1573.5634218157209
7,22,3.142857142857143,1475.4629181253013
7,23,3.2857142857142856,1397.9456071466059
7,24,3.4285714285714284,1605.6841797757284
7,25,3.5714285714285716,1285.6111989793096
7,26,3.7142857142857144,1284.1722214380766
7,27,3.857142857142857,1244.3249149987003
8,16,2.0,1672.2241457857906
8,17,2.125,2032.6435706454238
8,18,2.25,1690.8278964430626
8,19,2.375,1562.4694854713186
8,20,2.5,1619.6703479552832
8,21,2.625,1538.5622493915903
8,22,2.75,1490.4148142388474
8,23,2.875,1439.6276859824761
8,24,3.0,1261.1829903650703
8,25,3.125,1240.7529980691234
8,26,3.25,941.4916569645959
8,27,3.375,724.7337191854613
8,28,3.5,741.6929032327496
8,29,3.625,805.1713332428691
8,30,3.75,754.4598240731716
8,31,3.875,791.1175322087998
9,18,2.0,1998.8995667778513
9,19,2.111111111111111,1757.0974372331189
9,20,2.2222222222222223,1606.5077611612319
9,21,2.3333333333333335,1406.308274054537
9,22,2.4444444444444446,1129.9710425649696
9,23,2.5555555555555554,1114.0224929492856
9,24,2.6666666666666665,1008.2526225331595
9,25,2.7777777777777777,1166.5653219502624
9,26,2.888888888888889,915.3526626271193
9,27,3.0,622.7219080835691
9,28,3.111111111111111,674.1098068108181
9,29,3.2222222222222223,700.7012140733782
9,30,3.3333333333333335,784.6239822106675
9,31,3.4444444444444446,774.1800109571678
9,32,3.5555555555555554,727.6367225135893
9,33,3.6666666666666665,791.7758367702095
9,34,3.7777777777777777,686.4815623302148
9,35,3.888888888888889,730.332264793217
10,20,2.0,1104.2980236623525
10,21,2.1,1020.0103480509254
10,22,2.2,1002.7280807074113
10,23,2.3,981.6538791431132
10,24,2.4,730.800053075252
10,25,2.5,816.6306653049813
10,26,2.6,649.3344650298594
10,27,2.7,524.2872138064365
10,28,2.8,623.7901167577036
10,29,2.9,760.1625073302001
10,30,3.0,726.3435402955844
10,31,3.1,683.8033452794512
10,32,3.2,582.6766243567617
10,33,3.3,679.2602417134383
10,34,3.4,723.586175094626
10,35,3.5,734.8329416771766
10,36,3.6,740.1315218774548
10,37,3.7,682.8644391458573
10,38,3.8,730.2583636583341
10,39,3.9,1108.261819861602
11,22,2.0,859.1281249086636
11,23,2.090909090909091,930.3391696839358
11,24,2.1818181818181817,660.841808887538
11,25,2.272727272727273,649.8468019946735
11,26,2.3636363636363638,637.4015226610086
11,27,2.4545454545454546,496.11399582352703
11,28,2.5454545454545454,501.8325220690724
11,29,2.6363636363636362,629.406870342617
11,30,2.727272727272727,616.119910595972
11,31,2.8181818181818183,645.3450913080211
11,32,2.909090909090909,581.1806576713276
11,33,3.0,676.13126398841
11,34,3.090909090909091,745.4394385000184
11,35,3.1818181818181817,752.1169271810533
11,36,3.272727272727273,770.7373039341525
11,37,3.3636363636363638,779.1867864647531
