sma,bma,ratio,dollars
4,8,2.0,3043.9269186454035
4,9,2.25,3152.5277001648933
4,10,2.5,2827.5908042860815
4,11,2.75,3571.036504016717
4,12,3.0,3007.1368418522325
4,13,3.25,3902.0014309375106
4,14,3.5,2851.1967705879733
4,15,3.75,3550.726452773687
5,10,2.0,2250.4292936049337
5,11,2.2,2143.019148696996
5,12,2.4,3210.925472674779
5,13,2.6,3076.810228833914
5,14,2.8,2166.541606960276
5,15,3.0,1937.0089196407769
5,16,3.2,1297.9012831995801
5,17,3.4,1155.9583442171966
5,18,3.6,1267.308233934165
5,19,3.8,1413.511556883811
6,12,2.0,1826.1020010010748
6,13,2.1666666666666665,2282.128988596462
6,14,2.3333333333333335,2139.4484519100665
6,15,2.5,2174.631097517532
6,16,2.6666666666666665,1754.3793229591583
6,17,2.8333333333333335,1753.3230158887889
6,18,3.0,1418.799786877248
6,19,3.1666666666666665,1481.875684537733
6,20,3.3333333333333335,1206.1675566204694
6,21,3.5,1039.886323268622
6,22,3.6666666666666665,935.2239371119379
6,23,3.8333333333333335,811.7424362368405
7,14,2.0,2100.2716752578353
7,15,2.142857142857143,1803.6016220335055
7,16,2.2857142857142856,1649.4830194060644
7,17,2.4285714285714284,1568.967660091427
7,18,2.5714285714285716,1317.6112566500942
7,19,2.7142857142857144,1174.6490727153318
7,20,2.857142857142857,935.7375731247865
7,21,3.0,902.3555958351811
7,22,3.142857142857143,881.8495973586594
7,23,3.2857142857142856,759.2575349940612
7,24,3.4285714285714284,872.4337092791657
7,25,3.5714285714285716,1029.4611195472278
7,26,3.7142857142857144,1008.1736284419562
7,27,3.857142857142857,1108.2754189864058
8,16,2.0,2566.8929463499744
8,17,2.125,2083.096627087449
8,18,2.25,2264.004289547058
8,19,2.375,1152.7528837022958
8,20,2.5,900.166337126895
8,21,2.625,653.6410157926442
8,22,2.75,701.3297257132555
8,23,2.875,754.1264841861258
8,24,3.0,972.9690657939855
8,25,3.125,1008.8429426524139
8,26,3.25,904.1737810590736
8,27,3.375,789.322069037492
8,28,3.5,841.0854900229034
8,29,3.625,759.2427668879925
8,30,3.75,812.5873900045266
8,31,3.875,851.7373971497153
9,18,2.0,1425.0154867650667
9,19,2.111111111111111,1126.913197513051
9,20,2.2222222222222223,756.8941288549739
9,21,2.3333333333333335,954.0893781036577
9,22,2.4444444444444446,986.4656598269154
9,23,2.5555555555555554,742.6580028799478
9,24,2.6666666666666665,864.488858019906
9,25,2.7777777777777777,908.0221203530543
9,26,2.888888888888889,1057.1863165148482
9,27,3.0,777.4708411770384
9,28,3.111111111111111,706.447485949457
9,29,3.2222222222222223,793.4585573641059
9,30,3.3333333333333335,844.9816090003405
9,31,3.4444444444444446,868.8676886181012
9,32,3.5555555555555554,987.7454670670709
9,33,3.6666666666666665,967.2825700945757
9,34,3.7777777777777777,959.6929854078189
9,35,3.888888888888889,917.8104438470086
10,20,2.0,964.2584552278865
10,21,2.1,948.3946511316113
10,22,2.2,892.934684463188
10,23,2.3,723.2930091138169
10,24,2.4,879.4214446492318
10,25,2.5,979.5817825643236
10,26,2.6,917.9116330580904
10,27,2.7,754.0456012574156
10,28,2.8,800.8274286437704
10,29,2.9,753.0985748463863
10,30,3.0,972.8990525233168
10,31,3.1,940.1153093532405
10,32,3.2,787.4975743786607
10,33,3.3,881.9921147147539
10,34,3.4,892.1652335252413
10,35,3.5,731.9616555058582
10,36,3.6,946.4162151267349
10,37,3.7,1222.2624525143801
10,38,3.8,1005.5805604105246
10,39,3.9,1374.261407611568
11,22,2.0,1057.0798877907005
11,23,2.090909090909091,1063.1669098848104
11,24,2.1818181818181817,808.5079938005717
11,25,2.272727272727273,699.3556341729028
11,26,2.3636363636363638,767.7348677226724
11,27,2.4545454545454546,897.3590348449115
11,28,2.5454545454545454,954.6108627497262
11,29,2.6363636363636362,828.7712258338854
11,30,2.727272727272727,707.5453680545025
11,31,2.8181818181818183,711.5207739817756
11,32,2.909090909090909,678.6581209998055
11,33,3.0,758.5361402235188
11,34,3.090909090909091,770.4662237979277
11,35,3.1818181818181817,733.9556934574572
11,36,3.272727272727273,743.6739484444646
11,37,3.3636363636363638,1028.6271949579807
11,38,3.4545454545454546,828.5734225638655
11,39,3.5454545454545454,1070.9813076309192
11,40,3.6363636363636362,1218.71528400705
11,41,3.727272727272727,1352.686711394523
11,42,3.8181818181818183,1130.6364447766512
11,43,3.909090909090909,1209.8063916110405
12,24,2.0,727.776717417302
12,25,2.0833333333333335,693.8609412761818
12,26,2.1666666666666665,776.59265783086
12,27,2.25,842.7075135854066
12,28,2.3333333333333335,651.5327092049204
12,29,2.4166666666666665,592.2403893763538
12,30,2.5,643.2088916494934
12,31,2.5833333333333335,775.3779696843457
12,32,2.6666666666666665,598.2511451797959
12,33,2.75,648.1284968864042
12,34,2.8333333333333335,648.9814258064888
12,35,2.9166666666666665,715.9820518248481
12,36,3.0,918.8992399809661
12,37,3.0833333333333335,1014.074688918192
12,38,3.1666666666666665,747.7713741986762
12,39,3.25,952.5540909909707
12,40,3.3333333333333335,1589.982073408557
12,41,3.4166666666666665,1525.5423555683676
12,42,3.5,1881.1585019789745
12,43,3.5833333333333335,1678.3773777836307
12,44,3.6666666666666665,1781.2319934530553
12,45,3.75,1862.0035716779346
12,46,3.8333333333333335,1957.6309543304085
12,47,3.9166666666666665,2008.3348326162954
13,26,2.0,662.2776528883204
13,27,2.076923076923077,701.9033231793351
13,28,2.1538461538461537,662.0019791578053
13,29,2.230769230769231,640.7178816327859
13,30,2.3076923076923075,545.020803338617
13,31,2.3846153846153846,578.6755386146975
13,32,2.4615384615384617,796.9193381911714
13,33,2.5384615384615383,778.6128340958751
13,34,2.6153846153846154,838.2147590643876
13,35,2.6923076923076925,934.5075362327752
13,36,2.769230769230769,975.4504309145997
13,37,2.8461538461538463,915.3717443966957
13,38,2.923076923076923,809.589233970903
13,39,3.0,1252.0327266696513
13,40,3.076923076923077,1488.5389113225954
13,41,3.1538461538461537,1897.1352499776906
13,42,3.230769230769231,1918.9444408524873
13,43,3.3076923076923075,2004.8703420279423
13,44,3.3846153846153846,2255.438678192494
13,45,3.4615384615384617,2010.3396739916657
13,46,3.5384615384615383,2263.749685537966
13,47,3.6153846153846154,2234.2855894375457
13,48,3.6923076923076925,2148.103658848122
13,49,3.769230769230769,2109.5809731353265
13,50,3.8461538461538463,1877.7260608056213
13,51,3.923076923076923,2144.2829296021123
14,28,2.0,693.8105578567595
14,29,2.0714285714285716,674.2979969896053
14,30,2.142857142857143,696.9643640809915
14,31,2.2142857142857144,674.6465617196393
14,32,2.2857142857142856,776.2684146282121
14,33,2.357142857142857,841.4088969653975
14,34,2.4285714285714284,911.1551700588101
14,35,2.5,1259.11828466612
14,36,2.5714285714285716,1193.1810307839826
14,37,2.642857142857143,1194.1970849397785
14,38,2.7142857142857144,1227.2935485643686
14,39,2.7857142857142856,1297.9613527939753
14,40,2.857142857142857,1623.080309771367
14,41,2.9285714285714284,1824.3804707770173
14,42,3.0,1707.2540511762386
14,43,3.0714285714285716,1999.5476417141026
14,44,3.142857142857143,2489.0584490589736
14,45,3.2142857142857144,1870.88517129243
