sma,bma,ratio,dollars
4,8,2.0,930.7463702892319
4,9,2.25,954.4456148094083
4,10,2.5,821.762537511386
4,11,2.75,949.954721407466
4,12,3.0,1008.7669266280955
4,13,3.25,867.553175127632
4,14,3.5,780.9786197595438
4,15,3.75,932.9502123912586
5,10,2.0,1115.150829579179
5,11,2.2,1007.5335619415672
5,12,2.4,1010.4593277500212
5,13,2.6,877.8761261588335
5,14,2.8,862.5261044239842
5,15,3.0,905.5945311902595
5,16,3.2,938.1106594093727
5,17,3.4,864.4967141262987
5,18,3.6,898.0076066392094
5,19,3.8,928.9625804436723
6,12,2.0,677.5021431580182
6,13,2.1666666666666665,656.0293781360782
6,14,2.3333333333333335,692.5754260494767
6,15,2.5,780.1073944823645
6,16,2.6666666666666665,746.8665654198948
6,17,2.8333333333333335,768.5640066113641
6,18,3.0,769.1602707362412
6,19,3.1666666666666665,797.3593597236027
6,20,3.3333333333333335,718.7887500457723
6,21,3.5,700.1921020429447
6,22,3.6666666666666665,731.9440189822187
6,23,3.8333333333333335,720.3972055245447
7,14,2.0,789.0638029288535
7,15,2.142857142857143,647.530524032678
7,16,2.2857142857142856,677.9611745677721
7,17,2.4285714285714284,872.0739605935308
7,18,2.5714285714285716,761.7945311219937
7,19,2.7142857142857144,892.0792542202516
7,20,2.857142857142857,747.3658427615069
7,21,3.0,784.0929904170383
7,22,3.142857142857143,699.004720149349
7,23,3.2857142857142856,673.7336584379938
7,24,3.4285714285714284,807.0432106377136
7,25,3.5714285714285716,922.5321701358131
7,26,3.7142857142857144,850.2408845489864
7,27,3.857142857142857,865.5685517791188
8,16,2.0,551.6157772664446
8,17,2.125,739.7127807576653
8,18,2.25,733.4864587582732
8,19,2.375,742.5289005115179
8,20,2.5,708.738631445995
8,21,2.625,754.6795542831599
8,22,2.75,770.3045829447682
8,23,2.875,822.0000419563188
8,24,3.0,824.6103370613814
8,25,3.125,940.9094364973946
8,26,3.25,787.6047507851138
8,27,3.375,858.5231096343616
8,28,3.5,848.0242000994417
8,29,3.625,885.4192491393105
8,30,3.75,1067.7771579545065
8,31,3.875,1389.935028125326
9,18,2.0,710.6162433100282
9,19,2.111111111111111,680.431500880567
9,20,2.2222222222222223,654.1336729370499
9,21,2.3333333333333335,701.4931053637911
9,22,2.4444444444444446,778.6126143796371
9,23,2.5555555555555554,738.6118520248623
9,24,2.6666666666666665,895.4142068196807
9,25,2.7777777777777777,803.9268640615938
9,26,2.888888888888889,866.7617968017486
9,27,3.0,869.3258695115056
9,28,3.111111111111111,896.2783039413417
9,29,3.2222222222222223,1022.2429846523839
9,30,3.3333333333333335,1062.8535875202874
9,31,3.4444444444444446,1263.212059864562
9,32,3.5555555555555554,1261.6245080770511
9,33,3.6666666666666665,1409.1165983861592
9,34,3.7777777777777777,1194.675148973219
9,35,3.888888888888889,1074.1477638516583
10,20,2.0,586.458846140374
10,21,2.1,567.8319627087458
10,22,2.2,667.2565932991998
10,23,2.3,768.1433173933351
10,24,2.4,953.2154642715217
10,25,2.5,889.3435307090463
10,26,2.6,898.255116293753
10,27,2.7,848.8617467560489
10,28,2.8,910.5469393864925
10,29,2.9,1037.257565218551
10,30,3.0,1194.1265517563845
10,31,3.1,1329.0692125092892
10,32,3.2,1340.5249804885498
10,33,3.3,1376.467292286619
10,34,3.4,1012.0228757084786
