sma,bma,ratio,dollars
4,8,2.0,1006.9956729105207
4,9,2.25,1163.9920951103131
4,10,2.5,1022.3037608760845
4,11,2.75,1113.8017519547775
4,12,3.0,1538.3560886979394
4,13,3.25,1749.5393817174988
4,14,3.5,1871.0420798524076
4,15,3.75,1919.7251128417759
5,10,2.0,1341.254951605983
5,11,2.2,1283.9731088458282
5,12,2.4,1615.709544278457
5,13,2.6,1944.512147711728
5,14,2.8,2189.349171919061
5,15,3.0,1861.983729150277
5,16,3.2,2138.6007160778245
5,17,3.4,1630.3645993633486
5,18,3.6,1469.9865421518246
5,19,3.8,1883.9215117768563
6,12,2.0,1806.7156981404148
6,13,2.1666666666666665,1723.5652591751616
6,14,2.3333333333333335,1931.7138318752284
6,15,2.5,2913.8905911036527
6,16,2.6666666666666665,1983.070373001787
6,17,2.8333333333333335,1780.1545291248121
6,18,3.0,1687.8814696555908
6,19,3.1666666666666665,1556.1444087356504
6,20,3.3333333333333335,1691.6898707830142
6,21,3.5,1584.2850803689703
6,22,3.6666666666666665,1772.534411395473
6,23,3.8333333333333335,1468.2723957757983
7,14,2.0,2658.596526604747
7,15,2.142857142857143,1931.5024053296236
7,16,2.2857142857142856,2246.1848384158393
7,17,2.4285714285714284,1546.5505187228787
7,18,2.5714285714285716,1476.462862241263
7,19,2.7142857142857144,1500.398944966197
7,20,2.857142857142857,1719.246427884278
7,21,3.0,1695.2390474636381
7,22,3.142857142857143,1584.613770667283
7,23,3.2857142857142856,1357.5589640402038
7,24,3.4285714285714284,1319.268507001401
7,25,3.5714285714285716,1216.5626719173827
7,26,3.7142857142857144,1312.5513121686013
7,27,3.857142857142857,1517.1667215910963
8,16,2.0,1907.5138112374439
8,17,2.125,1568.9308301794217
8,18,2.25,1490.2742310567548
8,19,2.375,1569.1662436523272
8,20,2.5,1733.6054073946266
8,21,2.625,1823.2880167316696
8,22,2.75,1596.568621664583
8,23,2.875,1361.315884286967
8,24,3.0,1290.2345886423234
8,25,3.125,1228.753634974902
8,26,3.25,1328.4050673095035
8,27,3.375,1303.8477092963983
8,28,3.5,1229.2435401376156
8,29,3.625,1364.3638058949743
8,30,3.75,1787.6182172573385
8,31,3.875,1753.5882221830134
9,18,2.0,1532.0295887048583
9,19,2.111111111111111,1511.6748625579949
9,20,2.2222222222222223,1440.471953654962
9,21,2.3333333333333335,1230.6829945970308
9,22,2.4444444444444446,1356.5650611889887
9,23,2.5555555555555554,1381.704921195724
9,24,2.6666666666666665,1408.1979266475669
9,25,2.7777777777777777,1374.7365845799782
9,26,2.888888888888889,1334.643281996252
9,27,3.0,1336.3996630487045
9,28,3.111111111111111,1351.1258756000104
9,29,3.2222222222222223,1582.1533916735182
9,30,3.3333333333333335,2063.4374034502616
9,31,3.4444444444444446,1887.8217327977263
9,32,3.5555555555555554,1786.1898614857064
9,33,3.6666666666666665,1661.2152908441678
9,34,3.7777777777777777,1569.5546195999334
9,35,3.888888888888889,1883.189653319659
10,20,2.0,1608.701070968427
10,21,2.1,1389.5390387234404
10,22,2.2,1377.7097989354374
10,23,2.3,1322.3821535925692
10,24,2.4,1367.6889999357006
10,25,2.5,1192.3184210062452
10,26,2.6,1253.3680949270918
10,27,2.7,1156.7282420704043
10,28,2.8,1356.8713122967183
10,29,2.9,1830.8696111322386
10,30,3.0,1882.8758493105427
10,31,3.1,1669.1331302356712
10,32,3.2,1641.063971790215
10,33,3.3,1446.4141836457525
10,34,3.4,1514.1078856957379
10,35,3.5,1923.9130334422791
10,36,3.6,2103.3836410430154
10,37,3.7,1896.4600162600009
10,38,3.8,2121.0589613118805
10,39,3.9,2221.119497871484
11,22,2.0,1351.6801883845312
11,23,2.090909090909091,1258.7398988221346
11,24,2.1818181818181817,1527.6263849766933
11,25,2.272727272727273,1320.0381550637164
11,26,2.3636363636363638,1304.0218991703273
11,27,2.4545454545454546,1168.5622868583152
11,28,2.5454545454545454,1370.3923742930153
11,29,2.6363636363636362,1640.0333624809496
11,30,2.727272727272727,1630.3617153302687
11,31,2.8181818181818183,1440.194130255117
11,32,2.909090909090909,1493.158596691354
11,33,3.0,1461.2088917614503
11,34,3.090909090909091,1395.6221753041712
11,35,3.1818181818181817,1654.3856435691448
11,36,3.272727272727273,1749.3096127199472
11,37,3.3636363636363638,1990.5984102647403
11,38,3.4545454545454546,2052.921394386975
11,39,3.5454545454545454,2186.726575170784
11,40,3.6363636363636362,2276.981227713054
11,41,3.727272727272727,2289.227098745874
11,42,3.8181818181818183,1869.89107259523
11,43,3.909090909090909,2000.04735290997
12,24,2.0,1176.4121705119596
12,25,2.0833333333333335,1217.235748102244
12,26,2.1666666666666665,1150.0025359293206
12,27,2.25,1197.6668988165895
12,28,2.3333333333333335,1216.2573280664715
12,29,2.4166666666666665,1283.4416755904715
12,30,2.5,1372.4565517383455
12,31,2.5833333333333335,1477.4857109824347
12,32,2.6666666666666665,1294.8362345475743
12,33,2.75,1240.8263341620063
12,34,2.8333333333333335,1385.5219306496083
12,35,2.9166666666666665,1422.3605964494584
12,36,3.0,1475.5031962216754
12,37,3.0833333333333335,1713.5998962571978
12,38,3.1666666666666665,1686.5953151823958
12,39,3.25,1797.975518351814
12,40,3.3333333333333335,1939.795751576842
12,41,3.4166666666666665,1853.8646912937277
12,42,3.5,1933.7423952483487
12,43,3.5833333333333335,1894.8408903830266
12,44,3.6666666666666665,1737.0365300841313
12,45,3.75,1738.5668084296992
12,46,3.8333333333333335,1668.954361678067
12,47,3.9166666666666665,1668.954361678067
13,26,2.0,935.6186564506729
13,27,2.076923076923077,903.9229663548947
13,28,2.1538461538461537,1191.5613373965402
13,29,2.230769230769231,1333.258702079355
13,30,2.3076923076923075,1240.6953209446895
13,31,2.3846153846153846,1124.0802124953116
13,32,2.4615384615384617,1250.992923247934
13,33,2.5384615384615383,1252.7278414359066
13,34,2.6153846153846154,1350.8759343168233
13,35,2.6923076923076925,1052.7079582808917
13,36,2.769230769230769,1213.5736971155068
13,37,2.8461538461538463,1364.9223492316487
13,38,2.923076923076923,1499.5634508570656
13,39,3.0,1829.3939701396625
13,40,3.076923076923077,1868.4342387459096
13,41,3.1538461538461537,1872.233489603991
13,42,3.230769230769231,2009.220359357254
13,43,3.3076923076923075,1942.1267341898133
13,44,3.3846153846153846,1987.682951383799
13,45,3.4615384615384617,2081.1251962068445
13,46,3.5384615384615383,2081.1251962068445
13,47,3.6153846153846154,1983.1103563749944
13,48,3.6923076923076925,2077.552114247934
13,49,3.769230769230769,2074.2357516564743
13,50,3.8461538461538463,2078.7869170129998
13,51,3.923076923076923,1982.0210116835851
14,28,2.0,985.5850778276091
14,29,2.0714285714285716,954.2391023317318
14,30,2.142857142857143,1119.42782313885
14,31,2.2142857142857144,1122.2452803118028
14,32,2.2857142857142856,1187.120656758887
14,33,2.357142857142857,1142.593302952144
14,34,2.4285714285714284,1280.2336957575667
14,35,2.5,1421.387323685044
