sma,bma,ratio,dollars
4,8,2.0,713.587295183022
4,9,2.25,595.5530599905479
4,10,2.5,438.8165863281687
4,11,2.75,461.7464773310758
4,12,3.0,671.5351280004637
4,13,3.25,781.6281615095511
4,14,3.5,878.070194435979
4,15,3.75,934.8984102475112
5,10,2.0,797.4130502049817
5,11,2.2,786.1024153715412
5,12,2.4,648.8022329430275
5,13,2.6,793.1951023877612
5,14,2.8,797.653470759287
5,15,3.0,841.9801161077502
5,16,3.2,927.1478342371453
5,17,3.4,760.4108270604185
5,18,3.6,888.6783175329394
5,19,3.8,1197.8354654761863
6,12,2.0,657.8964259429554
6,13,2.1666666666666665,635.6458619871319
6,14,2.3333333333333335,690.4215285707212
6,15,2.5,832.7395363129721
6,16,2.6666666666666665,931.525901297357
6,17,2.8333333333333335,938.1630394029097
6,18,3.0,931.0557543997713
6,19,3.1666666666666665,1064.5843067075034
6,20,3.3333333333333335,993.948332093411
6,21,3.5,930.9410829709278
6,22,3.6666666666666665,1292.7679202649115
6,23,3.8333333333333335,1253.4463075427661
7,14,2.0,983.4947684310329
7,15,2.142857142857143,1045.5774157085143
7,16,2.2857142857142856,1011.4195940282018
7,17,2.4285714285714284,949.7830893634098
7,18,2.5714285714285716,923.3153106982488
7,19,2.7142857142857144,1192.8417260298477
7,20,2.857142857142857,1129.09546683202
7,21,3.0,1036.6641417440612
7,22,3.142857142857143,929.9507219120333
7,23,3.2857142857142856,1040.2487699796309
7,24,3.4285714285714284,1185.3214598907743
7,25,3.5714285714285716,1393.0992800849122
7,26,3.7142857142857144,1511.4495916615022
7,27,3.857142857142857,1307.6625573539554
8,16,2.0,1301.8600396962584
8,17,2.125,1175.435628407179
8,18,2.25,1135.6267581809332
8,19,2.375,1013.921908121209
8,20,2.5,833.6643207634659
8,21,2.625,1042.0723733852626
8,22,2.75,1124.0813086955363
8,23,2.875,1224.29189169245
8,24,3.0,1151.9332308379185
8,25,3.125,1321.9337710489442
8,26,3.25,1566.0865021115444
8,27,3.375,1449.912621507549
8,28,3.5,1406.3350054772845
8,29,3.625,1491.5533706468807
8,30,3.75,1530.6232907317622
8,31,3.875,1601.332507085683
9,18,2.0,896.3937270446683
9,19,2.111111111111111,1048.3267587209432
9,20,2.2222222222222223,993.6611088740033
9,21,2.3333333333333335,1065.766579860736
9,22,2.4444444444444446,1244.7245352293473
9,23,2.5555555555555554,1086.7416060218395
9,24,2.6666666666666665,1147.0969827058152
9,25,2.7777777777777777,1332.0836232783563
9,26,2.888888888888889,1376.2651782455112
9,27,3.0,1726.0191877071563
9,28,3.111111111111111,1499.238136202275
9,29,3.2222222222222223,1391.4722682168442
9,30,3.3333333333333335,1462.976900382554
9,31,3.4444444444444446,1497.8257429971381
9,32,3.5555555555555554,1575.0388946363548
9,33,3.6666666666666665,1609.2820482160018
9,34,3.7777777777777777,1614.1347723156914
9,35,3.888888888888889,1648.8666969644344
10,20,2.0,1090.0510668331756
10,21,2.1,1186.5855157997294
10,22,2.2,1381.7845251625308
10,23,2.3,1225.7387478919434
10,24,2.4,1308.939181286098
10,25,2.5,1359.8176477891911
10,26,2.6,1235.6503554411702
10,27,2.7,1253.093299761321
10,28,2.8,1401.2318716270972
10,29,2.9,1261.953456546637
10,30,3.0,1174.467476501497
10,31,3.1,1147.9927637486442
10,32,3.2,1239.1367664140068
10,33,3.3,1337.3060712950605
10,34,3.4,1300.3816918587945
10,35,3.5,1392.9524187119184
10,36,3.6,1349.2074756358186
10,37,3.7,1338.4250670397016
10,38,3.8,1426.805433215961
10,39,3.9,1415.851837208017
11,22,2.0,1354.079041828339
11,23,2.090909090909091,1182.0683709138993
11,24,2.1818181818181817,1299.9594618644626
11,25,2.272727272727273,1422.5108160456157
11,26,2.3636363636363638,1223.5433941868373
11,27,2.4545454545454546,1065.4619537901403
11,28,2.5454545454545454,1046.101841837642
11,29,2.6363636363636362,1077.513072202316
11,30,2.727272727272727,1047.757949895556
11,31,2.8181818181818183,1143.0314739513035
11,32,2.909090909090909,1240.3584861424868
11,33,3.0,1384.0887329192033
11,34,3.090909090909091,1314.3477604663556
11,35,3.1818181818181817,1292.1804750995536
11,36,3.272727272727273,1276.9584021675441
11,37,3.3636363636363638,1383.354447525178
11,38,3.4545454545454546,1426.8013554457193
11,39,3.5454545454545454,1376.774975901007
11,40,3.6363636363636362,1239.7656127895414
11,41,3.727272727272727,1336.851097822072
11,42,3.8181818181818183,1248.2317372049954
11,43,3.909090909090909,1228.1118716974909
12,24,2.0,1010.8337509359873
12,25,2.0833333333333335,923.3212699903842
12,26,2.1666666666666665,837.3511863908655
12,27,2.25,902.4743841891167
12,28,2.3333333333333335,1143.0829018019865
12,29,2.4166666666666665,1131.6998239190189
12,30,2.5,1061.6956762109864
12,31,2.5833333333333335,1075.576192210236
12,32,2.6666666666666665,1311.958748714984
12,33,2.75,1537.4982593572167
12,34,2.8333333333333335,1370.4363673188084
12,35,2.9166666666666665,1234.3580521043737
12,36,3.0,1232.45368790339
12,37,3.0833333333333335,1261.743464664359
12,38,3.1666666666666665,1201.8090768729367
12,39,3.25,1264.7796483156317
12,40,3.3333333333333335,1205.6846589889408
12,41,3.4166666666666665,1245.9795044991693
12,42,3.5,1169.9209709644083
12,43,3.5833333333333335,1088.7570524662406
12,44,3.6666666666666665,1196.093610332407
12,45,3.75,1198.4808282423207
12,46,3.8333333333333335,1140.5912395964879
12,47,3.9166666666666665,1128.6197858439475
13,26,2.0,840.110322098764
13,27,2.076923076923077,929.5450144933786
13,28,2.1538461538461537,845.6239014877361
13,29,2.230769230769231,855.1289518955001
13,30,2.3076923076923075,860.8239921499977
13,31,2.3846153846153846,854.8136493209674
13,32,2.4615384615384617,1087.6960257794149
13,33,2.5384615384615383,1203.7227423647594
13,34,2.6153846153846154,1239.908312597634
13,35,2.6923076923076925,1149.5916522273044
13,36,2.769230769230769,1156.324052913538
13,37,2.8461538461538463,1397.594554014151
13,38,2.923076923076923,1416.2448265332941
13,39,3.0,1399.9903385923476
13,40,3.076923076923077,1397.3297798390245
13,41,3.1538461538461537,1311.7754175492444
13,42,3.230769230769231,1157.4288366092348
13,43,3.3076923076923075,1166.1470824274948
13,44,3.3846153846153846,1105.9989892475974
13,45,3.4615384615384617,1193.4832711800425
13,46,3.5384615384615383,1067.9279511019006
13,47,3.6153846153846154,1239.6010473431666
13,48,3.6923076923076925,1153.2976940520116
13,49,3.769230769230769,1127.7015417099249
13,50,3.8461538461538463,1191.599285777571
13,51,3.923076923076923,1203.9729970990873
14,28,2.0,859.9639480821169
14,29,2.0714285714285716,868.1031965529845
14,30,2.142857142857143,817.9809437637703
14,31,2.2142857142857144,861.9471685983351
14,32,2.2857142857142856,837.0460876912489
14,33,2.357142857142857,1316.0242974402154
14,34,2.4285714285714284,1418.0384861354692
14,35,2.5,1341.302534189437
14,36,2.5714285714285716,1224.7187451138288
14,37,2.642857142857143,1241.455289823181
14,38,2.7142857142857144,1324.1135018845553
14,39,2.7857142857142856,1333.9115399280747
14,40,2.857142857142857,1455.129983715215
14,41,2.9285714285714284,1207.1931949163893
14,42,3.0,1166.9806790399855
14,43,3.0714285714285716,1179.480616034284
14,44,3.142857142857143,1291.9165441596372
14,45,3.2142857142857144,1221.6534717889808
14,46,3.2857142857142856,1312.08964119704
14,47,3.357142857142857,1080.314789071015
14,48,3.4285714285714284,1119.4459541745478
14,49,3.5,1131.4539287172759
14,50,3.5714285714285716,1228.2782773102876
14,51,3.642857142857143,1261.6935093833918
14,52,3.7142857142857144,1295.3787128590375
14,53,3.7857142857142856,1265.3367299758154
14,54,3.857142857142857,1286.9273031298742
14,55,3.9285714285714284,1294.0840545894162
15,30,2.0,970.1426519230926
15,31,2.066666666666667,930.9858351978597
15,32,2.1333333333333333,890.6864368229822
15,33,2.2,1278.5533896270804
15,34,2.2666666666666666,1282.8271909672342
15,35,2.3333333333333335,1384.2270362334334
15,36,2.4,1273.0225790844434
15,37,2.466666666666667,1313.879140721973
15,38,2.533333333333333,1313.6383663086146
