MTS,open,close,high,low,volume
2018-01-24 13:00:00,3.5,2.8245,3.5,2.22,27859.32705352
2018-01-25 01:00:00,2.8566,2.6782,2.8738,2.6001,33277.05712651
2018-01-25 13:00:00,2.6782,2.8986,2.95,2.6782,39271.53238625
2018-01-26 01:00:00,2.9374,2.7030000000000003,2.9374,2.401,6755.18144309
2018-01-26 13:00:00,2.7,2.775,2.8371,2.401,12730.82356332
2018-01-27 01:00:00,2.7189,2.6055,2.9489,2.511,125609.94238491
2018-01-27 13:00:00,2.6055,2.795,2.8192,2.5301,64138.7555636
2018-01-28 01:00:00,2.8088,2.882,2.8973,2.757,22225.21013378
2018-01-28 13:00:00,2.885,2.7465,2.8899,2.7297,11431.15408151
2018-01-29 01:00:00,2.7601,2.6258,2.8888,2.593,19695.60862782
2018-01-29 13:00:00,2.6128,2.6259,2.74,2.5869,15756.45158917
2018-01-30 01:00:00,2.6128,2.4124,2.6128,2.3698,14737.62479042
2018-01-30 13:00:00,2.4125,2.0864,2.448,2.001,38670.46381164
2018-01-31 01:00:00,2.0986,2.0846,2.1498,1.95,55520.12043821
2018-01-31 13:00:00,2.0845,2.0803,2.0882,2.0,54209.01070213
2018-02-01 01:00:00,2.0802,1.7916,2.0803,1.7678,36524.63947998
2018-02-01 13:00:00,1.7656,1.6657,1.8749,1.564,61691.90460583
2018-02-02 01:00:00,1.7026,1.365,1.72,1.365,119039.70778403
2018-02-02 13:00:00,1.4203,1.6399,1.7718,1.29,40755.83345952
2018-02-03 01:00:00,1.7645,1.7741,1.881,1.5619,24984.92217992
2018-02-03 13:00:00,1.82,1.67,1.986,1.651,34420.53403215
2018-02-04 01:00:00,1.811,1.7177,1.9208,1.7177,15144.88611381
2018-02-04 13:00:00,1.6682,1.423,1.6959,1.38,22800.53125649
2018-02-05 01:00:00,1.4992,1.391,1.528,1.352,8474.72263058
2018-02-05 13:00:00,1.4029,1.0669,1.4029,1.01,67419.52114135
2018-02-06 01:00:00,1.135,0.93371,1.1396,0.8331,41974.55198463
2018-02-06 13:00:00,0.98633,1.2534,1.2534,0.98523,29976.74686254
2018-02-07 01:00:00,1.2157,1.3496,1.393,1.1362,19478.83567474
2018-02-07 13:00:00,1.3518,1.2652,1.4638,1.245,19243.03844013
2018-02-08 01:00:00,1.4196,1.4247,1.6029,1.3346,22434.11177664
2018-02-08 13:00:00,1.425,1.3054,1.4869,1.2,29123.77672597
2018-02-09 01:00:00,1.229,1.3615,1.54,1.1787,62234.26266121
2018-02-09 13:00:00,1.3454,1.499,1.499,1.3257,16864.45311621
2018-02-10 01:00:00,1.5041,1.5967,1.597,1.4407,46046.30814340001
2018-02-10 13:00:00,1.449,1.4099,1.5421,1.35,14674.48929375
2018-02-11 01:00:00,1.3574,1.5241,1.5241,1.21,10073.17957741
2018-02-11 13:00:00,1.3623,1.3,1.5085,1.262,8828.52285059
2018-02-12 01:00:00,1.2811,1.423,1.4837,1.2811,5783.13772945
2018-02-12 13:00:00,1.4708,1.3730000000000002,1.4708,1.351,3503.8210152
2018-02-13 01:00:00,1.3979,1.35,1.4703,1.35,10056.50731137
2018-02-13 13:00:00,1.36,1.352,1.4708,1.352,3773.07347699
2018-02-14 01:00:00,1.4194,1.3972,1.494,1.3972,3975.12680898
2018-02-14 13:00:00,1.4555,1.4191,1.489,1.364,50615.3711567
2018-02-15 01:00:00,1.4079,1.4104,1.5,1.3961,42164.02834623
2018-02-15 13:00:00,1.4159,1.3693,1.4437,1.28,162856.21178222
2018-02-16 01:00:00,1.36,1.3908,1.4155,1.341,53560.95223052
2018-02-16 13:00:00,1.3977,1.43,1.4372,1.3769999999999998,36434.37678728
2018-02-17 01:00:00,1.4269,1.4633,1.4898,1.4227,18930.8208326
2018-02-17 13:00:00,1.4423,1.4668,1.59,1.415,48391.16592156
