MTS,Open,Close,High,Low,Volume
2019-01-24 12:00:00,0.2,0.19895,0.335,0.186,215614.77839095
2019-01-25 00:00:00,0.18501,0.199,0.199,0.18501,437.99997357999996
2019-01-25 12:00:00,0.199,0.199,0.199,0.199,148.93191678
2019-01-26 00:00:00,0.18426,0.204,0.205,0.18174,1603.94750452
2019-01-27 12:00:00,0.18356,0.18171,0.18356,0.18171,1572.85100184
2019-01-28 00:00:00,0.18171,0.1511,0.19176,0.15038,2550.5751795300002
2019-01-28 12:00:00,0.1511,0.1511,0.1511,0.1511,67.61108792
2019-01-30 00:00:00,0.183,0.152,0.183,0.15,4031.55162458
2019-01-30 12:00:00,0.17735,0.185,0.185,0.17735,2194.09397559
2019-01-31 00:00:00,0.1541,0.1541,0.1541,0.1541,98.06864
2019-01-31 12:00:00,0.1562,0.1562,0.1562,0.1562,231.85856072
2019-02-01 00:00:00,0.1541,0.1541,0.1541,0.1541,173.42
2019-02-02 12:00:00,0.1541,0.1531,0.1541,0.1531,220.00599
2019-02-03 00:00:00,0.15407,0.17929,0.17929,0.15407,262.0
2019-02-04 00:00:00,0.1531,0.13329,0.1531,0.13329,3390.2063749999998
2019-02-04 12:00:00,0.17929,0.16,0.18088,0.16,559.0
2019-02-05 00:00:00,0.178,0.1333,0.178,0.1333,250.32648467
2019-02-05 12:00:00,0.177,0.142,0.177,0.142,463.56000979
2019-02-06 00:00:00,0.142,0.14046,0.16112,0.13329,6846.83064981
2019-02-06 12:00:00,0.14076,0.14076,0.14076,0.14076,305.0
2019-02-08 12:00:00,0.136,0.15999,0.15999,0.136,514.5498149800001
2019-02-10 00:00:00,0.145,0.145,0.145,0.145,304.695
2019-02-11 12:00:00,0.13611,0.1361,0.13611,0.1361,299.0
2019-02-12 00:00:00,0.138,0.14402,0.14402,0.138,1579.62716004
2019-02-12 12:00:00,0.14402,0.14402,0.14402,0.14402,149.03102013
2019-02-13 12:00:00,0.1361,0.1361,0.1361,0.1361,489.80054846999997
2019-02-14 00:00:00,0.13502,0.155,0.1584,0.135,2559.04572005
2019-02-14 12:00:00,0.13618,0.13618,0.13619,0.13618,483.98971211
2019-02-15 12:00:00,0.13639,0.14699,0.14699,0.13622,1527.03303646
2019-02-17 00:00:00,0.14697,0.13619,0.14697,0.13619,3951.38987838
2019-02-17 12:00:00,0.136,0.1361,0.13611,0.136,2372.90040122
2019-02-18 00:00:00,0.1433,0.143,0.1438,0.1361,361.46509822999997
2019-02-18 12:00:00,0.143,0.136,0.1749,0.136,8345.728605
2019-02-19 00:00:00,0.15371,0.13667,0.15371,0.13667,1686.9
2019-02-19 12:00:00,0.152,0.1373,0.152,0.136,13592.47654021
2019-02-20 00:00:00,0.13731,0.1373,0.13732,0.1373,906.272771
2019-02-20 12:00:00,0.1373,0.1373,0.1373,0.1373,213.37035606
2019-02-21 00:00:00,0.13731,0.1375,0.138,0.1373,1833.1419711400001
2019-02-21 12:00:00,0.1375,0.14762,0.14794,0.1373,1700.35520771
2019-02-22 00:00:00,0.14,0.14,0.14001,0.14,1502.31861245
2019-02-22 12:00:00,0.1474,0.14,0.14762,0.14,1928.05322472
2019-02-23 00:00:00,0.14,0.14,0.14,0.14,2152.07181047
2019-02-23 12:00:00,0.14,0.14762,0.14762,0.14,1256.0
2019-02-24 00:00:00,0.14762,0.14,0.14762,0.14,680.1
2019-02-24 12:00:00,0.14001,0.13329,0.14001,0.13329,1451.27878771
2019-02-25 00:00:00,0.13329,0.1254,0.13329,0.1254,548.81819735
2019-02-25 12:00:00,0.12545,0.13736,0.13736,0.1254,2191.40131187
2019-02-26 00:00:00,0.14,0.14,0.14,0.14,10490.0
2019-02-26 12:00:00,0.135,0.13,0.135,0.13,1073.55241402
2019-02-27 00:00:00,0.13,0.13,0.13,0.13,1564.0
2019-02-27 12:00:00,0.13,0.1255,0.13,0.1255,210.53944976999998
2019-02-28 12:00:00,0.13,0.13,0.13,0.13,2321.8981362100003
2019-03-01 00:00:00,0.142,0.12531,0.142,0.12531,154.42000000000002
2019-03-01 12:00:00,0.141,0.122,0.141,0.1211,360.56294927
2019-03-02 00:00:00,0.1261,0.12609,0.1261,0.12609,2506.30848581
2019-03-03 12:00:00,0.13929,0.13984,0.13984,0.13929,3409.86571734
