MTS,Open,Close,High,Low,Volume
2019-02-04 00:00:00,2.397,2.4056,2.4586,2.389,1064651.95786957
2019-02-04 12:00:00,2.4056,2.4167,2.4423,2.4001,572203.93956415
2019-02-05 00:00:00,2.4154,2.4132,2.4267,2.3965,425040.59236506
2019-02-05 12:00:00,2.4132,2.4202,2.4212,2.3751,656049.98789017
2019-02-06 00:00:00,2.421,2.33974852,2.4294,2.3163,1113241.93498533
2019-02-06 12:00:00,2.33974852,2.3786,2.3786,2.3202,908527.89659461
2019-02-07 00:00:00,2.3787,2.3806,2.4047,2.3714,842806.95431836
2019-02-07 12:00:00,2.38234678,2.3686,2.3884,2.35216266,442792.31744028
2019-02-08 00:00:00,2.3686,2.4691,2.4813,2.3594,2097887.96991417
2019-02-08 12:00:00,2.4721,2.7698,2.8562,2.4721,5412574.33752396
2019-02-09 00:00:00,2.7717,2.85,2.8782,2.7251,1043689.88250246
2019-02-09 12:00:00,2.8497,2.814,2.8772,2.7541,996180.9347144
2019-02-10 00:00:00,2.8141,2.745,2.822,2.6954,1203756.87512157
2019-02-10 12:00:00,2.7451,2.8907,2.906,2.7165,1915661.1134553
2019-02-11 00:00:00,2.8915,2.7915,2.9084,2.7564,1123507.96850489
2019-02-11 12:00:00,2.7892,2.7834,2.8383,2.7584,1094705.78643478
2019-02-12 00:00:00,2.7866,2.822,2.8335,2.7371,1782099.26820149
2019-02-12 12:00:00,2.822,2.9952,3.066,2.8172,4554577.27301321
2019-02-13 00:00:00,3.0,2.9059,3.0533,2.9021,2136970.66032923
2019-02-13 12:00:00,2.9052,2.9029,2.9288,2.8511,2088228.32480316
2019-02-14 00:00:00,2.901,2.781,2.9298,2.7759,2209295.20834032
2019-02-14 12:00:00,2.781,2.7921,2.8255,2.76,523400.2589797
2019-02-15 00:00:00,2.7919,2.8369,2.8862,2.7858,1014635.56022516
2019-02-15 12:00:00,2.8372,2.84293304,2.9333,2.7852,1413502.95924886
2019-02-16 00:00:00,2.8435,2.8699,2.88,2.8246,608661.339406
2019-02-16 12:00:00,2.8698,2.8301,2.9401,2.8274,978158.50859136
2019-02-17 00:00:00,2.831,2.8764,2.9822,2.8227,1652129.59815036
2019-02-17 12:00:00,2.8747,2.9252,2.95,2.8366,1827900.54821073
2019-02-18 00:00:00,2.9277,3.1651,3.1775,2.9115,3734295.16369659
2019-02-18 12:00:00,3.168,3.5451,3.6,3.139,10592018.43185537
2019-02-19 00:00:00,3.5464,3.6304,3.888,3.53,8474805.86590133
2019-02-19 12:00:00,3.6308,3.5983,3.776,3.58,5102197.64124824
2019-02-20 00:00:00,3.59524936,3.9363,4.03,3.542,5907607.49806684
2019-02-20 12:00:00,3.9361,3.986,4.0168,3.8228,3381814.04213199
2019-02-21 00:00:00,3.9901,3.8061,4.0089,3.7406,3976816.39079462
2019-02-21 12:00:00,3.807,3.8755,3.8788,3.7543,1399761.7403125
2019-02-22 00:00:00,3.8757,3.9149,3.96,3.7903,3018763.57672789
2019-02-22 12:00:00,3.9143,3.9375,4.0,3.899,2293144.80257629
2019-02-23 00:00:00,3.9416,3.92554593,3.9754,3.8683,974755.14270941
2019-02-23 12:00:00,3.92564491,4.3387,4.4237,3.88288734,6209405.25663892
2019-02-24 00:00:00,4.34698287,4.4576,4.53695357,4.3283,3615772.61011369
2019-02-24 12:00:00,4.4563,3.61,4.4657,3.5037,14374453.1965893
2019-02-25 00:00:00,3.6099,3.4796,3.7301,3.3555,4297078.18867525
2019-02-25 12:00:00,3.47754724,3.6295,3.79,3.4641,4125042.56731936
2019-02-26 00:00:00,3.6379,3.53720476,3.6434,3.4775,1764717.76059708
2019-02-26 12:00:00,3.53738093,3.5079,3.559,3.3728,4021023.51316535
2019-02-27 00:00:00,3.509,3.5876,3.61396935,3.4535,1693791.98297242
2019-02-27 12:00:00,3.5888,3.58,3.6426,3.3974,3366245.29916609
2019-02-28 00:00:00,3.58,3.6513,3.716,3.56,2097853.05217811
2019-02-28 12:00:00,3.6518,3.5681,3.678,3.534,2336518.31110878
2019-03-01 00:00:00,3.566,3.6084,3.6459,3.564,814004.78449304
2019-03-01 12:00:00,3.6051,3.5456,3.77,3.48,3282223.4430277
2019-03-02 00:00:00,3.5408,3.5687,3.6,3.4964,1760663.49613441
2019-03-02 12:00:00,3.5705,3.56185114,3.595,3.50064,820735.59268357
2019-03-03 00:00:00,3.56185114,3.6199,3.67,3.5576,763279.95339973
2019-03-03 12:00:00,3.6202,3.5837,3.62556533,3.5422,839342.26917133
