MTS,Open,Close,High,Low,Volume
2019-02-04 00:00:00,3.9432,3.9331,3.9663,3.9199,60084.06145775
2019-02-04 12:00:00,3.9365,3.9068,3.9536,3.8996,34157.2746089
2019-02-05 00:00:00,3.9003,3.9237,3.9336,3.8948,18504.88824243
2019-02-05 12:00:00,3.9266,3.907,3.9341,3.9,30478.2741871
2019-02-06 00:00:00,3.907,3.7,3.921,3.688,385905.81610758
2019-02-06 12:00:00,3.6958,3.8006,3.815,3.6958,73377.09681617
2019-02-07 00:00:00,3.8007,3.8267,3.8389,3.7496,147494.82394824
2019-02-07 12:00:00,3.8298,3.892,3.9385,3.8215,157933.36197792
2019-02-08 00:00:00,3.8991,3.9854,4.0383,3.8772,149563.46578873
2019-02-08 12:00:00,3.9855,4.2023,4.391,3.9795,418183.93703226
2019-02-09 00:00:00,4.2077,4.2086,4.2222,4.1597,89879.00676346
2019-02-09 12:00:00,4.2075,4.138,4.2487,4.065,167517.37174922
2019-02-10 00:00:00,4.1396,4.0322,4.1599,3.9841,142115.12359726
2019-02-10 12:00:00,4.0261,4.2419,4.2419,4.0088,114216.32972429
2019-02-11 00:00:00,4.2355,4.1258,4.2402,4.0909,106568.52516731
2019-02-11 12:00:00,4.1242,4.1208,4.1867,4.02,121402.39174367
2019-02-12 00:00:00,4.1275,4.1129,4.1582,4.0755,73333.46271881
2019-02-12 12:00:00,4.1129,4.1361,4.2705,4.0688,276650.39990962
2019-02-13 00:00:00,4.1362,4.1515,4.2399,4.1294,67785.67877679
2019-02-13 12:00:00,4.1465,4.1649,4.1943,4.1009,42708.67182252
2019-02-14 00:00:00,4.1647,4.1599,4.2386,4.1108,95145.29700854
2019-02-14 12:00:00,4.1538,4.1842,4.2178,4.1497,36849.60756081
2019-02-15 00:00:00,4.1842,4.1725,4.2284,4.1556,44276.93970663
2019-02-15 12:00:00,4.1751,4.1634,4.302,4.105,194726.81307791
2019-02-16 00:00:00,4.1634,4.208,4.2196,4.1634,36619.04972802
2019-02-16 12:00:00,4.2081,4.1466,4.2211,4.1353,73631.36266417
2019-02-17 00:00:00,4.1372,4.1706,4.29,4.1328,102288.27069214
2019-02-17 12:00:00,4.174,4.254,4.2649,4.1403,71671.46671358
2019-02-18 00:00:00,4.2552,4.3566,4.3738,4.2297,154505.03137133
2019-02-18 12:00:00,4.3617,4.4729,4.548,4.3363,297881.22565618
2019-02-19 00:00:00,4.4692,4.7789,4.9453,4.4654,407690.89033972
2019-02-19 12:00:00,4.788,4.6318,4.8459,4.6318,121017.21830036
2019-02-20 00:00:00,4.6302,4.7182,4.796,4.511,86183.31907433001
2019-02-20 12:00:00,4.7279,4.7779,4.8529,4.6501,75623.77613887
2019-02-21 00:00:00,4.7779,4.5577,4.7845,4.4876,161605.88649043
2019-02-21 12:00:00,4.5577,4.5796,4.586,4.4815,44632.63430755
2019-02-22 00:00:00,4.5943,4.608,4.6474,4.5408,82133.48762845
2019-02-22 12:00:00,4.6083,4.8024,4.8991,4.6066,204516.47225104
2019-02-23 00:00:00,4.8011,4.7526,4.8262,4.6874,73699.3307651
2019-02-23 12:00:00,4.7406,4.9325,5.0117,4.7064,209286.97829583
2019-02-24 00:00:00,4.9291,4.9698,5.0737,4.9212,95326.24179253
2019-02-24 12:00:00,4.9743,4.1714,4.9773,4.1617,693186.40865997
2019-02-25 00:00:00,4.1752,4.25,4.2906,4.1674,107364.50522227
2019-02-25 12:00:00,4.2483,4.3381,4.4399,4.2411,140789.49411981
2019-02-26 00:00:00,4.3406,4.329,4.4333,4.2833,70215.14565523
2019-02-26 12:00:00,4.3348,4.3551,4.3731,4.2819,67171.47862978
2019-02-27 00:00:00,4.3551,4.4444,4.4836,4.3027,87059.86154234
2019-02-27 12:00:00,4.4448,4.3741,4.4606,4.2131,207643.59936933
2019-02-28 00:00:00,4.3786,4.3919,4.4315,4.3315,115635.13661225
2019-02-28 12:00:00,4.3951,4.305,4.4321,4.29,146664.03685318
2019-03-01 00:00:00,4.3055,4.3452,4.3799,4.284,44557.51168018
2019-03-01 12:00:00,4.3391,4.3328,4.3999,4.2927,73143.55192005
2019-03-02 00:00:00,4.3309,4.427,4.489,4.2605,181907.54337434
2019-03-02 12:00:00,4.427,4.3362,4.5136,4.2903,89378.46888829
2019-03-03 00:00:00,4.3362,4.335,4.3775,4.3274,24695.49368485
2019-03-03 12:00:00,4.335,4.3256,4.3633,4.2831,81180.93586801
