MTS,open,close,high,low,volume
2018-07-25 12:00:00,8.058,8.1109,8.1418,7.9606,15515.73379144
2018-07-26 00:00:00,8.1059,8.192,8.2889,8.0986,8233.23171485
2018-07-26 12:00:00,8.157,7.7884,8.157,7.68,5279.68227108
2018-07-27 00:00:00,7.75,7.7,7.8495,7.7,2769.83398709
2018-07-27 12:00:00,7.702,7.8751,7.9887,7.6,4585.70010886
2018-07-28 00:00:00,7.8738,7.7541,7.8738,7.7541,2113.4443117
2018-07-28 12:00:00,7.8093,7.75,7.8093,7.6328,4182.29627312
2018-07-29 00:00:00,7.7772,7.6569,7.7855,7.6199,2364.17150489
2018-07-29 12:00:00,7.7288,7.7654,7.7975,7.6891,1738.15972214
2018-07-30 00:00:00,7.7083,7.6481,7.76,7.6348,2287.13411538
2018-07-30 12:00:00,7.6021,7.4,7.6156,7.1539,18071.65445841
2018-07-31 00:00:00,7.3571,7.0454,7.3571,6.9102,7584.71812045
2018-07-31 12:00:00,7.0406,6.8579,7.0406,6.8001,9463.04116318
2018-08-01 00:00:00,6.8054,6.6993,6.8054,6.5389,6483.26257221
2018-08-01 12:00:00,6.7028,6.8159,6.8159,6.5638,5492.11400644
2018-08-02 00:00:00,6.8037,6.576,6.9623,6.4587,40235.85320554
2018-08-02 12:00:00,6.5081,6.4385,6.5081,6.3875,4496.07360256
2018-08-03 00:00:00,6.41,6.2257,6.41,5.9501,27498.02114579
2018-08-03 12:00:00,6.2224,6.2826,6.3775,6.2002,6712.68368677
2018-08-04 00:00:00,6.3137,6.4095,6.5399,6.2717,7568.51015629
2018-08-04 12:00:00,6.4095,6.3,6.4502,6.1411,10570.35948093
2018-08-05 00:00:00,6.2981,6.3758,6.43,6.2,2617.88649519
2018-08-05 12:00:00,6.4007,6.4686,6.5268,6.2996,4934.14870898
2018-08-06 00:00:00,6.5402,6.3701,6.763,6.3701,4320.84762202
2018-08-06 12:00:00,6.3921,6.4112,6.4702,6.34,5809.2590865
2018-08-07 00:00:00,6.4223,6.4552,6.4552,6.2519,4507.24232218
2018-08-07 12:00:00,6.4472,6.0195,6.5124,6.0195,5401.30582994
2018-08-08 00:00:00,6.0578,5.6371,6.0578,5.55,26410.04036837
2018-08-08 12:00:00,5.7178,5.2473,5.7186,5.0957,20427.07371271
2018-08-09 00:00:00,5.2473,5.26,5.3952,5.221,3124.4452376
2018-08-09 12:00:00,5.2062,5.39,5.4641,5.1001,7490.1728975
2018-08-10 00:00:00,5.39,5.3251,5.4932,5.1704,5108.59905902
2018-08-10 12:00:00,5.3662,5.0073,5.45,4.9612,4358.3930691
2018-08-11 00:00:00,5.0,4.6145,5.0,4.5541,5384.23936766
2018-08-11 12:00:00,4.5731,4.66,4.8395,4.4469,9566.48253043
2018-08-12 00:00:00,4.644,4.7477,4.7775,4.6062,9947.69135392
2018-08-12 12:00:00,4.7477,4.6486,4.7477,4.6053,7147.36436455
2018-08-13 00:00:00,4.6171,4.6672,4.7158,4.5809,1574.58513974
2018-08-13 12:00:00,4.6901,4.178,4.6901,4.12,31180.2731328
2018-08-14 00:00:00,4.12,3.7134,4.12,3.56,101477.13926881
2018-08-14 12:00:00,3.7322,4.4457,4.5928,3.6956,8561.73155747
2018-08-15 00:00:00,4.4321,4.4577,4.7134,4.3297,11936.061832
2018-08-15 12:00:00,4.4434,4.4305,4.7416,4.3289,37408.73677181
2018-08-16 00:00:00,4.382,4.4744,4.5082,4.2951,4191.59863468
2018-08-16 12:00:00,4.4912,4.3447,4.4913,4.2713,16806.70704304
2018-08-17 00:00:00,4.3849,4.5793,4.6111,4.3849,5590.00389259
