MTS,Open,Close,High,Low,Volume
2019-02-04 00:00:00,48.792,48.558,49.101,48.5,2033.24549326
2019-02-04 12:00:00,48.689,48.893,49.03,48.668,1004.91617315
2019-02-05 00:00:00,48.895,48.787,49.1,48.656,808.37666608
2019-02-05 12:00:00,48.797,48.947,48.947,48.5,1174.57314559
2019-02-06 00:00:00,48.763,46.451,48.847,46.0,6621.6088713
2019-02-06 12:00:00,46.516,47.051,47.36,46.247,2432.53783495
2019-02-07 00:00:00,47.091,47.641,47.97,46.995,1166.56818602
2019-02-07 12:00:00,47.719,47.152,47.732,47.152,1165.19175612
2019-02-08 00:00:00,47.24,48.352,48.556,47.04,3088.45700023
2019-02-08 12:00:00,48.366,50.707,54.0,48.073,14530.60439371
2019-02-09 00:00:00,50.631,51.581,52.135,50.448,4403.73169951
2019-02-09 12:00:00,51.496,50.693,52.01,50.091,3827.44705682
2019-02-10 00:00:00,50.654,50.48,51.489,49.577,5217.52486671
2019-02-10 12:00:00,50.343,51.143,51.579,49.823,1936.20592679
2019-02-11 00:00:00,51.312,51.337,52.0,49.812,4061.77784807
2019-02-11 12:00:00,51.232,51.897,52.423,50.302,5087.39141767
2019-02-12 00:00:00,52.02,52.635,53.321,51.034,6652.5978533
2019-02-12 12:00:00,52.706,54.517,54.898,52.555,11137.04872462
2019-02-13 00:00:00,54.578,54.022,56.631,54.022,10411.72359754
2019-02-13 12:00:00,54.022,53.408,55.889,52.828,11110.27607226
2019-02-14 00:00:00,53.593,52.668,54.368,52.152,3551.25938967
2019-02-14 12:00:00,52.667,52.171,53.159,52.171,1707.30145529
2019-02-15 00:00:00,52.173,51.82,52.39,51.761,2855.38482958
2019-02-15 12:00:00,51.844,51.415,52.779,51.356,4415.75902953
2019-02-16 00:00:00,51.469,51.729,52.134,51.469,786.71693286
2019-02-16 12:00:00,51.823,52.229,52.587,51.544,1780.0470272
2019-02-17 00:00:00,52.247,51.805,53.06,51.356,5264.38176712
2019-02-17 12:00:00,51.862,52.917,52.975,51.39,2086.84325627
2019-02-18 00:00:00,52.919,53.711,54.218,52.552,9487.2214391
2019-02-18 12:00:00,53.756,55.7,57.329,53.659,30330.31881219
2019-02-19 00:00:00,55.664,55.983,56.754,55.008,8533.78116756
2019-02-19 12:00:00,56.06,55.251,57.829,55.066,7834.35649814
2019-02-20 00:00:00,55.362,55.532,55.92,54.185,3913.79207527
2019-02-20 12:00:00,55.74,55.76,56.855,54.851,3406.06604751
2019-02-21 00:00:00,55.652,53.889,56.813,53.712,8284.27530207
2019-02-21 12:00:00,54.018,54.1,54.332,53.504,3252.3455132
2019-02-22 00:00:00,53.952,55.008,55.679,53.951,2678.72702822
2019-02-22 12:00:00,54.83,54.604,56.832,54.602,6784.09283088
2019-02-23 00:00:00,54.608,54.55,54.998,54.0,2067.99518393
2019-02-23 12:00:00,54.45,57.706,57.805,54.36,17301.77431308
2019-02-24 00:00:00,57.825,59.851,59.911,57.493,13902.1990838
2019-02-24 12:00:00,59.79,52.228,60.0,50.759,24630.27363287
2019-02-25 00:00:00,52.226,52.326,53.27,51.882,3018.18721441
2019-02-25 12:00:00,52.352,53.3,53.986,52.352,4965.21681482
2019-02-26 00:00:00,53.229,52.95,53.638,52.379,2493.08956482
2019-02-26 12:00:00,52.992,53.048,53.545,52.51,3840.88804845
2019-02-27 00:00:00,53.067,53.49,53.49,52.754,2495.01828604
2019-02-27 12:00:00,53.377,53.084,53.49,50.801,6602.16348748
2019-02-28 00:00:00,53.229,52.612,53.777,51.87,2747.85001697
2019-02-28 12:00:00,52.81,52.187,53.5,51.646,7707.41655705
2019-03-01 00:00:00,52.26,52.682,52.947,52.105,1762.81631948
2019-03-01 12:00:00,52.694,53.174,53.331,52.659,2239.44247475
2019-03-02 00:00:00,52.975,52.024,53.396,50.758,4038.93981852
2019-03-02 12:00:00,52.001,52.366,52.496,51.841,795.45691992
2019-03-03 00:00:00,52.378,52.127,52.546,52.038,886.89527831
2019-03-03 12:00:00,52.101,51.189,52.108,51.019,1398.25336084
