MTS,Open,Close,High,Low,Volume
2019-02-01,0.1541,0.1541,0.1541,0.1541,173.42
2019-02-02,0.1541,0.1531,0.1541,0.1531,220.00599
2019-02-03,0.15407,0.1531,0.17929,0.1531,343.85
2019-02-04,0.1531,0.16,0.18088,0.13329,3949.2063749999998
2019-02-05,0.178,0.142,0.178,0.1333,713.88649446
2019-02-06,0.142,0.14076,0.16112,0.13329,7151.83064981
2019-02-08,0.136,0.15999,0.15999,0.136,514.5498149800001
2019-02-10,0.145,0.145,0.145,0.145,304.695
2019-02-11,0.13611,0.1361,0.13611,0.1361,299.0
2019-02-12,0.138,0.13611,0.14402,0.13611,3579.62716004
2019-02-13,0.1361,0.1361,0.1361,0.1361,489.80054846999997
2019-02-14,0.13502,0.13618,0.1584,0.135,3043.0354321600003
2019-02-15,0.13639,0.14699,0.14699,0.13622,1527.03303646
2019-02-17,0.14697,0.1361,0.14697,0.136,6324.2902796
2019-02-18,0.1433,0.136,0.1749,0.136,8707.19370323
2019-02-19,0.15371,0.1373,0.15371,0.136,15279.37654021
2019-02-20,0.13731,0.1373,0.13732,0.1373,1119.64312706
2019-02-21,0.13731,0.14762,0.14794,0.1373,3533.49717885
2019-02-22,0.14,0.14,0.14762,0.14,3430.37183717
2019-02-23,0.14,0.14762,0.14762,0.14,3408.07181047
2019-02-24,0.14762,0.13329,0.14762,0.13329,2131.37878771
2019-02-25,0.13329,0.13736,0.13736,0.1254,2740.21950922
2019-02-26,0.14,0.13,0.14,0.13,11563.55241402
2019-02-27,0.13,0.1255,0.13,0.1255,1774.53944977
2019-02-28,0.13,0.13,0.13,0.13,2321.8981362100003
2019-03-01,0.142,0.122,0.142,0.1211,514.9829492700001
2019-03-02,0.1261,0.12609,0.1261,0.12609,2506.30848581
2019-03-03,0.13929,0.13984,0.13984,0.13929,3409.86571734
