MTS,Open,Close,High,Low,Volume
2018-10-19,446.28,446.82,453.7,439.29,14850.00435691
2018-10-20,446.47,455.44,458.97,442.29,9197.41677966
2018-10-21,455.34,456.14,466.53,454.12,12437.41160599
2018-10-22,456.14,456.43,461.87,449.13,10857.3704549
2018-10-23,456.42,449.5,458.18,444.0,12579.94215222
2018-10-24,449.5,447.19,458.0,444.1,15515.07210286
2018-10-25,447.31,445.19,451.29,441.72,8967.58017349
2018-10-26,444.97,444.11,451.04,441.0,11791.47433756
2018-10-27,444.1,439.52,444.26,436.3,11266.06020356
2018-10-28,440.05,442.62,443.44,438.11,7632.48124299
2018-10-29,442.64,418.31,443.24,414.18,19758.66602161
2018-10-30,418.27,423.49,425.8,416.75,8118.73418328
2018-10-31,423.5,426.99,433.88,410.1,18970.79984629
2018-11-01,426.99,427.39,429.47,424.11,5218.1518854
2018-11-02,427.4,465.83,475.98,426.22,51753.2902107
2018-11-03,465.84,480.87,488.0,459.42,43578.99009644
2018-11-04,481.28,571.64,593.76,480.44,181938.01516342
2018-11-05,571.95,564.0,584.2,542.0,107566.57983547
2018-11-06,564.0,633.41,637.03,555.5,121931.51637939
2018-11-07,633.39,620.51,646.76,608.4,91445.728869
2018-11-08,620.6,579.0,624.99,574.31,97549.92934214
2018-11-09,579.3,546.2,603.82,526.6,114972.1001765
2018-11-10,546.2,558.62,567.91,534.24,55700.48330236
2018-11-11,558.37,535.49,558.37,518.15,88287.80280607
2018-11-12,535.52,520.62,544.0,504.72,137210.03886907
2018-11-13,520.64,520.43,557.5,508.51,159999.50710506
2018-11-14,520.43,452.98,536.75,415.0,234201.61773328
2018-11-15,452.58,323.0,467.0,323.0,130889.09528207
