MTS,Open,Close,High,Low,Volume
2019-02-04,3501.73867085,3490.4687417,3522.7,3475.3,5213.21623762
2019-02-05,3490.4687417,3513.0,3517.5,3475.1,4590.39905608
2019-02-06,3513.20366088,3451.9,3520.99742772,3405.32458599,13172.09035179
2019-02-07,3451.9,3438.4,3462.3,3417.1,4815.21186134
2019-02-08,3438.4,3724.0,3800.0,3425.3,31163.47741733
2019-02-09,3724.1,3718.3,3740.0,3685.7,6552.23606375
2019-02-10,3718.4,3747.7,3753.5,3661.0,10041.31858707
2019-02-11,3747.7,3681.08053546,3750.0,3672.0,7797.03223491
2019-02-12,3681.0,3694.2,3728.0,3645.0,11337.37699122
2019-02-13,3694.1,3666.1,3742.39039255,3631.0,11761.18194993
2019-02-14,3666.05085673,3656.7,3682.87483504,3640.0,7532.91144799
2019-02-15,3656.7,3670.1,3719.0,3642.8,7806.98811909
2019-02-16,3670.0,3676.44566949,3726.7,3664.0,7515.70483955
2019-02-17,3676.44566949,3735.5,3790.0,3655.0,14075.68111925
2019-02-18,3735.5,3978.1,4021.0,3723.6,37616.38136373
2019-02-19,3977.4,3989.9,4083.5,3936.0,24303.19229648
2019-02-20,3989.8,4055.0,4070.0,3963.0,15256.90732287
2019-02-21,4055.0,4008.8,4145.0,3918.5,15483.04516107
2019-02-22,4009.6,4058.3,4074.0,3987.5,14206.28026416
2019-02-23,4058.3,4212.2,4255.0,4013.8,21530.96570761
2019-02-24,4212.2,3831.3,4282.4,3812.0,36095.05016405
2019-02-25,3831.4,3921.8,3966.5,3830.0,10406.15612118
2019-02-26,3921.7,3896.8,3934.1,3862.8,5112.69969848
2019-02-27,3896.8,3900.1,3934.0,3761.2,12033.32506018
2019-02-28,3899.9,3894.0,3988.0,3875.0,12096.66631299
2019-03-01,3893.1,3914.0,3949.0,3893.0,4758.42170141
2019-03-02,3913.7,3913.0,3924.0,3838.89411809,5114.60897238
2019-03-03,3913.0,3883.5,3925.0,3870.7,2347.12370435
