MTS,Open,Close,High,Low,Volume
2019-02-04,9.8122,9.8497,10.15,9.7586,8585.48049917
2019-02-05,9.8014,9.666,9.8169,9.659,4579.1275535
2019-02-06,9.7021,9.33,9.7021,9.257,9129.65273983
2019-02-07,9.3516,9.4047,9.6387,9.325,5535.77375002
2019-02-08,9.3916,10.6,12.695,9.3546,28037.13803066
2019-02-09,10.617,10.551,10.723,10.352,15031.90559667
2019-02-10,10.523,10.536,10.536,10.193,7415.32866457
2019-02-11,10.535,10.28,10.535,10.202,8441.80182203
2019-02-12,10.28,10.449,10.629,10.12,18195.6509373
2019-02-13,10.45,10.349,10.6,10.247,7386.12414383
2019-02-14,10.33,10.267,10.346,10.2,4337.18350957
2019-02-15,10.268,10.309,10.598,10.14,11696.8087885
2019-02-16,10.382,10.399,10.553,10.318,7759.82517921
2019-02-17,10.338,10.577,10.622,10.223,7005.05683442
2019-02-18,10.579,12.233,13.254,10.572,147255.57698848
2019-02-19,12.307,12.742,13.237,11.8,78737.88248538
2019-02-20,12.7,13.075,13.084,12.373,30258.20514455
2019-02-21,13.053,12.793,13.774,12.301,51952.85060998
2019-02-22,12.879,12.856,13.14,12.43,18253.62289545
2019-02-23,12.8,13.706,13.981,12.521,28147.80521795
2019-02-24,13.701,12.44,14.345,12.054,36301.53196528
2019-02-25,12.44,12.931,13.079,12.44,9320.44545741
2019-02-26,12.91,12.957,13.088,12.759,10615.43032902
2019-02-27,13.049,12.832,13.1,12.3,8162.17937312
2019-02-28,12.758,12.821,13.05,12.73,4604.09923894
2019-03-01,12.746,12.837,12.984,12.526,8891.72473049
2019-03-02,12.782,12.636,12.829,12.548,5848.96178143
2019-03-03,12.655,12.226,12.693,12.165,10123.61893668
