MTS,Open,Close,High,Low,Volume
2019-02-04,67.505,67.406,67.967,66.843,1042.81133594
2019-02-05,67.281,68.948,70.651,66.796,12709.20459408
2019-02-06,69.0,66.277,69.254,64.864,13702.58985886
2019-02-07,66.279,67.935,68.479,66.07,5203.82756574
2019-02-08,67.801,74.999,75.457,67.588,8596.91767451
2019-02-09,74.999,74.906,76.768,73.852,6146.80947814
2019-02-10,74.909,76.608,76.757,72.951,5336.31194278
2019-02-11,76.5,80.666,83.014,75.296,27471.48419407
2019-02-12,80.665,83.59,84.57,79.122,20293.80359354
2019-02-13,83.588,81.222,84.487,80.72,13881.73128821
2019-02-14,81.202,78.741,82.231,78.2,6428.62961569
2019-02-15,78.726,79.565,81.199,77.728,4946.44867003
2019-02-16,79.627,79.837,82.69,79.606,6063.55806715
2019-02-17,79.88,80.506,82.501,77.45,11234.87710928
2019-02-18,80.709,87.869,88.673,80.334,18814.73728391
2019-02-19,87.771,88.628,91.952,86.874,8318.33338932
2019-02-20,88.638,88.78,89.792,85.393,7343.1209119
2019-02-21,88.6,85.967,90.63,84.51,5228.56165313
2019-02-22,86.0,87.806,88.02,85.101,5115.67011175
2019-02-23,87.351,91.188,92.074,85.734,13234.20006028
2019-02-24,91.25,81.159,95.0,78.76,25543.34747681
2019-02-25,81.428,84.33,85.679,81.006,8065.85434059
2019-02-26,84.33,83.619,84.33,81.8,5710.91183134
2019-02-27,83.712,82.135,83.712,78.1,9596.04270679
2019-02-28,82.134,83.374,86.159,81.859,12179.55092327
2019-03-01,83.375,84.43,86.063,83.375,4785.69184751
2019-03-02,84.399,83.962,84.888,82.686,3730.7934468
2019-03-03,83.962,80.754,84.869,79.986,4745.46392648
