MTS,Open,Close,High,Low,Volume
2019-02-04,2.397,2.4167,2.4586,2.389,1636855.89743372
2019-02-05,2.4154,2.4202,2.4267,2.3751,1081090.58025523
2019-02-06,2.421,2.3786,2.4294,2.3163,2021769.83157994
2019-02-07,2.3787,2.3686,2.4047,2.35216266,1285599.27175864
2019-02-08,2.3686,2.7698,2.8562,2.3594,7510462.30743813
2019-02-09,2.7717,2.814,2.8782,2.7251,2039870.81721686
2019-02-10,2.8141,2.8907,2.906,2.6954,3119417.98857687
2019-02-11,2.8915,2.7834,2.9084,2.7564,2218213.75493967
2019-02-12,2.7866,2.9952,3.066,2.7371,6336676.5412147
2019-02-13,3.0,2.9029,3.0533,2.8511,4225198.98513239
2019-02-14,2.901,2.7921,2.9298,2.76,2732695.46732002
2019-02-15,2.7919,2.84293304,2.9333,2.7852,2428138.51947402
2019-02-16,2.8435,2.8301,2.9401,2.8246,1586819.84799736
2019-02-17,2.831,2.9252,2.9822,2.8227,3480030.14636109
2019-02-18,2.9277,3.5451,3.6,2.9115,14326313.59555196
2019-02-19,3.5464,3.5983,3.888,3.53,13577003.50714957
2019-02-20,3.59524936,3.986,4.03,3.542,9289421.54019883
2019-02-21,3.9901,3.8755,4.0089,3.7406,5376578.13110712
2019-02-22,3.8757,3.9375,4.0,3.7903,5311908.37930418
2019-02-23,3.9416,4.3387,4.4237,3.8683,7184160.39934833
2019-02-24,4.34698287,3.61,4.53695357,3.5037,17990225.80670299
2019-02-25,3.6099,3.6295,3.79,3.3555,8422120.75599461
2019-02-26,3.6379,3.5079,3.6434,3.3728,5785741.27376243
2019-02-27,3.509,3.58,3.6426,3.3974,5060037.28213851
2019-02-28,3.58,3.5681,3.716,3.534,4434371.36328689
2019-03-01,3.566,3.5456,3.77,3.48,4096228.22752074
2019-03-02,3.5408,3.56185114,3.6,3.4964,2581399.08881798
2019-03-03,3.56185114,3.5837,3.67,3.5422,1602689.52257106
