MTS,Open,Close,High,Low,Volume
2019-02-04,3.9432,3.9068,3.9663,3.8996,94241.33606665
2019-02-05,3.9003,3.907,3.9341,3.8948,48983.16242953
2019-02-06,3.907,3.8006,3.921,3.688,459282.91292375
2019-02-07,3.8007,3.892,3.9385,3.7496,305428.18592616
2019-02-08,3.8991,4.2023,4.391,3.8772,567747.40282099
2019-02-09,4.2077,4.138,4.2487,4.065,257396.37851268
2019-02-10,4.1396,4.2419,4.2419,3.9841,256331.45332154998
2019-02-11,4.2355,4.1208,4.2402,4.02,227970.91691098
2019-02-12,4.1275,4.1361,4.2705,4.0688,349983.86262843
2019-02-13,4.1362,4.1649,4.2399,4.1009,110494.35059931
2019-02-14,4.1647,4.1842,4.2386,4.1108,131994.90456935
2019-02-15,4.1842,4.1634,4.302,4.105,239003.75278454
2019-02-16,4.1634,4.1466,4.2211,4.1353,110250.41239219
2019-02-17,4.1372,4.254,4.29,4.1328,173959.73740572
2019-02-18,4.2552,4.4729,4.548,4.2297,452386.25702751
2019-02-19,4.4692,4.6318,4.9453,4.4654,528708.10864008
2019-02-20,4.6302,4.7779,4.8529,4.511,161807.0952132
2019-02-21,4.7779,4.5796,4.7845,4.4815,206238.52079798
2019-02-22,4.5943,4.8024,4.8991,4.5408,286649.95987949
2019-02-23,4.8011,4.9325,5.0117,4.6874,282986.30906093
2019-02-24,4.9291,4.1714,5.0737,4.1617,788512.6504525
2019-02-25,4.1752,4.3381,4.4399,4.1674,248153.99934208
2019-02-26,4.3406,4.3551,4.4333,4.2819,137386.62428501
2019-02-27,4.3551,4.3741,4.4836,4.2131,294703.46091167
2019-02-28,4.3786,4.305,4.4321,4.29,262299.17346543
2019-03-01,4.3055,4.3328,4.3999,4.284,117701.06360023
2019-03-02,4.3309,4.3362,4.5136,4.2605,271286.01226263
2019-03-03,4.3362,4.3256,4.3775,4.2831,106077.50268622
