MTS,Open,Close,High,Low,Volume
2019-02-04,108.58,108.46,110.6,107.77,105145.61749952
2019-02-05,108.45,108.69,109.17,107.36,66832.69763122
2019-02-06,108.69,106.05,109.0,102.49,280564.98488924
2019-02-07,106.06,105.81,107.75,104.76,115100.64330285
2019-02-08,105.78,121.21040371,124.88,105.00230043,520022.74559365
2019-02-09,121.22,121.01,123.73,119.55,146997.10960893
2019-02-10,121.08,127.37,128.16,118.0,249140.41491205
2019-02-11,127.31,122.68388757,127.31,121.21,207173.08194556
2019-02-12,122.68928414,124.75,127.0,119.22,226671.65242257
2019-02-13,124.67,123.85,130.46398664,122.45,244185.72179065
2019-02-14,123.85,122.52,126.35,122.06,180710.06673683
2019-02-15,122.53,123.75,127.4,122.19,179536.51121806
2019-02-16,123.78,124.68,127.25,123.73,122637.51885895
2019-02-17,124.68,136.15,139.5,124.35186336,520129.55200444
2019-02-18,136.17,148.87,152.0,134.7,677549.40613454
2019-02-19,148.87,146.61,153.76,145.76,344048.26117811
2019-02-20,146.61,151.41,152.99,143.6,315090.6354455
2019-02-21,151.36,148.3,156.4,145.0,324665.15844687
2019-02-22,148.30303447,151.27,152.43,146.1,349070.15586161
2019-02-23,151.27,161.53745825,163.78,148.75,442932.81412847
2019-02-24,161.54,135.2,170.0,134.59,880143.09454422
2019-02-25,135.3,141.21,144.78,134.96,322418.67594558
2019-02-26,141.17,139.37,141.75,136.22,140020.0187171
2019-02-27,139.36,137.71,144.19,128.8,372477.60149725
2019-02-28,137.72,138.17,143.0,136.0,327681.6547735
2019-03-01,138.18,138.5,141.44,137.81,112400.50230288
2019-03-02,138.53,135.59746332,139.31,132.63,179045.31672674
2019-03-03,135.59,134.02881702,137.99,133.6,71295.70272518
