MTS,open,close,high,low,volume
2018-07-26,0.3027,0.2966,0.34214,0.28931,335539.90252282
2018-07-27,0.29664,0.3054,0.31699,0.28542,217658.26683333
2018-07-28,0.30535,0.3035,0.313,0.29434,88004.09410927
2018-07-29,0.3035,0.3,0.31,0.29761,312801.6864921
2018-07-30,0.298,0.29234,0.298,0.28001,65210.84195968
2018-07-31,0.29107,0.26184,0.29306,0.25832,206423.49873201
2018-08-01,0.264,0.25313,0.26801,0.24959,127068.46887528
2018-08-02,0.25137,0.23524,0.25971,0.23223,144627.46677342
2018-08-03,0.23278,0.22295,0.24239,0.21335,464670.27106651
2018-08-04,0.22296,0.22381,0.228,0.20941,213318.16231699
2018-08-05,0.22381,0.22701,0.23856,0.22089,61167.24339831
2018-08-06,0.22907,0.21474,0.2315,0.21271,131309.4338422
2018-08-07,0.21755,0.20009,0.23892,0.19945,282396.4206477
2018-08-08,0.20001,0.1835,0.20328,0.1822,596154.59659267
2018-08-09,0.18644,0.19029,0.19675,0.18466,107187.45219563
2018-08-10,0.19213,0.16688,0.19256,0.032636,405381.18690756
2018-08-11,0.17086,0.16188,0.17205,0.15251,387738.62230195
2018-08-12,0.16039,0.16183,0.1669,0.15766,239528.09675524
2018-08-13,0.16394,0.13342,0.16622,0.13342,360910.03066232
2018-08-14,0.13377,0.1309,0.13377,0.12003,346732.71730713
2018-08-15,0.13274,0.13946,0.15472,0.13274,731847.35228726
2018-08-16,0.13807,0.13776,0.14838,0.1357,367592.96834198
2018-08-17,0.13689,0.14944,0.15081,0.13689,312806.73094815
