MTS,Open,Close,High,Low,Volume
2019-02-04,0.25497,0.25722,0.2623,0.25281,3946471.96125495
2019-02-05,0.25757,0.257,0.26057,0.2546,1908469.38637776
2019-02-06,0.257,0.24538052,0.25921,0.24026,6838644.84923565
2019-02-07,0.24533,0.2574,0.26203,0.24523,6520153.5725793
2019-02-08,0.25727,0.28314,0.2901,0.2538,13471763.50199931
2019-02-09,0.2831,0.28124,0.28721,0.2751,4499162.84054965
2019-02-10,0.28124,0.28722,0.29428,0.2761,6895554.88625003
2019-02-11,0.28722,0.2709,0.2873,0.27072,5692046.22204324
2019-02-12,0.27085,0.27801,0.28133,0.26627,4374868.59315983
2019-02-13,0.27791,0.2752,0.2819,0.26956,2524765.39225978
2019-02-14,0.27419,0.2704,0.2755,0.26767,2896720.81428233
2019-02-15,0.27039,0.27563,0.28421533,0.2687,4343703.01566742
2019-02-16,0.27563,0.27798,0.2825,0.27373,2264515.71658685
2019-02-17,0.27819,0.28203608,0.29298,0.27472,5283761.69480935
2019-02-18,0.28221,0.3105,0.3144,0.27838,12923300.7371035
2019-02-19,0.31035,0.31011717,0.32351,0.3002,13045854.04614884
2019-02-20,0.31013,0.31875,0.3195,0.3055,4225531.59495189
2019-02-21,0.31882003,0.30271,0.319,0.2988,4776906.30679855
2019-02-22,0.30271,0.30406,0.31093,0.29963,4353221.87426743
2019-02-23,0.30405,0.32441,0.32741,0.30200826,7962458.00482513
2019-02-24,0.325,0.2855,0.3325,0.25846,16698401.11855236
2019-02-25,0.2854,0.29184,0.29699,0.2801,5163164.2053913
2019-02-26,0.29164,0.28859,0.29371,0.286,3025830.59893929
2019-02-27,0.28859,0.29061,0.2953,0.282,3536553.56595919
2019-02-28,0.29098,0.28859,0.2943,0.28704,2948810.3070928
2019-03-01,0.28849,0.3,0.31,0.28849,5835748.2344086
2019-03-02,0.30052,0.2979,0.3014,0.28888,3185834.37933607
2019-03-03,0.29792,0.29215,0.30089,0.29161,2082555.06493684
