MTS,Open,Close,High,Low,Volume
2019-02-04,33.825,34.39,34.871,33.78,102897.40612408001
2019-02-05,34.387,34.757,34.867,33.988,80595.99455991
2019-02-06,34.757,33.27,35.007,32.66,163012.053803
2019-02-07,33.227,33.648,34.002,33.224,71834.00844198
2019-02-08,33.584,43.811,48.9,33.273,904650.61299681
2019-02-09,43.803,45.342,46.499,42.978,302711.89579984
2019-02-10,45.338,47.602,48.1,42.841,347033.33507226
2019-02-11,47.602,43.511,47.651,42.394,333534.28356904
2019-02-12,43.511,44.719,45.632,42.5,223163.72113703
2019-02-13,44.699,42.325,45.568,41.223,231388.95392002
2019-02-14,42.252,42.015,43.066,41.022,145854.93874004
2019-02-15,42.02,43.335,45.49,41.897,239104.91077768
2019-02-16,43.346,44.096,45.14,42.88,190595.12362642
2019-02-17,44.092,44.801,46.333,43.225,215729.39712719
2019-02-18,44.723,48.828,50.352,44.357,393520.95124006
2019-02-19,48.879,48.112,50.386,47.496,214929.90776943
2019-02-20,48.106,52.56,53.792,47.222,353236.34240934
2019-02-21,52.614,49.777,52.8,48.701,222848.29840013
2019-02-22,49.78,50.44,50.99,48.843,161712.65744736
2019-02-23,50.44,52.595,53.43,48.96,222447.24709345
2019-02-24,52.596,44.759,54.8,43.3,478101.01209691
2019-02-25,44.641,46.487,47.86,44.529,196338.4990951
2019-02-26,46.522,45.879,46.999,45.171,93480.50822934
2019-02-27,45.851,46.127,46.709,43.535,151979.29577798
2019-02-28,46.15,46.62,47.881,45.727,165466.41394414
2019-03-01,46.621,48.153,49.983,46.58,176810.68332755
2019-03-02,48.151,49.57,50.389,47.57,154056.54273254
2019-03-03,49.644,48.774,50.126,48.461,101738.4399955
