MTS,Open,Close,High,Low,Volume
2019-02-04,7.0999,7.1029,7.2363,7.0727,45533.26866216
2019-02-05,7.103,7.0654,7.1796,6.9157,119001.20961092
2019-02-06,7.0827,6.9572,7.0966,6.7777,143923.444795
2019-02-07,6.9588,7.0053,7.0895,6.9037,54636.544055469996
2019-02-08,7.0153,7.6912,8.0,6.9482,359618.89937674
2019-02-09,7.689,7.7844,7.8772,7.578,89949.61867357
2019-02-10,7.7854,8.1245,8.3,7.5749,263115.97516464
2019-02-11,8.1311,8.2647,8.441,7.812,234388.53887306
2019-02-12,8.2362,8.3413,8.5849,7.9857,340990.51918292
2019-02-13,8.3414,8.3646,8.6653,8.17,250925.7837886
2019-02-14,8.3499,8.0308,8.3501,7.8624,228439.19865667
2019-02-15,8.0309,8.2321,8.5699,7.9719,200836.67509532
2019-02-16,8.2326,8.03,8.4511,7.949,241523.07337761
2019-02-17,8.03,8.5117,8.8692,8.02,454986.25630083
2019-02-18,8.5133,8.96659767,9.1181,8.327,326114.9222408
2019-02-19,8.9556,9.0737,9.4091,8.7977,312381.5936991
2019-02-20,9.0739,9.3206,9.386,8.96,256748.09864817
2019-02-21,9.3076,8.7519,9.3808,8.6171,280940.26874085
2019-02-22,8.7545,8.8991,8.9934,8.6741,135036.89640567
2019-02-23,8.8991,10.392,10.52,8.709,677682.74022279
2019-02-24,10.391,9.0958,11.062,8.5752,1788966.5144663
2019-02-25,9.0955,9.4245,9.6414,8.9715,436671.69046804
2019-02-26,9.4264,9.2672,9.4563,9.0216,152941.74591395
2019-02-27,9.2671,9.0546,9.3745,8.71,306618.03366524
2019-02-28,9.0543,9.0026,9.2716,8.9283,178880.85967278
2019-03-01,9.0026,9.1587,9.5905,8.9566,153640.09951737
2019-03-02,9.1722,8.8999,9.282,8.83,131247.95572309
2019-03-03,8.9,8.89,9.0385,8.87,92695.89634879
