MTS,open,close,high,low,volume
2018-07-26,7.1807,6.8325,7.3773,6.831,160361.0172288
2018-07-27,6.8356,7.0272,7.0936,6.7577,203108.60202603
2018-07-28,7.0272,6.9348,7.0655,6.8318,75426.94856426
2018-07-29,6.9348,6.8491,6.9984,6.8102,52540.83547579
2018-07-30,6.8407,6.6826,6.9307,6.5534,113847.88254195
2018-07-31,6.6826,6.1188,6.6826,5.9849,277671.36921288
2018-08-01,6.1255,5.9037,6.1255,5.7179,253111.05255713
2018-08-02,5.935,5.5267,6.0158,5.4916,301739.4138596
2018-08-03,5.5202,5.4563,5.6142,5.135,367380.53930043
2018-08-04,5.4563,5.382,5.6762,5.3278,309531.85479527
2018-08-05,5.3839,5.4519,5.5413,5.3,87845.95603908
2018-08-06,5.4637,5.2055,5.5735,5.16,146932.76379047
2018-08-07,5.223,4.7859,5.3822,4.7398,322794.4901749
2018-08-08,4.8103,4.4203,5.3132,4.2029,1043945.99909005
2018-08-09,4.442,4.7836,5.0785,4.336,395306.10216377
2018-08-10,4.7823,4.3317,4.8616,4.2592,192237.94482322
2018-08-11,4.316,4.121,4.3698,4.0089,334764.17947958
2018-08-12,4.1106,4.0411,4.36,3.8537,195184.27849161
2018-08-13,4.0411,3.6069,4.1502,3.5211,823332.59155743
2018-08-14,3.5839,3.5809,3.6302,3.2316,661936.00519672
2018-08-15,3.6017,3.5375,3.9737,3.5231,345841.67388451
2018-08-16,3.5408,3.691,3.838,3.5079,234508.96299663
2018-08-17,3.6921,3.9368,4.0452,3.6659,101388.2763613
